"Time","no2_aq10"
2025-02-18 13:30:00,2.70
2025-02-18 13:30:05,2.74
2025-02-18 13:30:10,2.59
2025-02-18 13:30:15,2.69
2025-02-18 13:30:20,2.71
2025-02-18 13:30:25,2.66
2025-02-18 13:30:30,2.71
2025-02-18 13:30:35,2.69
2025-02-18 13:30:40,2.70
2025-02-18 13:30:45,2.60
2025-02-18 13:30:50,2.68
2025-02-18 13:30:55,2.63
2025-02-18 13:31:00,2.63
2025-02-18 13:31:05,2.70
2025-02-18 13:31:10,2.71
2025-02-18 13:31:15,2.76
2025-02-18 13:31:20,2.69
2025-02-18 13:31:25,2.81
2025-02-18 13:31:30,2.74
2025-02-18 13:31:35,2.88
2025-02-18 13:31:40,2.69
2025-02-18 13:31:45,2.70
2025-02-18 13:31:50,2.86
2025-02-18 13:31:55,2.91
2025-02-18 13:32:00,2.79
2025-02-18 13:32:05,2.84
2025-02-18 13:32:10,2.88
2025-02-18 13:32:15,2.74
2025-02-18 13:32:20,2.84
2025-02-18 13:32:25,2.82
2025-02-18 13:32:30,2.84
2025-02-18 13:32:35,2.80
2025-02-18 13:32:40,2.80
2025-02-18 13:32:45,2.90
2025-02-18 13:32:50,3.24
2025-02-18 13:32:55,2.53
2025-02-18 13:33:00,2.22
2025-02-18 13:33:05,2.55
2025-02-18 13:33:10,3.00
2025-02-18 13:33:15,2.98
2025-02-18 13:33:20,2.95
2025-02-18 13:33:25,2.70
2025-02-18 13:33:30,2.86
2025-02-18 13:33:35,3.00
2025-02-18 13:33:40,2.80
2025-02-18 13:33:45,2.98
2025-02-18 13:33:50,2.95
2025-02-18 13:33:55,3.06
2025-02-18 13:34:00,2.98
2025-02-18 13:34:05,2.91
2025-02-18 13:34:10,2.75
2025-02-18 13:34:15,2.79
2025-02-18 13:34:20,2.72
2025-02-18 13:34:25,2.74
2025-02-18 13:34:30,2.93
2025-02-18 13:34:35,2.26
2025-02-18 13:34:40,2.09
2025-02-18 13:34:45,2.13
2025-02-18 13:34:50,2.32
2025-02-18 13:34:55,2.37
2025-02-18 13:35:00,2.49
2025-02-18 13:35:05,2.45
2025-02-18 13:35:10,2.99
2025-02-18 13:35:15,3.11
2025-02-18 13:35:20,3.11
2025-02-18 13:35:25,2.92
2025-02-18 13:35:30,2.82
2025-02-18 13:35:35,2.94
2025-02-18 13:35:40,2.95
2025-02-18 13:35:45,2.91
2025-02-18 13:35:50,2.93
2025-02-18 13:35:55,2.87
2025-02-18 13:36:00,2.87
2025-02-18 13:36:05,2.88
2025-02-18 13:36:10,2.81
2025-02-18 13:36:15,2.89
2025-02-18 13:36:20,2.91
2025-02-18 13:36:25,2.91
2025-02-18 13:36:30,2.91
2025-02-18 13:36:35,2.82
2025-02-18 13:36:40,2.91
2025-02-18 13:36:45,2.95
2025-02-18 13:36:50,2.99
2025-02-18 13:36:55,2.94
2025-02-18 13:37:00,2.92
2025-02-18 13:37:05,2.92
2025-02-18 13:37:10,3.01
2025-02-18 13:37:15,2.91
2025-02-18 13:37:20,2.89
2025-02-18 13:37:25,2.98
2025-02-18 13:37:30,2.91
2025-02-18 13:37:35,2.93
2025-02-18 13:37:40,2.85
2025-02-18 13:37:45,2.92
2025-02-18 13:37:50,2.79
2025-02-18 13:37:55,2.91
2025-02-18 13:38:00,2.87
2025-02-18 13:38:05,2.91
2025-02-18 13:38:10,2.81
2025-02-18 13:38:15,2.80
2025-02-18 13:38:20,2.90
2025-02-18 13:38:25,2.97
2025-02-18 13:38:30,2.96
2025-02-18 13:38:35,3.07
2025-02-18 13:38:40,2.85
2025-02-18 13:38:45,2.89
2025-02-18 13:38:50,2.82
2025-02-18 13:38:55,2.88
2025-02-18 13:39:00,2.90
2025-02-18 13:39:05,2.89
2025-02-18 13:39:10,2.88
2025-02-18 13:39:15,3.00
2025-02-18 13:39:20,2.97
2025-02-18 13:39:25,2.86
2025-02-18 13:39:30,2.80
2025-02-18 13:39:35,2.83
2025-02-18 13:39:40,2.89
2025-02-18 13:39:45,2.98
2025-02-18 13:39:50,2.86
2025-02-18 13:39:55,2.64
2025-02-18 13:40:00,2.74
2025-02-18 13:40:05,2.71
2025-02-18 13:40:10,2.77
2025-02-18 13:40:15,2.90
2025-02-18 13:40:20,2.84
2025-02-18 13:40:25,2.89
2025-02-18 13:40:30,2.92
2025-02-18 13:40:35,2.90
2025-02-18 13:40:40,2.95
2025-02-18 13:40:45,2.87
2025-02-18 13:40:50,2.79
2025-02-18 13:40:55,2.86
2025-02-18 13:41:00,2.72
2025-02-18 13:41:05,2.75
2025-02-18 13:41:10,2.79
2025-02-18 13:41:15,2.99
2025-02-18 13:41:20,2.85
2025-02-18 13:41:25,2.90
2025-02-18 13:41:30,2.90
2025-02-18 13:41:35,2.91
2025-02-18 13:41:40,2.91
2025-02-18 13:41:45,2.87
2025-02-18 13:41:50,2.78
2025-02-18 13:41:55,2.98
2025-02-18 13:42:00,2.80
2025-02-18 13:42:05,2.75
2025-02-18 13:42:10,2.89
2025-02-18 13:42:15,2.92
2025-02-18 13:42:20,2.84
2025-02-18 13:42:25,2.77
2025-02-18 13:42:30,2.84
2025-02-18 13:42:35,2.86
2025-02-18 13:42:40,2.85
2025-02-18 13:42:45,2.83
2025-02-18 13:42:50,2.90
2025-02-18 13:42:55,2.83
2025-02-18 13:43:00,2.79
2025-02-18 13:43:05,2.92
2025-02-18 13:43:10,2.80
2025-02-18 13:43:15,2.83
2025-02-18 13:43:20,2.72
2025-02-18 13:43:25,2.66
2025-02-18 13:43:30,2.76
2025-02-18 13:43:35,2.74
2025-02-18 13:43:40,2.66
2025-02-18 13:43:45,2.80
2025-02-18 13:43:50,2.74
2025-02-18 13:43:55,2.80
2025-02-18 13:44:00,2.84
2025-02-18 13:44:05,2.89
2025-02-18 13:44:10,2.91
2025-02-18 13:44:15,2.79
2025-02-18 13:44:20,2.74
2025-02-18 13:44:25,2.82
2025-02-18 13:44:30,2.80
2025-02-18 13:44:35,2.46
2025-02-18 13:44:40,2.74
2025-02-18 13:44:45,2.57
2025-02-18 13:44:50,1.38
2025-02-18 13:44:55,1.81
2025-02-18 13:45:00,1.84
2025-02-18 13:45:05,1.71
2025-02-18 13:45:10,1.70
2025-02-18 13:45:15,1.91
2025-02-18 13:45:20,2.42
2025-02-18 13:45:25,1.74
2025-02-18 13:45:30,1.96
2025-02-18 13:45:35,2.00
2025-02-18 13:45:40,2.11
2025-02-18 13:45:45,2.05
2025-02-18 13:45:50,2.36
2025-02-18 13:45:55,3.04
2025-02-18 13:46:00,1.56
2025-02-18 13:46:05,1.76
2025-02-18 13:46:10,1.78
2025-02-18 13:46:15,2.68
2025-02-18 13:46:20,2.66
2025-02-18 13:46:25,2.49
2025-02-18 13:46:30,2.64
2025-02-18 13:46:35,2.94
2025-02-18 13:46:40,3.28
2025-02-18 13:46:45,3.28
2025-02-18 13:46:50,2.47
2025-02-18 13:46:55,3.01
2025-02-18 13:47:00,3.98
2025-02-18 13:47:05,3.24
2025-02-18 13:47:10,2.61
2025-02-18 13:47:15,3.43
2025-02-18 13:47:20,3.59
2025-02-18 13:47:25,3.51
2025-02-18 13:47:30,2.94
2025-02-18 13:47:35,2.74
2025-02-18 13:47:40,2.57
2025-02-18 13:47:45,3.10
2025-02-18 13:47:50,3.50
2025-02-18 13:47:55,3.41
2025-02-18 13:48:00,3.14
2025-02-18 13:48:05,2.92
2025-02-18 13:48:10,3.29
2025-02-18 13:48:15,3.05
2025-02-18 13:48:20,3.16
2025-02-18 13:48:25,3.97
2025-02-18 13:48:30,3.96
2025-02-18 13:48:35,3.84
2025-02-18 13:48:40,3.01
2025-02-18 13:48:45,3.17
2025-02-18 13:48:50,3.71
2025-02-18 13:48:55,3.27
2025-02-18 13:49:00,2.94
2025-02-18 13:49:05,3.67
2025-02-18 13:49:10,4.03
2025-02-18 13:49:15,3.33
2025-02-18 13:49:20,3.15
2025-02-18 13:49:25,4.08
2025-02-18 13:49:30,4.69
2025-02-18 13:49:35,4.27
2025-02-18 13:49:40,3.71
2025-02-18 13:49:45,3.79
2025-02-18 13:49:50,4.23
2025-02-18 13:49:55,4.73
2025-02-18 13:50:00,2.74
2025-02-18 13:50:05,5.79
2025-02-18 13:50:10,5.33
2025-02-18 13:50:15,5.30
2025-02-18 13:50:20,4.68
2025-02-18 13:50:25,2.87
2025-02-18 13:50:30,2.45
2025-02-18 13:50:35,3.17
2025-02-18 13:50:40,4.17
2025-02-18 13:50:45,5.08
2025-02-18 13:50:50,7.30
2025-02-18 13:50:55,9.31
2025-02-18 13:51:00,6.16
2025-02-18 13:51:05,5.15
2025-02-18 13:51:10,4.94
2025-02-18 13:51:15,4.28
2025-02-18 13:51:20,2.87
2025-02-18 13:51:25,3.82
2025-02-18 13:51:30,3.92
2025-02-18 13:51:35,3.33
2025-02-18 13:51:40,2.61
2025-02-18 13:51:45,3.82
2025-02-18 13:51:50,4.55
2025-02-18 13:51:55,5.08
2025-02-18 13:52:00,5.64
2025-02-18 13:52:05,4.63
2025-02-18 13:52:10,2.30
2025-02-18 13:52:15,1.31
2025-02-18 13:52:20,1.22
2025-02-18 13:52:25,1.50
2025-02-18 13:52:30,2.06
2025-02-18 13:52:35,2.38
2025-02-18 13:52:40,2.42
2025-02-18 13:52:45,2.73
2025-02-18 13:52:50,2.14
2025-02-18 13:52:55,2.05
2025-02-18 13:53:00,2.87
2025-02-18 13:53:05,2.74
2025-02-18 13:53:10,2.87
2025-02-18 13:53:15,3.72
2025-02-18 13:53:20,3.32
2025-02-18 13:53:25,3.41
2025-02-18 13:53:30,3.42
2025-02-18 13:53:35,4.33
2025-02-18 13:53:40,5.28
2025-02-18 13:53:45,4.80
2025-02-18 13:53:50,5.10
2025-02-18 13:53:55,5.33
2025-02-18 13:54:00,5.56
2025-02-18 13:54:05,5.55
2025-02-18 13:54:10,6.95
2025-02-18 13:54:15,6.40
2025-02-18 13:54:20,6.25
2025-02-18 13:54:25,5.70
