"Time","pm10"
2025-02-18 13:30:00,3.05
2025-02-18 13:31:00,8.88
2025-02-18 13:32:00,43.1
2025-02-18 13:33:00,99.8
2025-02-18 13:34:00,68.4
2025-02-18 13:35:00,54.4
2025-02-18 13:36:00,50.5
2025-02-18 13:37:00,62.7
2025-02-18 13:38:00,44.4
2025-02-18 13:39:00,32.3
2025-02-18 13:40:00,39.0
2025-02-18 13:41:00,37.5
2025-02-18 13:42:00,40.1
2025-02-18 13:43:00,34.8
2025-02-18 13:44:00,26.6
2025-02-18 13:45:00,47.0
2025-02-18 13:46:00,24.3
2025-02-18 13:47:00,24.1
2025-02-18 13:48:00,12.7
2025-02-18 13:49:00,19.6
2025-02-18 13:50:00,17.7
2025-02-18 13:51:00,15.0
2025-02-18 13:52:00,9.61
2025-02-18 13:53:00,6.59
2025-02-18 13:54:00,10.0
2025-02-18 13:55:00,12.5
2025-02-18 13:56:00,25.0
2025-02-18 13:57:00,9.73
2025-02-18 13:58:00,11.5
2025-02-18 13:59:00,11.6
2025-02-18 14:00:00,7.67
2025-02-18 14:01:00,11.2
2025-02-18 14:02:00,7.15
2025-02-18 14:03:00,24.9
2025-02-18 14:04:00,7.34
2025-02-18 14:05:00,7.56
2025-02-18 14:06:00,7.70
2025-02-18 14:07:00,4.78
2025-02-18 14:08:00,17.5
2025-02-18 14:09:00,5.52
2025-02-18 14:10:00,25.3
2025-02-18 14:11:00,14.6
2025-02-18 14:12:00,10.7
2025-02-18 14:13:00,7.76
2025-02-18 14:14:00,9.38
2025-02-18 14:15:00,10.5
2025-02-18 14:16:00,5.95
2025-02-18 14:17:00,16.1
2025-02-18 14:18:00,28.4
2025-02-18 14:19:00,13.3
2025-02-18 14:20:00,24.9
2025-02-18 14:21:00,13.8
2025-02-18 14:22:00,10.3
2025-02-18 14:23:00,11.5
2025-02-18 14:24:00,6.84
2025-02-18 14:25:00,11.7
2025-02-18 14:26:00,11.8
2025-02-18 14:27:00,10.0
2025-02-18 14:28:00,29.7
2025-02-18 14:29:00,9.87
2025-02-18 14:30:00,9.86
2025-02-18 14:31:00,10.6
2025-02-18 14:32:00,7.39
2025-02-18 14:33:00,9.66
2025-02-18 14:34:00,6.03
2025-02-18 14:35:00,7.35
2025-02-18 14:36:00,7.80
2025-02-18 14:37:00,21.9
2025-02-18 14:38:00,6.37
2025-02-18 14:39:00,6.52
2025-02-18 14:40:00,5.43
2025-02-18 14:41:00,18.6
2025-02-18 14:42:00,35.5
2025-02-18 14:43:00,19.2
2025-02-18 14:44:00,19.6
2025-02-18 14:45:00,11.1
2025-02-18 14:46:00,44.3
2025-02-18 14:47:00,42.6
2025-02-18 14:48:00,37.5
2025-02-18 14:49:00,11.1
2025-02-18 14:50:00,11.5
2025-02-18 14:51:00,8.77
2025-02-18 14:52:00,12.4
2025-02-18 14:53:00,10.3
2025-02-18 14:54:00,5.01
2025-02-18 14:55:00,17.5
2025-02-18 14:56:00,13.7
2025-02-18 14:57:00,46.2
2025-02-18 14:58:00,35.2
2025-02-18 14:59:00,107
2025-02-18 15:00:00,146
2025-02-18 15:01:00,143
2025-02-18 15:02:00,101
2025-02-18 15:03:00,133
2025-02-18 15:04:00,141
2025-02-18 15:05:00,98.3
2025-02-18 15:06:00,68.9
2025-02-18 15:07:00,28.3
2025-02-18 15:08:00,31.1
2025-02-18 15:09:00,28.3
2025-02-18 15:10:00,15.0
2025-02-18 15:11:00,21.9
2025-02-18 15:12:00,6.52
2025-02-18 15:13:00,12.9
2025-02-18 15:14:00,10.0
2025-02-18 15:15:00,92.9
2025-02-18 15:16:00,51.7
2025-02-18 15:17:00,7.53
2025-02-18 15:18:00,10.0
2025-02-18 15:19:00,11.8
2025-02-18 15:20:00,14.1
