"Time","pm2.5"
2025-02-20 16:19:00,20.6
2025-02-20 16:20:00,5.24
2025-02-20 16:21:00,5.82
2025-02-20 16:22:00,4.09
2025-02-20 16:23:00,8.12
2025-02-20 16:24:00,8.21
2025-02-20 16:25:00,8.23
2025-02-20 16:26:00,8.20
2025-02-20 16:27:00,7.97
2025-02-20 16:28:00,7.24
2025-02-20 16:29:00,7.80
2025-02-20 16:30:00,7.44
2025-02-20 16:31:00,7.26
2025-02-20 16:32:00,65.4
2025-02-20 16:33:00,73.7
2025-02-20 16:34:00,63.2
2025-02-20 16:35:00,57.0
2025-02-20 16:36:00,50.0
2025-02-20 16:37:00,30.8
2025-02-20 16:38:00,7.69
2025-02-20 16:39:00,7.57
2025-02-20 16:40:00,9.92
2025-02-20 16:41:00,13.8
2025-02-20 16:42:00,17.6
2025-02-20 16:43:00,19.0
2025-02-20 16:44:00,19.9
2025-02-20 16:45:00,22.5
2025-02-20 16:46:00,22.7
2025-02-20 16:47:00,21.5
2025-02-20 16:48:00,22.0
2025-02-20 16:49:00,21.7
2025-02-20 16:50:00,20.3
2025-02-20 16:51:00,25.9
2025-02-20 16:52:00,26.9
2025-02-20 16:53:00,16.5
2025-02-20 16:54:00,9.86
2025-02-20 16:55:00,7.37
2025-02-20 16:56:00,7.16
2025-02-20 16:57:00,7.40
2025-02-20 16:58:00,8.50
2025-02-20 16:59:00,9.53
2025-02-20 17:00:00,9.05
2025-02-20 17:01:00,9.75
2025-02-20 17:02:00,8.03
2025-02-20 17:03:00,7.01
2025-02-20 17:04:00,8.96
2025-02-20 17:05:00,11.8
2025-02-20 17:06:00,11.3
2025-02-20 17:07:00,3.77
2025-02-20 17:08:00,3.51
2025-02-20 17:09:00,2.72
2025-02-20 17:10:00,3.27
2025-02-20 17:11:00,3.91
2025-02-20 17:12:00,3.44
2025-02-20 17:13:00,9.19
2025-02-20 17:14:00,8.19
2025-02-20 17:15:00,8.66
2025-02-20 17:16:00,10.1
2025-02-20 17:17:00,10.4
2025-02-20 17:18:00,8.97
2025-02-20 17:19:00,11.3
2025-02-20 17:20:00,8.68
2025-02-20 17:21:00,8.30
2025-02-20 17:22:00,8.65
2025-02-20 17:23:00,8.06
2025-02-20 17:24:00,7.49
2025-02-20 17:25:00,2.04
