timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 13:40:33,berth,0.07,corridor,0.05,bowling alley,0.05,closet,0.05,shoe shop,0.04,indoor,On Foot,86,Indoor with window closed,"Inside, small room",0.11,"Outside, rural or natural",0.01,Bird,0.01,msub,0.72,sbahn,0.25,e-bus,0.01,osub,0.34,msub,0.19,tram,0.16,0.64,-60.54
2025-02-18 13:40:38,corridor,0.25,utility room,0.14,basement,0.09,closet,0.08,storage room,0.05,indoor,On Foot,86,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.96,osub,0.04,sbahn,0.00,msub,0.34,osub,0.18,train,0.16,0.32,-76.30
2025-02-18 13:40:43,corridor,0.24,utility room,0.14,basement,0.13,storage room,0.12,closet,0.11,indoor,On Foot,86,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.92,osub,0.08,sbahn,0.00,msub,0.32,osub,0.19,tram,0.17,0.07,-76.11
2025-02-18 13:40:48,corridor,0.24,utility room,0.14,basement,0.13,storage room,0.12,closet,0.11,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Vehicle horn, car horn, honking",0.00,"Cutlery, silverware",0.00,e-bus,0.85,osub,0.15,sbahn,0.00,msub,0.29,osub,0.19,train,0.18,0.01,-76.02
2025-02-18 13:40:53,corridor,0.18,utility room,0.16,storage room,0.15,basement,0.14,closet,0.10,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,e-bus,0.64,osub,0.36,sbahn,0.00,msub,0.29,osub,0.19,train,0.18,0.06,-74.69
2025-02-18 13:40:58,utility room,0.16,corridor,0.16,storage room,0.15,basement,0.15,closet,0.13,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Vehicle horn, car horn, honking",0.00,"Cutlery, silverware",0.00,e-bus,0.97,osub,0.03,sbahn,0.00,msub,0.31,train,0.18,osub,0.18,0.06,-76.83
2025-02-18 13:41:03,closet,0.26,storage room,0.19,basement,0.12,corridor,0.05,utility room,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.97,osub,0.03,sbahn,0.00,msub,0.24,train,0.24,tram,0.18,0.11,-76.14
2025-02-18 13:41:08,closet,0.23,storage room,0.22,basement,0.16,corridor,0.06,utility room,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.96,osub,0.04,sbahn,0.00,msub,0.27,train,0.20,osub,0.19,0.03,-67.40
2025-02-18 13:41:13,closet,0.24,storage room,0.23,basement,0.11,corridor,0.07,utility room,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.92,osub,0.08,sbahn,0.00,msub,0.31,train,0.19,tram,0.17,0.09,-76.30
2025-02-18 13:41:18,basement,0.35,closet,0.13,corridor,0.12,storage room,0.12,utility room,0.03,indoor,Still,33,Indoor with window closed,"Inside, small room",0.06,Bird,0.00,Typing,0.00,msub,0.95,e-bus,0.04,sbahn,0.01,msub,0.37,train,0.16,tram,0.16,0.01,-69.49
