timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 00:02:19,parking garage/indoor,0.55,airport terminal,0.24,subway station/platform,0.02,mezzanine,0.01,office cubicles,0.01,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.04,Train,0.04,"Outside, urban or manmade",0.02,msub,0.45,sbahn,0.28,bus,0.08,tram,0.30,train,0.22,osub,0.16,0.00,-39.22
2025-02-18 00:02:24,corridor,0.28,mezzanine,0.19,staircase,0.05,jail cell,0.04,airport terminal,0.04,indoor,Unknown,40,Indoor in Subway-Station,"Outside, rural or natural",0.06,Rustling leaves,0.04,Wind,0.03,msub,0.99,sbahn,0.00,tram,0.00,msub,0.29,osub,0.20,train,0.17,5.48,-40.87
2025-02-18 00:02:29,elevator lobby,0.34,parking garage/indoor,0.18,corridor,0.16,airport terminal,0.06,subway station/platform,0.05,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.06,Wind,0.02,Drawer open or close,0.01,msub,0.65,sbahn,0.30,osub,0.02,train,0.32,tram,0.18,msub,0.18,1.47,-41.49
2025-02-18 00:02:34,parking garage/indoor,0.81,subway station/platform,0.04,airport terminal,0.03,mezzanine,0.03,hangar/outdoor,0.02,indoor,Unknown,40,Indoor in Subway-Station,"Outside, rural or natural",0.15,Rustling leaves,0.11,Wind,0.04,msub,0.93,sbahn,0.06,tram,0.00,tram,0.40,msub,0.15,osub,0.15,0.76,-44.92
2025-02-18 00:02:40,airport terminal,0.27,subway station/platform,0.22,parking garage/indoor,0.20,corridor,0.12,arcade,0.05,indoor,Unknown,40,Indoor in Subway-Station,"Inside, large room or hall",0.04,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.01,msub,0.97,sbahn,0.02,tram,0.01,tram,0.39,osub,0.15,msub,0.15,0.76,-39.34
2025-02-18 00:02:45,airport terminal,0.27,subway station/platform,0.22,parking garage/indoor,0.20,corridor,0.12,arcade,0.05,indoor,On Foot,93,Indoor in Subway-Station,"Inside, small room",0.11,"Outside, rural or natural",0.03,Rustling leaves,0.02,msub,0.52,sbahn,0.47,tram,0.00,tram,0.27,osub,0.24,msub,0.17,0.76,-47.11
2025-02-18 00:02:50,parking garage/indoor,0.37,subway station/platform,0.16,airport terminal,0.05,train station/platform,0.04,arcade,0.04,indoor,On Foot,93,Indoor in Subway-Station,"Outside, rural or natural",0.15,Rustling leaves,0.06,Cricket,0.04,sbahn,0.90,tram,0.04,msub,0.04,tram,0.27,osub,0.24,msub,0.17,0.72,-42.61
2025-02-18 00:02:55,parking garage/indoor,0.56,parking lot,0.10,runway,0.03,crosswalk,0.02,garage/indoor,0.02,indoor,On Foot,93,Indoor in Subway-Station,"Outside, rural or natural",0.11,Rustling leaves,0.11,Wind,0.11,msub,0.80,sbahn,0.13,tram,0.04,tram,0.40,msub,0.15,train,0.15,0.69,-43.45
2025-02-18 00:03:00,parking garage/indoor,0.32,corridor,0.15,locker room,0.09,subway station/platform,0.07,airport terminal,0.05,indoor,On Foot,93,Indoor in Subway-Station,"Outside, rural or natural",0.06,Rustling leaves,0.06,Wind,0.03,msub,0.80,sbahn,0.13,e-bus,0.03,tram,0.37,train,0.16,msub,0.16,0.69,-44.70
2025-02-18 00:03:05,parking garage/indoor,0.88,airport terminal,0.07,corridor,0.01,subway station/platform,0.01,parking lot,0.01,indoor,On Foot,93,Indoor in Subway-Station,Rustling leaves,0.33,Wind,0.20,"Outside, rural or natural",0.11,msub,0.68,sbahn,0.25,tram,0.04,tram,0.34,msub,0.18,osub,0.16,0.00,-45.53
