timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-16 17:36:15,parking garage/indoor,0.75,garage/indoor,0.11,artists loft,0.05,hangar/indoor,0.02,basement,0.01,indoor,Unknown,0,Indoor in Subway-Station,"Inside, large room or hall",0.03,"Inside, small room",0.02,Drawer open or close,0.00,msub,0.86,e-bus,0.07,sbahn,0.05,train,0.33,tram,0.19,msub,0.17,0.02,-42.77
2025-02-16 17:36:20,parking garage/indoor,0.72,garage/indoor,0.08,parking lot,0.05,raceway,0.02,hangar/indoor,0.02,indoor,Unknown,0,Indoor in Subway-Station,"Inside, small room",0.01,"Inside, large room or hall",0.00,"Outside, urban or manmade",0.00,msub,0.83,sbahn,0.12,tram,0.04,msub,0.38,tram,0.17,bus,0.15,0.01,-38.47
2025-02-16 17:36:25,parking garage/indoor,0.54,subway station/platform,0.08,hangar/indoor,0.06,basement,0.05,parking lot,0.03,indoor,On Foot,94,Indoor in Subway-Station,"Outside, rural or natural",0.11,Rustling leaves,0.04,Cricket,0.03,msub,0.40,sbahn,0.38,tram,0.11,msub,0.31,tram,0.22,osub,0.16,0.01,-41.37
2025-02-16 17:36:30,subway station/platform,0.36,bowling alley,0.10,airport terminal,0.06,parking garage/indoor,0.06,swimming pool/indoor,0.04,indoor,On Foot,94,Indoor in Subway-Station,"Outside, rural or natural",0.04,Rustling leaves,0.03,"Inside, small room",0.03,msub,0.38,e-bus,0.22,sbahn,0.16,tram,0.37,bus,0.17,msub,0.16,1.12,-40.37
2025-02-16 17:36:35,subway station/platform,0.36,bowling alley,0.10,airport terminal,0.06,parking garage/indoor,0.06,swimming pool/indoor,0.04,indoor,On Foot,94,Indoor in Subway-Station,Wind,0.11,"Outside, urban or manmade",0.06,Wind noise (microphone),0.06,msub,0.99,tram,0.01,osub,0.00,msub,0.37,tram,0.17,osub,0.15,1.04,-32.53
2025-02-16 17:36:40,hangar/indoor,0.29,raceway,0.08,arena/performance,0.07,parking garage/indoor,0.06,hangar/outdoor,0.06,indoor,Unknown,40,Indoor in Subway-Station,Train,0.33,"Railroad car, train wagon",0.15,"Subway, metro, underground",0.11,msub,0.92,sbahn,0.05,osub,0.02,msub,0.37,tram,0.17,osub,0.15,0.08,-30.90
2025-02-16 17:36:45,arena/performance,0.37,amphitheater,0.17,raceway,0.08,stadium/baseball,0.08,basketball court/indoor,0.04,outdoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.02,"Vehicle horn, car horn, honking",0.00,Bird,0.00,osub,0.80,e-bus,0.19,tram,0.00,msub,0.35,tram,0.17,osub,0.16,0.02,-52.84
2025-02-16 17:36:50,arena/performance,0.23,hangar/indoor,0.17,airport terminal,0.06,construction site,0.05,assembly line,0.03,indoor,Unknown,40,Indoor in Subway-Station,"Outside, rural or natural",0.02,"Inside, small room",0.02,Bird,0.00,sbahn,0.86,bus,0.08,tram,0.03,msub,0.30,tram,0.22,train,0.16,0.04,-50.73
2025-02-16 17:36:55,hangar/indoor,0.43,auto factory,0.12,assembly line,0.07,raceway,0.06,airport terminal,0.03,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.02,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.00,sbahn,0.42,bus,0.28,tram,0.22,tram,0.39,msub,0.16,train,0.15,0.04,-40.22
2025-02-16 17:37:00,crosswalk,0.27,raceway,0.25,hangar/indoor,0.09,assembly line,0.05,parking lot,0.04,outdoor,Unknown,40,Indoor in Subway-Station,"Outside, rural or natural",0.02,Wind,0.00,"Outside, urban or manmade",0.00,sbahn,0.38,msub,0.36,tram,0.16,msub,0.27,tram,0.24,train,0.17,0.04,-38.05
