timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 00:33:42,elevator/door,0.74,closet,0.11,elevator lobby,0.04,shower,0.02,basement,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.15,"Inside, large room or hall",0.01,Bird,0.00,sbahn,0.71,e-bus,0.18,osub,0.05,osub,0.35,bus,0.17,msub,0.16,0.00,-55.04
2025-02-18 00:33:48,elevator/door,0.58,closet,0.19,corridor,0.05,elevator lobby,0.04,sauna,0.02,indoor,Unknown,40,Indoor with window closed,Radio,0.04,"Inside, small room",0.04,"Outside, rural or natural",0.02,e-bus,0.55,sbahn,0.31,osub,0.08,osub,0.35,msub,0.18,train,0.16,0.00,-56.35
2025-02-18 00:33:53,basement,0.18,elevator/door,0.12,subway station/platform,0.09,elevator shaft,0.09,corridor,0.07,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,"Pigeon, dove",0.02,Bird,0.02,sbahn,0.93,msub,0.03,bus,0.02,bus,0.23,osub,0.21,msub,0.20,0.00,-47.38
2025-02-18 00:33:58,elevator/door,0.89,elevator lobby,0.06,bank vault,0.02,shower,0.01,basement,0.00,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,"Inside, large room or hall",0.06,Drawer open or close,0.03,e-bus,0.37,msub,0.24,bus,0.16,osub,0.34,msub,0.18,bus,0.17,0.00,-38.72
2025-02-18 00:34:03,elevator/door,0.86,elevator lobby,0.06,bank vault,0.03,shower,0.03,basement,0.00,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.11,"Inside, large room or hall",0.00,"Outside, rural or natural",0.00,sbahn,0.92,osub,0.04,e-bus,0.03,osub,0.34,msub,0.17,bus,0.17,1.09,-58.98
2025-02-18 00:34:08,elevator/door,0.86,elevator lobby,0.06,bank vault,0.03,shower,0.03,basement,0.00,indoor,Still,99,Indoor with window closed,"Inside, small room",0.11,Bird,0.01,"Inside, large room or hall",0.01,sbahn,0.81,msub,0.12,osub,0.05,osub,0.30,tram,0.20,msub,0.18,1.09,-34.29
2025-02-18 00:34:13,elevator/door,0.94,movie theater/indoor,0.01,elevator lobby,0.01,sky,0.01,home theater,0.01,indoor,Still,99,Indoor with window closed,"Inside, small room",0.06,"Inside, large room or hall",0.02,"Outside, rural or natural",0.01,sbahn,0.92,msub,0.04,osub,0.02,osub,0.30,tram,0.20,msub,0.18,0.87,-42.90
2025-02-18 00:34:18,elevator/door,0.76,elevator shaft,0.05,elevator lobby,0.04,movie theater/indoor,0.02,bank vault,0.02,indoor,Still,97,Indoor with window closed,"Inside, small room",0.04,Bird,0.03,"Pigeon, dove",0.01,sbahn,0.58,msub,0.17,e-bus,0.13,osub,0.31,bus,0.19,tram,0.17,2.99,-48.94
2025-02-18 00:34:23,elevator/door,0.68,basement,0.04,elevator lobby,0.04,bank vault,0.03,shower,0.02,indoor,Still,97,Indoor with window closed,"Outside, rural or natural",0.08,"Inside, small room",0.03,Rustling leaves,0.02,msub,0.86,sbahn,0.13,tram,0.00,osub,0.29,train,0.19,msub,0.18,2.99,-51.06
2025-02-18 00:34:28,alcove,0.35,parking garage/indoor,0.06,garage/indoor,0.04,garage/outdoor,0.03,attic,0.03,indoor,Still,97,Indoor with window closed,"Outside, rural or natural",0.15,Rustling leaves,0.15,Wind,0.08,sbahn,0.77,msub,0.20,osub,0.02,bus,0.34,msub,0.17,train,0.17,0.58,-48.88
