timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 14:49:22,bedroom,0.12,dorm room,0.08,childs room,0.07,living room,0.04,television room,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,Bird,0.01,"Inside, large room or hall",0.00,msub,0.50,sbahn,0.35,e-bus,0.13,tram,0.38,msub,0.16,bus,0.15,0.00,-64.10
2025-02-15 14:49:27,nursery,0.12,bedroom,0.08,television room,0.06,dorm room,0.05,childs room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.71,msub,0.17,osub,0.10,tram,0.39,msub,0.15,bus,0.15,0.00,-65.93
2025-02-15 14:49:32,dorm room,0.10,bedroom,0.10,living room,0.05,dining room,0.04,television room,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.78,msub,0.14,osub,0.08,tram,0.40,train,0.15,bus,0.15,0.05,-63.28
2025-02-15 14:49:37,dorm room,0.08,bedroom,0.07,wet bar,0.04,childs room,0.03,living room,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.53,sbahn,0.40,osub,0.04,tram,0.40,train,0.15,bus,0.15,0.00,-60.82
2025-02-15 14:49:42,bedroom,0.08,nursery,0.07,dorm room,0.07,childs room,0.05,basement,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.56,msub,0.37,e-bus,0.07,tram,0.40,train,0.15,msub,0.15,0.00,-64.73
2025-02-15 14:49:47,bedroom,0.08,nursery,0.07,dorm room,0.07,childs room,0.05,basement,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Train wheels squealing,0.00,e-bus,0.93,osub,0.07,sbahn,0.00,tram,0.40,train,0.15,msub,0.15,0.11,-69.98
2025-02-15 14:49:52,dorm room,0.29,storage room,0.07,home office,0.07,art studio,0.05,office,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Train wheels squealing,0.00,sbahn,0.56,msub,0.35,osub,0.04,train,0.37,tram,0.17,bus,0.15,0.11,-59.17
2025-02-15 14:49:57,dorm room,0.16,storage room,0.10,pantry,0.05,art studio,0.05,office,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.74,msub,0.26,osub,0.00,train,0.36,tram,0.18,msub,0.16,0.00,-66.58
2025-02-15 14:50:02,dorm room,0.37,home office,0.08,pantry,0.06,artists loft,0.04,art studio,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.72,sbahn,0.17,e-bus,0.07,tram,0.25,bus,0.23,train,0.20,0.28,-67.75
2025-02-15 14:50:07,dorm room,0.22,storage room,0.08,pantry,0.08,artists loft,0.06,home office,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.88,sbahn,0.10,osub,0.02,train,0.32,bus,0.18,tram,0.18,0.28,-58.58
2025-02-15 14:50:12,dorm room,0.64,bedroom,0.11,playroom,0.03,television room,0.03,home office,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.93,msub,0.06,osub,0.01,bus,0.25,msub,0.22,tram,0.19,0.01,-61.12
2025-02-15 14:50:17,dorm room,0.74,living room,0.06,bedroom,0.06,storage room,0.04,playroom,0.02,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,"Inside, large room or hall",0.00,"Cutlery, silverware",0.00,msub,0.46,sbahn,0.41,osub,0.11,msub,0.26,bus,0.26,train,0.16,0.26,-58.76
2025-02-15 14:50:22,dorm room,0.55,bedroom,0.13,playroom,0.09,storage room,0.03,living room,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,e-bus,0.83,osub,0.17,sbahn,0.00,bus,0.27,msub,0.21,tram,0.18,0.26,-67.60
2025-02-15 14:50:27,dorm room,0.55,bedroom,0.13,playroom,0.09,storage room,0.03,living room,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,Bird,0.00,"Cutlery, silverware",0.00,sbahn,0.50,msub,0.49,osub,0.01,train,0.25,osub,0.24,tram,0.19,0.01,-63.59
2025-02-15 14:50:32,artists loft,0.14,art gallery,0.13,art studio,0.10,igloo,0.06,art school,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.94,sbahn,0.05,osub,0.01,tram,0.31,train,0.22,osub,0.16,0.96,-45.88
2025-02-15 14:50:37,artists loft,0.33,utility room,0.12,basement,0.09,art studio,0.09,art gallery,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.53,sbahn,0.47,osub,0.00,tram,0.31,train,0.22,osub,0.16,0.96,-59.85
2025-02-15 14:50:42,closet,0.41,artists loft,0.15,art gallery,0.08,dorm room,0.06,art studio,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,Bird,0.00,"Cutlery, silverware",0.00,msub,0.99,sbahn,0.01,e-bus,0.00,tram,0.35,train,0.18,osub,0.16,0.03,-65.82
2025-02-15 14:50:47,storage room,0.07,playroom,0.06,phone booth,0.06,server room,0.05,dorm room,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.11,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.70,msub,0.29,osub,0.01,bus,0.27,train,0.22,tram,0.18,1.04,-65.40
2025-02-15 14:50:52,artists loft,0.16,art gallery,0.10,alley,0.05,art studio,0.05,jail cell,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.88,msub,0.08,e-bus,0.03,osub,0.27,train,0.21,tram,0.19,1.04,-66.24
2025-02-15 14:50:57,server room,0.18,elevator/door,0.13,utility room,0.05,elevator lobby,0.05,alley,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.63,sbahn,0.36,osub,0.01,train,0.37,bus,0.17,osub,0.16,0.04,-64.56
2025-02-15 14:51:02,dorm room,0.44,closet,0.20,childs room,0.07,playroom,0.07,storage room,0.02,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.74,msub,0.22,osub,0.02,msub,0.25,tram,0.24,bus,0.18,0.06,-61.95
