timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 00:36:11,alcove,0.08,bedroom,0.08,attic,0.06,jail cell,0.05,staircase,0.05,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.08,Rustling leaves,0.06,"Inside, small room",0.04,msub,0.73,sbahn,0.24,tram,0.03,tram,0.25,msub,0.23,bus,0.19,0.00,-49.73
2025-02-18 00:36:16,alcove,0.10,burial chamber,0.06,basement,0.06,sauna,0.05,wet bar,0.03,indoor,Unknown,40,Indoor with window closed,Rustling leaves,0.11,"Inside, small room",0.06,"Outside, rural or natural",0.06,msub,0.76,sbahn,0.22,osub,0.01,msub,0.38,tram,0.16,osub,0.15,0.00,-49.31
2025-02-18 00:36:21,alcove,0.10,wet bar,0.08,burial chamber,0.08,sauna,0.08,basement,0.06,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,Bird,0.01,Tap,0.00,msub,0.50,sbahn,0.47,tram,0.01,msub,0.36,tram,0.17,bus,0.16,0.04,-63.19
2025-02-18 00:36:26,sauna,0.12,alcove,0.09,burial chamber,0.08,basement,0.06,wet bar,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.15,"Outside, rural or natural",0.06,Rustling leaves,0.02,msub,0.60,sbahn,0.35,osub,0.03,msub,0.30,tram,0.19,bus,0.17,0.04,-57.50
2025-02-18 00:36:31,sauna,0.10,alcove,0.09,burial chamber,0.08,wet bar,0.07,basement,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,"Outside, rural or natural",0.02,"Inside, large room or hall",0.01,sbahn,0.49,msub,0.35,e-bus,0.09,msub,0.30,tram,0.20,bus,0.17,0.03,-60.48
2025-02-18 00:36:36,alcove,0.10,burial chamber,0.07,sauna,0.07,basement,0.06,wet bar,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Vehicle horn, car horn, honking",0.00,"Inside, large room or hall",0.00,msub,0.50,e-bus,0.33,sbahn,0.17,msub,0.27,tram,0.22,bus,0.17,0.05,-70.16
2025-02-18 00:36:41,alcove,0.10,burial chamber,0.07,sauna,0.07,basement,0.06,wet bar,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.15,Tap,0.03,"Inside, large room or hall",0.02,msub,0.53,sbahn,0.43,e-bus,0.02,msub,0.27,tram,0.22,bus,0.17,0.05,-54.50
2025-02-18 00:36:46,alcove,0.09,burial chamber,0.07,sauna,0.07,basement,0.05,wet bar,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,Bird,0.00,"Vehicle horn, car horn, honking",0.00,e-bus,0.75,osub,0.16,msub,0.08,msub,0.30,tram,0.18,bus,0.18,0.05,-70.16
2025-02-18 00:36:51,alcove,0.10,sauna,0.10,burial chamber,0.07,wet bar,0.07,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,Bird,0.00,"Inside, large room or hall",0.00,sbahn,0.62,msub,0.27,bus,0.04,msub,0.28,tram,0.21,osub,0.17,0.02,-66.38
2025-02-18 00:36:56,alcove,0.11,sauna,0.08,wet bar,0.07,burial chamber,0.07,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.48,sbahn,0.39,bus,0.09,msub,0.31,tram,0.19,bus,0.17,0.02,-65.22
2025-02-18 00:37:01,alcove,0.11,sauna,0.08,wet bar,0.08,burial chamber,0.06,basement,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,Bird,0.03,"Outside, rural or natural",0.02,msub,0.69,sbahn,0.27,tram,0.02,msub,0.33,tram,0.18,bus,0.17,0.00,-63.15
2025-02-18 00:37:06,sauna,0.10,alcove,0.10,wet bar,0.07,burial chamber,0.06,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,Bird,0.01,"Inside, large room or hall",0.00,msub,0.44,sbahn,0.44,bus,0.06,msub,0.30,tram,0.20,bus,0.17,0.04,-64.72
2025-02-18 00:37:11,alcove,0.12,sauna,0.08,wet bar,0.08,burial chamber,0.06,basement,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,Bird,0.01,"Outside, rural or natural",0.01,msub,0.81,sbahn,0.15,e-bus,0.02,msub,0.30,tram,0.20,bus,0.17,0.04,-59.40
2025-02-18 00:37:16,alcove,0.10,sauna,0.08,burial chamber,0.07,wet bar,0.07,basement,0.06,indoor,Still,100,Indoor with window closed,Bird,0.06,"Outside, rural or natural",0.03,"Inside, small room",0.01,msub,0.45,sbahn,0.39,bus,0.14,msub,0.30,tram,0.20,bus,0.17,0.04,-65.33
2025-02-18 00:37:21,alcove,0.10,sauna,0.08,burial chamber,0.07,wet bar,0.07,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Outside, rural or natural",0.01,Bird,0.01,msub,0.64,sbahn,0.30,bus,0.04,msub,0.34,tram,0.18,bus,0.16,0.05,-64.38
2025-02-18 00:37:26,alcove,0.10,sauna,0.08,burial chamber,0.07,wet bar,0.07,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,Bird,0.00,"Fire engine, fire truck (siren)",0.00,e-bus,0.89,msub,0.08,sbahn,0.03,msub,0.34,tram,0.18,bus,0.16,0.05,-71.58
2025-02-18 00:37:31,sauna,0.10,alcove,0.10,burial chamber,0.07,wet bar,0.06,basement,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,Bird,0.01,"Outside, rural or natural",0.01,osub,0.53,e-bus,0.42,sbahn,0.02,msub,0.32,tram,0.18,bus,0.17,0.02,-62.48
2025-02-18 00:37:36,alcove,0.09,wet bar,0.09,sauna,0.08,burial chamber,0.05,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.11,Bird,0.00,"Inside, large room or hall",0.00,sbahn,0.58,msub,0.39,bus,0.02,msub,0.33,tram,0.18,bus,0.16,0.04,-61.42
