timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 11:58:27,youth hostel,0.16,waiting room,0.12,bedroom,0.11,television room,0.11,dorm room,0.09,indoor,Still,100,Indoor with window open,"Inside, small room",0.15,"Outside, rural or natural",0.02,"Inside, large room or hall",0.01,sbahn,0.59,msub,0.30,e-bus,0.09,osub,0.27,tram,0.23,train,0.17,0.00,-56.91
2025-02-17 11:58:32,television room,0.16,living room,0.12,waiting room,0.11,recreation room,0.06,bedroom,0.05,indoor,Still,100,Indoor with window open,Typing,0.15,Computer keyboard,0.15,"Inside, small room",0.11,sbahn,0.84,e-bus,0.08,osub,0.05,tram,0.26,train,0.21,bus,0.19,0.05,-56.86
2025-02-17 11:58:37,television room,0.31,living room,0.08,recreation room,0.06,garage/indoor,0.05,loading dock,0.04,indoor,Still,100,Indoor with window open,"Inside, small room",0.26,"Inside, large room or hall",0.01,Tap,0.00,sbahn,0.73,msub,0.24,e-bus,0.01,tram,0.31,train,0.18,bus,0.18,0.06,-60.01
2025-02-17 11:58:42,television room,0.14,recreation room,0.10,waiting room,0.09,dorm room,0.07,operating room,0.06,indoor,Still,100,Indoor with window open,"Inside, small room",0.06,Typing,0.00,Computer keyboard,0.00,msub,0.90,e-bus,0.05,sbahn,0.05,train,0.26,tram,0.24,msub,0.17,0.06,-63.38
2025-02-17 11:58:47,alcove,0.04,church/indoor,0.03,museum/indoor,0.02,burial chamber,0.01,shower,0.01,outdoor,Still,100,Indoor with window open,"Inside, small room",0.06,"Dishes, pots, and pans",0.04,"Cutlery, silverware",0.03,sbahn,0.92,msub,0.03,tram,0.02,osub,0.27,msub,0.23,bus,0.17,0.06,-59.20
2025-02-17 11:58:52,church/indoor,0.02,alcove,0.01,burial chamber,0.01,museum/outdoor,0.01,museum/indoor,0.01,outdoor,Still,100,Indoor with window open,"Inside, small room",0.06,Typing,0.01,Bird,0.01,msub,0.67,sbahn,0.28,e-bus,0.02,msub,0.26,osub,0.21,tram,0.18,0.01,-63.14
2025-02-17 11:58:57,church/indoor,0.02,alcove,0.01,burial chamber,0.01,museum/outdoor,0.01,museum/indoor,0.01,outdoor,Still,100,Indoor with window open,"Inside, small room",0.04,"Outside, rural or natural",0.02,Bird,0.02,sbahn,0.84,msub,0.11,tram,0.02,msub,0.26,osub,0.21,tram,0.18,0.07,-61.44
2025-02-17 11:59:02,burial chamber,0.02,alcove,0.01,museum/indoor,0.01,museum/outdoor,0.01,church/indoor,0.01,outdoor,Still,100,Indoor with window open,"Inside, small room",0.03,"Inside, large room or hall",0.00,Bird,0.00,sbahn,0.80,msub,0.15,tram,0.03,msub,0.26,osub,0.21,tram,0.19,0.06,-59.13
2025-02-17 11:59:07,church/indoor,0.01,alcove,0.01,burial chamber,0.01,museum/outdoor,0.01,museum/indoor,0.01,outdoor,Still,100,Indoor with window open,Bird,0.02,"Inside, small room",0.02,"Bird vocalization, bird call, bird song",0.00,sbahn,0.69,msub,0.25,tram,0.02,msub,0.29,train,0.19,osub,0.18,0.03,-61.44
2025-02-17 11:59:12,alcove,0.05,church/indoor,0.03,synagogue/outdoor,0.02,basement,0.02,entrance hall,0.02,outdoor,Still,100,Indoor with window open,Bird,0.03,"Inside, small room",0.02,"Outside, rural or natural",0.01,msub,0.69,sbahn,0.27,bus,0.01,msub,0.27,osub,0.21,tram,0.19,0.08,-62.56
