timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 15:28:15,television room,0.10,kitchen,0.10,galley,0.08,wet bar,0.05,storage room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.76,msub,0.23,osub,0.01,train,0.28,tram,0.23,osub,0.17,0.00,-49.07
2025-02-15 15:28:20,television room,0.22,kitchen,0.15,wet bar,0.11,home theater,0.06,dorm room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,Bird,0.00,"Inside, large room or hall",0.00,msub,0.93,sbahn,0.05,e-bus,0.01,tram,0.31,train,0.20,osub,0.17,0.00,-52.31
2025-02-15 15:28:25,shoe shop,0.20,kitchen,0.13,pantry,0.07,bathroom,0.07,sushi bar,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.20,"Inside, large room or hall",0.02,"Outside, rural or natural",0.01,msub,0.57,sbahn,0.39,tram,0.02,tram,0.35,msub,0.17,train,0.16,0.00,-59.62
2025-02-15 15:28:30,kitchen,0.11,bathroom,0.10,office,0.06,basement,0.04,wet bar,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.97,msub,0.02,osub,0.00,tram,0.39,train,0.16,osub,0.15,0.42,-52.52
2025-02-15 15:28:35,kitchen,0.39,galley,0.26,wet bar,0.06,restaurant kitchen,0.06,office,0.02,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.11,"Outside, rural or natural",0.02,Bird,0.01,sbahn,0.69,msub,0.29,osub,0.01,tram,0.38,osub,0.16,train,0.16,0.42,-57.27
2025-02-15 15:28:40,kitchen,0.39,galley,0.26,wet bar,0.06,restaurant kitchen,0.06,office,0.02,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,"Inside, large room or hall",0.00,"Outside, urban or manmade",0.00,msub,0.54,e-bus,0.41,osub,0.03,tram,0.38,osub,0.16,train,0.16,0.41,-66.75
2025-02-15 15:28:45,television room,0.38,home theater,0.24,wet bar,0.07,kitchen,0.05,auditorium,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.03,"Vehicle horn, car horn, honking",0.00,"Cutlery, silverware",0.00,e-bus,0.92,msub,0.07,sbahn,0.01,tram,0.28,train,0.23,osub,0.17,0.06,-66.38
2025-02-15 15:28:50,television room,0.17,home theater,0.08,kitchen,0.07,wet bar,0.06,dorm room,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.20,"Inside, large room or hall",0.01,Bird,0.00,e-bus,0.43,sbahn,0.31,msub,0.26,train,0.34,tram,0.19,osub,0.16,0.06,-50.73
2025-02-15 15:28:55,storage room,0.27,utility room,0.10,basement,0.08,art studio,0.06,kitchen,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.06,"Inside, large room or hall",0.00,Bird,0.00,sbahn,0.97,msub,0.02,tram,0.00,tram,0.34,train,0.19,msub,0.16,0.06,-62.37
2025-02-15 15:29:00,basement,0.11,storage room,0.08,church/indoor,0.07,wet bar,0.07,utility room,0.06,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,"Inside, large room or hall",0.01,"Outside, rural or natural",0.00,msub,0.62,sbahn,0.34,osub,0.02,tram,0.32,train,0.19,bus,0.17,0.05,-45.91
2025-02-15 15:29:05,kitchen,0.11,galley,0.10,restaurant kitchen,0.08,office,0.07,pizzeria,0.07,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Train wheels squealing,0.00,sbahn,0.91,msub,0.07,osub,0.02,tram,0.40,train,0.15,osub,0.15,0.05,-49.39
