timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 15:33:57,beauty salon,0.12,beer garden,0.11,carrousel,0.06,beer hall,0.05,bazaar/indoor,0.04,indoor,On Foot,94,Indoor in Supermarket,"Outside, rural or natural",0.08,Bird,0.06,"Outside, urban or manmade",0.02,msub,0.67,tram,0.16,osub,0.06,bus,0.28,msub,0.24,tram,0.16,0.00,-20.24
2025-02-15 15:34:02,supermarket,0.26,department store,0.18,market/indoor,0.17,fabric store,0.11,flea market/indoor,0.07,indoor,On Foot,94,Indoor in Supermarket,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.87,tram,0.07,sbahn,0.05,bus,0.36,tram,0.17,msub,0.15,0.12,-33.87
2025-02-15 15:34:07,market/outdoor,0.10,flea market/indoor,0.09,science museum,0.06,supermarket,0.06,aquarium,0.05,indoor,On Foot,94,Indoor in Supermarket,"Outside, rural or natural",0.03,Cricket,0.01,Rustling leaves,0.00,sbahn,0.98,osub,0.02,msub,0.00,bus,0.28,msub,0.24,tram,0.16,0.05,-34.31
2025-02-15 15:34:12,clothing store,0.07,shoe shop,0.07,slum,0.05,jewelry shop,0.04,department store,0.04,indoor,Unknown,40,Indoor in Supermarket,Bird,0.02,"Inside, small room",0.02,"Outside, rural or natural",0.01,msub,0.80,sbahn,0.09,osub,0.05,bus,0.36,msub,0.17,tram,0.17,0.56,-45.38
2025-02-15 15:34:17,clothing store,0.07,shoe shop,0.07,slum,0.05,jewelry shop,0.04,department store,0.04,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.08,"Inside, large room or hall",0.03,Bird,0.01,sbahn,0.48,msub,0.27,e-bus,0.19,tram,0.35,bus,0.17,train,0.17,0.62,-46.09
2025-02-15 15:34:22,general store/indoor,0.34,pantry,0.13,hardware store,0.09,pharmacy,0.06,candy store,0.04,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.00,"Inside, large room or hall",0.00,"Outside, rural or natural",0.00,msub,0.77,sbahn,0.18,osub,0.03,tram,0.35,bus,0.17,train,0.17,0.20,-43.14
2025-02-15 15:34:27,hardware store,0.31,jewelry shop,0.14,bazaar/indoor,0.12,general store/indoor,0.07,shoe shop,0.05,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.01,Bird,0.00,"Inside, large room or hall",0.00,sbahn,0.39,msub,0.28,tram,0.17,msub,0.27,train,0.20,bus,0.19,0.48,-44.13
2025-02-15 15:34:32,hardware store,0.35,drugstore,0.14,supermarket,0.14,shoe shop,0.07,pet shop,0.04,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.02,"Outside, rural or natural",0.01,"Inside, large room or hall",0.01,sbahn,0.88,msub,0.07,osub,0.03,msub,0.28,bus,0.24,train,0.16,0.43,-43.46
2025-02-15 15:34:37,hardware store,0.23,supermarket,0.13,pet shop,0.10,gift shop,0.06,department store,0.05,indoor,Unknown,40,Indoor in Supermarket,Bird,0.01,"Outside, urban or manmade",0.01,"Outside, rural or natural",0.01,msub,0.78,sbahn,0.19,osub,0.01,bus,0.32,tram,0.20,train,0.16,0.24,-44.93
2025-02-15 15:34:42,general store/indoor,0.30,bakery/shop,0.10,supermarket,0.08,drugstore,0.06,jewelry shop,0.06,indoor,Unknown,40,Indoor in Supermarket,Wind,0.06,Train,0.04,"Outside, urban or manmade",0.04,sbahn,0.67,msub,0.14,tram,0.11,bus,0.30,msub,0.22,tram,0.17,0.26,-42.99
2025-02-15 15:34:47,jewelry shop,0.35,bakery/shop,0.12,ice cream parlor,0.04,general store/indoor,0.04,department store,0.04,indoor,On Foot,91,Indoor in Supermarket,Bird,0.02,"Pigeon, dove",0.01,"Outside, urban or manmade",0.01,msub,0.55,sbahn,0.30,tram,0.08,msub,0.38,osub,0.16,tram,0.16,0.10,-43.67
2025-02-15 15:34:52,supermarket,0.31,hardware store,0.22,department store,0.14,bookstore,0.06,delicatessen,0.05,indoor,On Foot,91,Indoor in Supermarket,"Inside, small room",0.03,Bird,0.00,"Inside, large room or hall",0.00,sbahn,0.76,msub,0.13,tram,0.05,msub,0.28,bus,0.23,tram,0.17,0.03,-44.19
2025-02-15 15:34:57,general store/indoor,0.21,supermarket,0.21,hardware store,0.19,pharmacy,0.06,department store,0.06,indoor,On Foot,91,Indoor in Supermarket,"Outside, urban or manmade",0.01,"Outside, rural or natural",0.01,"Inside, small room",0.00,msub,0.69,tram,0.14,sbahn,0.14,msub,0.29,tram,0.20,bus,0.19,0.12,-40.70
2025-02-15 15:35:02,general store/indoor,0.15,pharmacy,0.12,supermarket,0.09,bar,0.09,hardware store,0.05,indoor,Unknown,40,Indoor in Supermarket,"Outside, urban or manmade",0.02,"Outside, rural or natural",0.02,"Inside, small room",0.02,tram,0.58,sbahn,0.17,msub,0.12,tram,0.35,bus,0.17,train,0.16,0.13,-40.77
2025-02-15 15:35:07,general store/indoor,0.15,pharmacy,0.12,supermarket,0.09,bar,0.09,hardware store,0.05,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.01,Bird,0.01,"Outside, rural or natural",0.01,msub,0.78,sbahn,0.19,osub,0.02,tram,0.35,bus,0.17,train,0.16,0.19,-43.64
2025-02-15 15:35:12,supermarket,0.41,hardware store,0.19,pharmacy,0.09,fabric store,0.07,drugstore,0.05,indoor,Unknown,40,Indoor in Supermarket,"Outside, rural or natural",0.02,"Inside, large room or hall",0.00,Bird,0.00,msub,0.48,sbahn,0.34,e-bus,0.11,bus,0.40,train,0.15,msub,0.15,0.75,-46.81
2025-02-15 15:35:17,supermarket,0.60,hardware store,0.11,pet shop,0.08,pharmacy,0.04,department store,0.03,indoor,On Foot,95,Indoor in Supermarket,"Inside, small room",0.01,"Outside, urban or manmade",0.00,"Inside, large room or hall",0.00,msub,0.63,sbahn,0.29,osub,0.04,bus,0.36,train,0.17,tram,0.16,0.70,-48.19
2025-02-15 15:35:22,general store/indoor,0.65,pantry,0.07,pharmacy,0.06,candy store,0.02,drugstore,0.02,indoor,On Foot,95,Indoor in Supermarket,"Inside, small room",0.02,"Outside, urban or manmade",0.00,Bird,0.00,sbahn,0.86,e-bus,0.04,msub,0.04,bus,0.36,tram,0.17,msub,0.16,0.25,-44.57
2025-02-15 15:35:27,fastfood restaurant,0.12,food court,0.09,stage/outdoor,0.09,bar,0.07,beer hall,0.05,indoor,On Foot,95,Indoor in Supermarket,"Inside, small room",0.04,"Outside, rural or natural",0.03,Bird,0.02,sbahn,0.93,msub,0.04,tram,0.01,tram,0.36,bus,0.17,train,0.16,0.05,-44.07
2025-02-15 15:35:32,hardware store,0.24,pet shop,0.16,general store/indoor,0.13,pantry,0.10,storage room,0.10,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.00,"Inside, large room or hall",0.00,"Outside, rural or natural",0.00,msub,0.59,sbahn,0.32,tram,0.07,bus,0.40,msub,0.15,train,0.15,0.19,-45.76
2025-02-15 15:35:37,bus interior,0.15,train interior,0.10,market/indoor,0.09,hardware store,0.05,supermarket,0.05,indoor,Unknown,40,Indoor in Supermarket,Bird,0.20,"Pigeon, dove",0.08,"Outside, rural or natural",0.03,msub,0.50,sbahn,0.33,tram,0.13,tram,0.29,msub,0.23,bus,0.16,0.85,-46.61
