timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 14:19:02,butchers shop,0.20,supermarket,0.17,department store,0.12,sushi bar,0.06,fabric store,0.06,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.11,"Outside, rural or natural",0.08,Rustling leaves,0.03,sbahn,0.54,msub,0.44,tram,0.01,msub,0.27,train,0.22,bus,0.18,0.63,-49.96
2025-02-17 14:19:07,supermarket,0.08,recreation room,0.07,promenade,0.04,market/outdoor,0.03,playroom,0.03,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.11,"Outside, rural or natural",0.02,"Inside, large room or hall",0.01,sbahn,0.84,msub,0.14,e-bus,0.01,train,0.36,msub,0.17,tram,0.16,0.52,-52.30
2025-02-17 14:19:12,supermarket,0.08,recreation room,0.07,promenade,0.04,market/outdoor,0.03,playroom,0.03,indoor,Unknown,40,Indoor in Supermarket,"Outside, rural or natural",0.08,"Inside, small room",0.06,Bird,0.02,sbahn,0.57,msub,0.30,e-bus,0.06,bus,0.30,train,0.19,msub,0.19,0.70,-50.14
2025-02-17 14:19:17,supermarket,0.37,shoe shop,0.15,fabric store,0.13,bazaar/indoor,0.09,department store,0.08,indoor,Unknown,40,Indoor in Supermarket,"Outside, rural or natural",0.20,Rustling leaves,0.06,Wind,0.02,sbahn,0.54,msub,0.39,tram,0.07,bus,0.26,msub,0.25,tram,0.17,0.34,-39.81
2025-02-17 14:19:22,department store,0.11,supermarket,0.10,butchers shop,0.08,bowling alley,0.05,shoe shop,0.05,indoor,Unknown,40,Indoor in Supermarket,"Outside, rural or natural",0.06,Bird,0.04,"Inside, small room",0.04,msub,0.69,sbahn,0.29,tram,0.01,msub,0.25,bus,0.21,tram,0.20,0.20,-48.63
2025-02-17 14:19:27,department store,0.11,supermarket,0.10,butchers shop,0.08,bowling alley,0.05,shoe shop,0.05,indoor,On Foot,92,Indoor in Supermarket,"Inside, small room",0.20,"Outside, rural or natural",0.02,"Inside, large room or hall",0.01,sbahn,0.99,msub,0.00,tram,0.00,train,0.27,osub,0.22,bus,0.17,0.23,-44.67
2025-02-17 14:19:32,driveway,0.78,volleyball court/outdoor,0.12,patio,0.02,arena/hockey,0.01,basketball court/indoor,0.01,outdoor,On Foot,92,Indoor in Supermarket,Rain,0.04,Rain on surface,0.04,"Inside, small room",0.04,msub,0.96,sbahn,0.02,tram,0.01,train,0.27,osub,0.22,bus,0.17,0.10,-28.87
2025-02-17 14:19:37,department store,0.34,supermarket,0.12,bookstore,0.07,hardware store,0.07,airport terminal,0.05,indoor,On Foot,92,Indoor in Supermarket,"Inside, small room",0.15,"Dishes, pots, and pans",0.04,"Cutlery, silverware",0.03,sbahn,0.94,osub,0.02,msub,0.01,tram,0.29,train,0.20,msub,0.17,0.27,-42.67
2025-02-17 14:19:42,supermarket,0.57,department store,0.09,airport terminal,0.06,hangar/indoor,0.02,parking garage/indoor,0.02,indoor,On Foot,92,Indoor in Supermarket,Rain on surface,0.08,Rain,0.08,"Outside, rural or natural",0.04,sbahn,0.93,msub,0.05,osub,0.01,msub,0.31,tram,0.21,bus,0.16,0.45,-47.96
2025-02-17 14:19:47,shoe shop,0.47,department store,0.13,supermarket,0.11,drugstore,0.09,pharmacy,0.04,indoor,On Foot,92,Indoor in Supermarket,"Inside, small room",0.15,"Outside, rural or natural",0.04,Rustling leaves,0.01,msub,0.79,sbahn,0.12,osub,0.04,msub,0.39,tram,0.16,bus,0.15,0.38,-42.86
2025-02-17 14:19:52,supermarket,0.37,airport terminal,0.08,arena/rodeo,0.06,hangar/indoor,0.04,bullring,0.04,indoor,Unknown,40,Indoor in Supermarket,"Outside, rural or natural",0.08,Bird,0.06,"Bird flight, flapping wings",0.04,msub,0.94,sbahn,0.02,e-bus,0.01,msub,0.40,bus,0.15,train,0.15,0.35,-21.68
