timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 14:07:54,sauna,0.40,berth,0.19,alcove,0.08,closet,0.06,attic,0.04,indoor,Still,100,Indoor with window closed,"Outside, rural or natural",0.08,"Inside, small room",0.06,Rustling leaves,0.02,sbahn,0.50,msub,0.44,tram,0.05,train,0.31,bus,0.20,osub,0.17,0.00,-46.88
2025-02-17 14:07:59,closet,0.20,berth,0.12,bedroom,0.09,hotel room,0.08,basement,0.07,indoor,Still,100,Indoor with window closed,"Outside, rural or natural",0.11,"Inside, small room",0.08,Cricket,0.06,msub,0.94,sbahn,0.06,osub,0.00,train,0.25,tram,0.22,osub,0.20,0.16,-54.92
2025-02-17 14:08:04,staircase,0.17,balcony/interior,0.11,alcove,0.10,dining room,0.07,patio,0.06,indoor,Still,100,Indoor with window closed,"Outside, rural or natural",0.26,Rustling leaves,0.08,Cricket,0.04,sbahn,0.52,msub,0.44,tram,0.02,tram,0.26,bus,0.25,train,0.17,1.55,-55.33
2025-02-17 14:08:09,alcove,0.20,closet,0.11,dorm room,0.09,bow window/indoor,0.09,basement,0.08,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.26,Rustling leaves,0.15,Wind,0.04,msub,0.64,sbahn,0.35,tram,0.01,msub,0.34,bus,0.18,osub,0.16,0.81,-49.89
2025-02-17 14:08:14,shower,0.47,closet,0.27,clothing store,0.03,shed,0.02,bathroom,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.03,"Outside, rural or natural",0.02,Bird,0.00,msub,0.52,sbahn,0.45,osub,0.01,train,0.37,bus,0.17,tram,0.16,0.08,-64.28
2025-02-17 14:08:19,shower,0.47,closet,0.27,clothing store,0.03,shed,0.02,bathroom,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.20,"Outside, rural or natural",0.02,"Inside, large room or hall",0.01,sbahn,0.52,msub,0.45,tram,0.01,train,0.23,msub,0.22,bus,0.21,0.44,-55.69
2025-02-17 14:08:24,elevator/door,0.52,doorway/outdoor,0.13,barndoor,0.07,closet,0.06,alcove,0.04,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.04,"Vehicle horn, car horn, honking",0.00,Bird,0.00,e-bus,0.93,osub,0.03,sbahn,0.03,train,0.23,msub,0.22,bus,0.21,2.41,-61.17
2025-02-17 14:08:29,elevator/door,0.87,closet,0.06,elevator lobby,0.03,alcove,0.01,doorway/outdoor,0.01,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.26,Tap,0.02,"Dishes, pots, and pans",0.01,sbahn,0.85,e-bus,0.06,msub,0.04,msub,0.36,bus,0.17,train,0.16,1.29,-57.41
2025-02-17 14:08:34,elevator/door,0.74,closet,0.08,alcove,0.06,doorway/outdoor,0.04,bank vault,0.02,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.26,Drawer open or close,0.03,"Inside, large room or hall",0.02,sbahn,0.52,msub,0.38,e-bus,0.07,msub,0.37,bus,0.16,train,0.16,0.27,-46.11
2025-02-17 14:08:39,elevator/door,0.57,elevator shaft,0.29,elevator lobby,0.03,bank vault,0.02,garage/indoor,0.02,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,"Outside, rural or natural",0.08,Rustling leaves,0.06,sbahn,0.94,msub,0.06,tram,0.00,osub,0.26,bus,0.20,msub,0.20,0.28,-48.42
2025-02-17 14:08:44,corridor,0.10,airplane cabin,0.07,attic,0.05,staircase,0.04,coffee shop,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.15,"Inside, large room or hall",0.02,"Outside, rural or natural",0.01,sbahn,0.56,msub,0.30,e-bus,0.07,tram,0.36,train,0.17,msub,0.17,1.29,-51.32
2025-02-17 14:08:49,elevator/door,0.39,shower,0.07,jail cell,0.06,basement,0.05,elevator shaft,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.03,Typing,0.00,Bird,0.00,sbahn,0.81,msub,0.12,osub,0.03,osub,0.24,bus,0.23,msub,0.18,2.28,-49.81
2025-02-17 14:08:54,elevator/door,0.23,elevator shaft,0.17,shower,0.12,basement,0.06,jail cell,0.06,indoor,Still,51,Indoor with window closed,"Inside, small room",0.06,Bird,0.03,"Outside, rural or natural",0.02,sbahn,0.93,msub,0.04,osub,0.01,train,0.25,osub,0.20,msub,0.20,2.28,-49.22
2025-02-17 14:08:59,elevator/door,0.58,shower,0.24,elevator lobby,0.08,bank vault,0.04,bathroom,0.01,indoor,Still,51,Indoor with window closed,"Inside, small room",0.11,Typing,0.01,Bird,0.01,sbahn,0.93,msub,0.03,osub,0.02,tram,0.32,msub,0.18,bus,0.17,2.28,-48.53
2025-02-17 14:09:04,sky,0.06,desert/vegetation,0.06,ocean,0.05,beach,0.05,lake/natural,0.04,outdoor,Still,51,Indoor with window closed,Bird,0.11,"Pigeon, dove",0.03,"Inside, small room",0.02,sbahn,0.84,msub,0.08,tram,0.03,osub,0.34,bus,0.17,train,0.17,2.23,-39.14
2025-02-17 14:09:09,sky,0.06,desert/vegetation,0.06,ocean,0.05,beach,0.05,lake/natural,0.04,outdoor,Still,51,Indoor with window closed,"Inside, small room",0.08,Tap,0.01,Typing,0.00,sbahn,0.72,msub,0.16,bus,0.05,osub,0.34,bus,0.17,train,0.17,1.03,-61.67
