timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 14:57:27,tundra,0.73,corn field,0.07,pasture,0.03,landfill,0.02,field/cultivated,0.02,outdoor,Unknown,0,Outdoor in Nature,"Inside, small room",0.15,"Inside, large room or hall",0.00,"Outside, rural or natural",0.00,sbahn,0.50,msub,0.49,osub,0.00,msub,0.32,bus,0.20,tram,0.16,0.91,-57.59
2025-02-17 14:57:32,tundra,0.32,corn field,0.30,tree farm,0.05,orchard,0.04,farm,0.04,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.06,Bird,0.02,"Bird vocalization, bird call, bird song",0.00,msub,0.84,sbahn,0.11,tram,0.03,msub,0.28,bus,0.24,train,0.16,0.05,-52.49
2025-02-17 14:57:37,corn field,0.26,tundra,0.26,field/cultivated,0.20,farm,0.04,vineyard,0.03,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.08,Bird,0.01,Rustling leaves,0.01,sbahn,0.76,msub,0.19,tram,0.04,msub,0.28,bus,0.24,train,0.16,0.00,-49.20
2025-02-17 14:57:42,tundra,0.50,corn field,0.15,field/cultivated,0.07,farm,0.02,field road,0.02,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.03,Bird,0.00,"Outside, urban or manmade",0.00,msub,0.62,sbahn,0.33,tram,0.03,msub,0.30,bus,0.22,train,0.16,0.00,-50.64
2025-02-17 14:57:47,corn field,0.29,tundra,0.23,field/cultivated,0.17,vineyard,0.07,farm,0.04,outdoor,Still,56,Outdoor in Nature,"Outside, rural or natural",0.06,Bird,0.02,"Bird vocalization, bird call, bird song",0.00,msub,0.91,sbahn,0.07,tram,0.01,msub,0.37,bus,0.16,osub,0.16,0.00,-51.11
2025-02-17 14:57:52,corn field,0.29,tundra,0.23,field/cultivated,0.17,vineyard,0.07,farm,0.04,outdoor,Still,56,Outdoor in Nature,"Outside, rural or natural",0.26,Rustling leaves,0.08,Wind,0.02,msub,0.95,sbahn,0.04,tram,0.00,msub,0.37,bus,0.16,osub,0.16,0.82,-49.36
2025-02-17 14:57:57,snowfield,0.27,marsh,0.10,lagoon,0.09,beach,0.05,promenade,0.04,outdoor,Still,56,Outdoor in Nature,"Outside, rural or natural",0.26,Rustling leaves,0.11,Cricket,0.06,msub,0.95,sbahn,0.05,tram,0.00,bus,0.37,msub,0.16,tram,0.16,1.06,-51.08
2025-02-17 14:58:02,snowfield,0.39,vineyard,0.07,promenade,0.06,beach,0.06,dam,0.04,outdoor,Still,56,Outdoor in Nature,"Outside, rural or natural",0.15,Rustling leaves,0.06,Wind,0.02,msub,0.92,sbahn,0.07,tram,0.01,bus,0.36,msub,0.17,train,0.16,1.02,-50.58
2025-02-17 14:58:07,vineyard,0.35,promenade,0.15,snowfield,0.06,rice paddy,0.06,canal/natural,0.04,outdoor,On Foot,90,Outdoor in Nature,"Outside, rural or natural",0.11,Bird,0.02,Rustling leaves,0.01,msub,0.82,sbahn,0.17,tram,0.01,bus,0.35,msub,0.18,train,0.16,1.03,-53.96
2025-02-17 14:58:12,orchard,0.19,lake/natural,0.12,swamp,0.09,marsh,0.09,tree farm,0.08,outdoor,On Foot,90,Outdoor in Nature,"Outside, rural or natural",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.48,msub,0.45,tram,0.02,msub,0.30,bus,0.21,train,0.17,0.20,-59.03
