timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 15:02:15,snowfield,0.53,ice floe,0.26,ski slope,0.03,ice skating rink/outdoor,0.03,zen garden,0.02,outdoor,Unknown,0,Outdoor in Nature,Wind,0.41,Wind noise (microphone),0.26,"Outside, rural or natural",0.20,msub,1.00,osub,0.00,sbahn,0.00,bus,0.37,msub,0.16,train,0.16,2.41,-13.90
2025-02-17 15:02:20,snowfield,0.28,ice skating rink/outdoor,0.25,ice floe,0.16,ski slope,0.12,igloo,0.04,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.26,Rustling leaves,0.26,Wind,0.20,msub,0.93,sbahn,0.06,tram,0.00,msub,0.33,bus,0.20,train,0.16,0.86,-30.08
2025-02-17 15:02:25,snowfield,0.43,orchard,0.09,tree farm,0.09,ski slope,0.04,ice floe,0.03,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.26,Rustling leaves,0.11,Wind,0.04,msub,0.97,sbahn,0.02,tram,0.01,bus,0.40,train,0.15,tram,0.15,0.70,-35.83
2025-02-17 15:02:30,snowfield,0.44,pasture,0.07,tree farm,0.06,ice skating rink/outdoor,0.04,ice floe,0.04,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.20,Rustling leaves,0.15,Wind,0.06,msub,1.00,sbahn,0.00,tram,0.00,bus,0.38,msub,0.16,train,0.16,1.08,-39.13
2025-02-17 15:02:35,snowfield,0.69,ski slope,0.07,tree farm,0.05,pasture,0.05,ice floe,0.03,outdoor,On Foot,94,Outdoor in Nature,"Outside, rural or natural",0.26,Rustling leaves,0.08,Wind,0.03,msub,0.99,sbahn,0.01,tram,0.00,bus,0.37,train,0.16,msub,0.16,1.12,-41.98
2025-02-17 15:02:40,snowfield,0.56,ice floe,0.06,pasture,0.04,ice skating rink/outdoor,0.04,field road,0.03,outdoor,On Foot,94,Outdoor in Nature,"Outside, rural or natural",0.20,Rustling leaves,0.11,Wind,0.08,msub,1.00,sbahn,0.00,tram,0.00,bus,0.39,msub,0.16,train,0.15,1.30,-40.14
2025-02-17 15:02:45,snowfield,0.56,ice floe,0.06,pasture,0.04,ice skating rink/outdoor,0.04,field road,0.03,outdoor,On Foot,94,Outdoor in Nature,"Outside, rural or natural",0.08,Rustling leaves,0.00,Wind,0.00,msub,1.00,sbahn,0.00,tram,0.00,bus,0.39,msub,0.16,train,0.15,1.18,-46.70
2025-02-17 15:02:50,snowfield,0.24,ice skating rink/outdoor,0.15,park,0.09,ski slope,0.07,forest path,0.04,outdoor,On Foot,97,Outdoor in Nature,"Outside, rural or natural",0.15,Rustling leaves,0.02,Bird,0.01,msub,0.99,sbahn,0.01,tram,0.00,bus,0.29,tram,0.20,train,0.18,1.20,-48.89
2025-02-17 15:02:55,zen garden,0.74,snowfield,0.11,ice floe,0.01,field/cultivated,0.01,lake/natural,0.01,outdoor,On Foot,97,Outdoor in Nature,"Outside, rural or natural",0.20,Rustling leaves,0.04,Bird,0.02,msub,0.90,sbahn,0.09,tram,0.01,bus,0.40,train,0.15,msub,0.15,1.28,-50.54
2025-02-17 15:03:00,orchard,0.19,soccer field,0.08,zen garden,0.07,lake/natural,0.05,pond,0.05,outdoor,On Foot,97,Outdoor in Nature,"Outside, rural or natural",0.20,Rustling leaves,0.04,Bird,0.02,msub,0.82,sbahn,0.17,tram,0.01,bus,0.25,msub,0.24,train,0.18,1.10,-50.84
