timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 18:16:21,parking garage/indoor,0.45,raceway,0.22,auto showroom,0.10,desert/vegetation,0.06,parking lot,0.05,indoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.15,Wind,0.15,sbahn,0.50,msub,0.37,tram,0.10,tram,0.29,msub,0.23,train,0.16,0.00,-34.79
2025-02-15 18:16:26,street,0.22,highway,0.11,promenade,0.09,downtown,0.06,parking garage/indoor,0.05,outdoor,Unknown,40,Outdoor on Foot,Rustling leaves,0.20,"Outside, rural or natural",0.20,Wind,0.08,msub,0.75,sbahn,0.12,tram,0.12,bus,0.36,tram,0.18,osub,0.16,0.39,-37.48
2025-02-15 18:16:31,street,0.28,promenade,0.21,boardwalk,0.06,food court,0.06,downtown,0.05,outdoor,Unknown,40,Outdoor on Foot,Motor vehicle (road),0.26,Car,0.26,"Outside, urban or manmade",0.08,tram,0.28,bus,0.24,e-bus,0.23,bus,0.40,osub,0.15,train,0.15,0.79,-33.79
2025-02-15 18:16:36,street,0.23,promenade,0.14,downtown,0.10,plaza,0.08,crosswalk,0.07,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.08,"Outside, urban or manmade",0.06,Wind,0.03,msub,0.96,tram,0.02,sbahn,0.01,tram,0.39,msub,0.16,bus,0.15,0.39,-34.96
2025-02-15 18:16:41,street,0.23,promenade,0.14,downtown,0.10,plaza,0.08,crosswalk,0.07,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.06,Bird,0.03,msub,0.75,sbahn,0.23,tram,0.02,tram,0.39,osub,0.15,bus,0.15,1.04,-35.81
2025-02-15 18:16:46,parking garage/indoor,0.41,subway station/platform,0.04,garage/indoor,0.04,parking lot,0.04,loading dock,0.03,indoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.15,Wind,0.08,sbahn,0.68,msub,0.28,tram,0.03,tram,0.39,osub,0.15,bus,0.15,1.28,-39.05
2025-02-15 18:16:51,courtyard,0.06,castle,0.05,alley,0.05,aqueduct,0.05,parking lot,0.04,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.02,Bird,0.02,sbahn,0.79,msub,0.16,tram,0.05,tram,0.29,msub,0.22,bus,0.17,1.30,-38.29
2025-02-15 18:16:56,alley,0.15,catacomb,0.14,ruin,0.04,jail cell,0.04,castle,0.03,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.06,"Inside, small room",0.04,Bird,0.03,msub,0.87,sbahn,0.12,tram,0.01,tram,0.35,bus,0.18,msub,0.16,1.34,-37.16
2025-02-15 18:17:01,street,0.41,alley,0.27,downtown,0.06,plaza,0.02,crosswalk,0.01,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.03,"Pigeon, dove",0.01,msub,0.86,sbahn,0.08,tram,0.05,tram,0.24,bus,0.24,train,0.20,1.25,-34.41
2025-02-15 18:17:06,hotel/outdoor,0.13,embassy,0.09,street,0.08,parking lot,0.07,apartment building/outdoor,0.05,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.08,"Outside, urban or manmade",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.67,sbahn,0.22,tram,0.09,tram,0.34,bus,0.18,train,0.17,1.21,-35.79
