timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 15:43:37,ruin,0.34,castle,0.18,palace,0.05,church/outdoor,0.05,tower,0.03,outdoor,Still,46,Outdoor on Foot,"Outside, rural or natural",0.11,"Boat, Water vehicle",0.03,Bird,0.02,msub,0.89,sbahn,0.08,tram,0.02,bus,0.38,msub,0.16,train,0.15,1.21,-46.41
2025-02-17 15:43:42,harbor,0.30,oilrig,0.09,alley,0.09,excavation,0.08,bridge,0.03,outdoor,Still,46,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.02,Bird,0.02,msub,1.00,sbahn,0.00,tram,0.00,bus,0.33,train,0.19,tram,0.16,0.22,-42.05
2025-02-17 15:43:47,plaza,0.21,palace,0.14,courtyard,0.12,promenade,0.10,campus,0.06,outdoor,Still,46,Outdoor on Foot,"Outside, rural or natural",0.33,Rustling leaves,0.04,Cricket,0.02,sbahn,0.69,msub,0.28,tram,0.02,tram,0.28,bus,0.20,train,0.18,0.15,-49.18
2025-02-17 15:43:52,hospital,0.14,amusement park,0.12,parking lot,0.06,industrial area,0.05,courtyard,0.05,outdoor,Still,46,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.03,Wind,0.02,sbahn,0.53,msub,0.46,osub,0.01,train,0.24,tram,0.22,msub,0.19,0.77,-46.88
2025-02-17 15:43:57,corral,0.12,ruin,0.12,fire escape,0.10,construction site,0.06,slum,0.06,outdoor,Still,46,Outdoor on Foot,"Outside, rural or natural",0.02,"Inside, small room",0.00,Bird,0.00,sbahn,0.55,msub,0.34,tram,0.06,msub,0.34,bus,0.18,tram,0.16,1.07,-43.32
2025-02-17 15:44:02,corral,0.12,ruin,0.12,fire escape,0.10,construction site,0.06,slum,0.06,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.02,Rustling leaves,0.02,msub,0.90,sbahn,0.10,tram,0.00,msub,0.35,bus,0.18,train,0.16,1.29,-45.02
2025-02-17 15:44:07,fire escape,0.37,hospital,0.08,office building,0.05,courtyard,0.05,industrial area,0.05,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.41,Rustling leaves,0.06,Wind,0.02,msub,0.65,sbahn,0.28,tram,0.07,msub,0.35,bus,0.18,train,0.16,1.25,-37.85
2025-02-17 15:44:12,fire escape,0.17,ski resort,0.17,courtyard,0.07,construction site,0.06,ruin,0.05,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.26,Cricket,0.03,Rustling leaves,0.02,msub,0.54,sbahn,0.39,tram,0.07,bus,0.32,msub,0.21,train,0.16,1.26,-45.15
2025-02-17 15:44:17,castle,0.15,ruin,0.13,alley,0.10,aqueduct,0.06,arch,0.04,outdoor,On Foot,99,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.02,Bird,0.02,sbahn,0.52,msub,0.46,tram,0.02,bus,0.36,tram,0.16,train,0.16,1.25,-47.52
2025-02-17 15:44:22,castle,0.18,museum/outdoor,0.12,ruin,0.08,church/outdoor,0.07,mausoleum,0.05,outdoor,On Foot,99,Outdoor on Foot,Cricket,0.08,"Outside, rural or natural",0.08,"Inside, small room",0.06,sbahn,0.90,msub,0.07,tram,0.02,bus,0.39,tram,0.15,train,0.15,1.24,-48.40
2025-02-17 15:44:27,ruin,0.16,church/outdoor,0.13,castle,0.11,tower,0.09,arch,0.07,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.06,"Inside, small room",0.06,Bird,0.06,msub,0.50,sbahn,0.47,tram,0.02,bus,0.33,train,0.19,tram,0.17,1.28,-49.33
2025-02-17 15:44:32,ruin,0.36,castle,0.11,alley,0.10,construction site,0.07,amphitheater,0.05,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.20,Bird,0.03,Rustling leaves,0.02,msub,0.40,tram,0.03,msub,0.02,bus,0.31,train,0.20,msub,0.17,1.27,-38.97
2025-02-17 15:44:37,excavation,0.10,construction site,0.07,campus,0.07,landfill,0.06,hospital,0.06,outdoor,On Foot,96,Outdoor on Foot,Cricket,0.33,"Outside, rural or natural",0.11,"Inside, small room",0.03,sbahn,0.99,osub,0.00,tram,0.00,bus,0.39,train,0.15,tram,0.15,1.26,-44.43
2025-02-17 15:44:42,excavation,0.68,construction site,0.19,slum,0.02,alley,0.02,railroad track,0.01,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.15,Cricket,0.08,Bird,0.04,sbahn,0.78,msub,0.15,tram,0.05,msub,0.37,bus,0.17,train,0.15,1.25,-45.57
2025-02-17 15:44:47,alley,0.25,dam,0.15,excavation,0.08,campsite,0.06,boat deck,0.04,outdoor,On Foot,96,Outdoor on Foot,Cricket,0.04,"Outside, rural or natural",0.04,"Inside, small room",0.03,sbahn,0.84,msub,0.12,tram,0.03,msub,0.25,osub,0.20,train,0.20,1.30,-43.46
2025-02-17 15:44:52,alley,0.25,dam,0.15,excavation,0.08,campsite,0.06,boat deck,0.04,outdoor,On Foot,96,Outdoor on Foot,Train,0.11,"Railroad car, train wagon",0.04,Bird,0.03,sbahn,0.75,osub,0.21,tram,0.02,msub,0.25,osub,0.20,train,0.20,1.19,-39.08
2025-02-17 15:44:57,alley,0.26,street,0.18,excavation,0.04,landfill,0.03,landing deck,0.03,outdoor,On Foot,88,Outdoor on Foot,Train,0.06,"Railroad car, train wagon",0.03,"Inside, large room or hall",0.01,sbahn,0.79,osub,0.13,e-bus,0.07,tram,0.31,bus,0.19,train,0.18,1.30,-38.64
2025-02-17 15:45:02,alley,0.23,street,0.01,loading dock,0.00,promenade,0.00,boardwalk,0.00,outdoor,On Foot,88,Outdoor on Foot,Train,0.06,"Inside, small room",0.04,"Railroad car, train wagon",0.03,sbahn,0.62,osub,0.16,msub,0.15,train,0.25,tram,0.22,msub,0.18,1.26,-34.20
2025-02-17 15:45:07,alley,0.10,loading dock,0.00,museum/outdoor,0.00,construction site,0.00,staircase,0.00,outdoor,On Foot,88,Outdoor on Foot,"Inside, large room or hall",0.03,"Inside, small room",0.02,Train,0.02,sbahn,0.23,msub,0.22,e-bus,0.21,train,0.34,tram,0.19,bus,0.16,1.24,-34.84
2025-02-17 15:45:12,construction site,0.40,excavation,0.24,industrial area,0.07,harbor,0.03,amusement park,0.03,outdoor,On Foot,92,Outdoor on Foot,"Inside, large room or hall",0.02,Train,0.01,"Railroad car, train wagon",0.00,sbahn,0.88,osub,0.05,e-bus,0.04,msub,0.25,bus,0.24,tram,0.17,1.14,-33.52
2025-02-17 15:45:17,atrium/public,0.52,airport terminal,0.15,elevator shaft,0.12,shopping mall/indoor,0.02,kennel/outdoor,0.01,indoor,On Foot,92,Outdoor on Foot,"Inside, small room",0.04,"Inside, large room or hall",0.03,Train,0.02,sbahn,0.90,osub,0.06,msub,0.03,osub,0.25,bus,0.22,msub,0.18,1.02,-32.36
