timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 15:30:38,swamp,0.22,forest/broadleaf,0.13,pond,0.12,lake/natural,0.11,forest path,0.06,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.02,"Outside, urban or manmade",0.02,msub,0.82,sbahn,0.14,tram,0.04,bus,0.32,train,0.20,msub,0.16,0.00,-46.09
2025-02-15 15:30:43,castle,0.08,trench,0.07,palace,0.04,fountain,0.04,construction site,0.03,outdoor,Unknown,40,Outdoor on Foot,"Inside, small room",0.06,"Outside, rural or natural",0.04,Rustling leaves,0.02,msub,0.69,sbahn,0.28,tram,0.01,msub,0.25,bus,0.21,train,0.19,0.15,-51.99
2025-02-15 15:30:48,lock chamber,0.13,castle,0.12,construction site,0.07,tree house,0.07,alley,0.05,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.08,Rustling leaves,0.02,Wind,0.02,msub,0.99,sbahn,0.01,tram,0.00,bus,0.31,tram,0.18,train,0.18,0.36,-49.98
2025-02-15 15:30:53,street,0.24,lock chamber,0.15,slum,0.12,alley,0.07,canal/urban,0.05,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.08,Wind,0.02,msub,0.99,sbahn,0.01,tram,0.00,bus,0.24,osub,0.22,train,0.19,0.01,-51.40
2025-02-15 15:30:58,street,0.24,lock chamber,0.15,slum,0.12,alley,0.07,canal/urban,0.05,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.15,Cricket,0.06,Bird,0.06,sbahn,0.56,msub,0.42,tram,0.02,train,0.33,bus,0.18,msub,0.17,1.00,-50.10
2025-02-15 15:31:03,alley,0.32,kennel/outdoor,0.20,street,0.05,promenade,0.04,storage room,0.02,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.08,Bird,0.01,"Outside, urban or manmade",0.00,msub,0.49,sbahn,0.46,tram,0.05,train,0.33,bus,0.18,msub,0.17,1.20,-49.16
2025-02-15 15:31:08,residential neighborhood,0.46,phone booth,0.15,street,0.11,parking lot,0.05,lock chamber,0.03,outdoor,On Foot,93,Outdoor on Foot,"Outside, rural or natural",0.08,Cricket,0.03,Rustling leaves,0.00,sbahn,0.77,msub,0.15,tram,0.05,bus,0.33,train,0.18,tram,0.17,1.21,-42.63
2025-02-15 15:31:13,construction site,0.10,lock chamber,0.09,moat/water,0.04,canal/natural,0.03,plaza,0.03,outdoor,On Foot,93,Outdoor on Foot,Bird,0.08,"Outside, rural or natural",0.03,"Pigeon, dove",0.00,sbahn,0.54,msub,0.38,osub,0.04,train,0.26,bus,0.20,tram,0.20,1.17,-44.83
2025-02-15 15:31:18,slum,0.17,army base,0.14,landing deck,0.09,industrial area,0.05,landfill,0.05,outdoor,On Foot,93,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.03,Bird,0.02,msub,0.82,sbahn,0.13,tram,0.05,bus,0.27,train,0.22,tram,0.19,1.27,-47.35
2025-02-15 15:31:23,residential neighborhood,0.28,street,0.28,driveway,0.12,parking lot,0.07,promenade,0.03,outdoor,On Foot,99,Outdoor on Foot,"Outside, rural or natural",0.04,"Outside, urban or manmade",0.02,Rustling leaves,0.00,msub,0.57,osub,0.21,sbahn,0.14,bus,0.39,train,0.16,tram,0.15,1.19,-30.56
2025-02-15 15:31:28,cemetery,0.10,fountain,0.07,moat/water,0.05,alley,0.03,swamp,0.03,outdoor,On Foot,99,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.01,"Outside, urban or manmade",0.00,sbahn,0.51,msub,0.40,tram,0.04,bus,0.35,train,0.18,tram,0.16,1.11,-42.76
2025-02-15 15:31:33,cemetery,0.10,fountain,0.07,moat/water,0.05,alley,0.03,swamp,0.03,outdoor,On Foot,99,Outdoor on Foot,"Outside, rural or natural",0.15,Cricket,0.02,Rustling leaves,0.00,msub,0.95,tram,0.02,sbahn,0.02,bus,0.36,tram,0.17,train,0.17,1.13,-43.59
2025-02-15 15:31:38,street,0.22,train station/platform,0.17,railroad track,0.10,alley,0.10,slum,0.06,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.06,Wind,0.02,msub,0.74,sbahn,0.23,tram,0.02,bus,0.30,tram,0.19,osub,0.18,1.12,-44.64
2025-02-15 15:31:43,street,0.22,train station/platform,0.17,railroad track,0.10,alley,0.10,slum,0.06,outdoor,On Foot,95,Outdoor on Foot,"Outside, rural or natural",0.33,Rustling leaves,0.06,Wind,0.02,msub,1.00,sbahn,0.00,tram,0.00,train,0.36,bus,0.18,tram,0.16,1.03,-36.61
2025-02-15 15:31:48,driveway,0.35,field/wild,0.13,highway,0.09,street,0.07,construction site,0.06,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.20,Bird,0.03,"Outside, urban or manmade",0.01,msub,0.92,sbahn,0.06,tram,0.01,train,0.36,bus,0.18,tram,0.16,1.09,-48.30
