timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 16:29:35,car interior,0.24,airplane cabin,0.21,bus interior,0.18,train interior,0.12,waiting room,0.08,indoor,Unknown,0,Vehicle in Bus,"Boat, Water vehicle",0.08,"Outside, rural or natural",0.04,"Railroad car, train wagon",0.04,msub,0.81,osub,0.13,sbahn,0.03,tram,0.34,msub,0.19,bus,0.16,0.00,-24.50
2025-02-18 16:29:40,train interior,0.37,bus interior,0.28,car interior,0.12,airplane cabin,0.05,waiting room,0.02,indoor,Unknown,40,Vehicle in Bus,Train,0.15,"Railroad car, train wagon",0.11,"Outside, urban or manmade",0.08,bus,0.78,e-bus,0.20,msub,0.01,tram,0.39,msub,0.16,train,0.15,0.94,-28.97
2025-02-18 16:29:45,bus interior,0.70,train interior,0.28,car interior,0.01,airplane cabin,0.00,berth,0.00,indoor,Unknown,40,Vehicle in Bus,"Inside, small room",0.11,"Inside, large room or hall",0.04,"Dishes, pots, and pans",0.02,e-bus,0.84,osub,0.05,sbahn,0.05,tram,0.40,msub,0.15,bus,0.15,0.56,-25.90
2025-02-18 16:29:50,bus interior,0.62,train interior,0.38,berth,0.00,car interior,0.00,airplane cabin,0.00,indoor,Unknown,40,Vehicle in Bus,Motor vehicle (road),0.11,Bus,0.08,"Inside, small room",0.06,bus,0.71,e-bus,0.25,sbahn,0.02,tram,0.23,bus,0.21,msub,0.21,0.15,-30.71
2025-02-18 16:29:55,bus interior,0.38,train interior,0.22,boat deck,0.16,car interior,0.05,berth,0.03,indoor,Unknown,40,Vehicle in Bus,Train,0.04,Wind,0.04,"Outside, urban or manmade",0.04,e-bus,0.61,bus,0.25,msub,0.07,tram,0.36,bus,0.18,train,0.15,0.12,-37.01
2025-02-18 16:30:00,boat deck,0.15,crosswalk,0.07,airport terminal,0.06,harbor,0.04,parking lot,0.03,outdoor,In Vehicle,86,Vehicle in Bus,Bus,0.15,Motor vehicle (road),0.15,"Outside, urban or manmade",0.11,bus,0.57,msub,0.30,sbahn,0.05,tram,0.40,train,0.15,bus,0.15,0.90,-28.89
2025-02-18 16:30:05,boat deck,0.15,crosswalk,0.07,airport terminal,0.06,harbor,0.04,parking lot,0.03,outdoor,In Vehicle,86,Vehicle in Bus,"Outside, urban or manmade",0.06,Bus,0.04,Car,0.03,msub,0.51,bus,0.14,sbahn,0.14,tram,0.40,train,0.15,bus,0.15,6.33,-36.55
2025-02-18 16:30:10,bus interior,0.13,boat deck,0.10,train interior,0.09,playground,0.06,airport terminal,0.04,indoor,In Vehicle,86,Vehicle in Bus,"Inside, small room",0.15,"Inside, large room or hall",0.02,"Dishes, pots, and pans",0.01,e-bus,0.87,msub,0.07,bus,0.03,tram,0.38,bus,0.16,train,0.15,2.83,-41.19
2025-02-18 16:30:15,bus interior,0.59,train interior,0.31,amphitheater,0.02,swimming pool/indoor,0.01,stadium/football,0.01,indoor,In Vehicle,86,Vehicle in Bus,"Inside, small room",0.06,Bird,0.02,"Inside, large room or hall",0.01,sbahn,0.56,msub,0.23,e-bus,0.08,tram,0.35,bus,0.18,msub,0.15,0.00,-40.07
2025-02-18 16:30:20,bus interior,0.50,train interior,0.36,porch,0.02,amphitheater,0.01,stadium/baseball,0.01,indoor,In Vehicle,86,Vehicle in Bus,Train,0.06,"Inside, small room",0.04,"Railroad car, train wagon",0.04,bus,0.54,sbahn,0.22,tram,0.14,bus,0.39,tram,0.16,msub,0.15,0.00,-35.98
2025-02-18 16:30:25,bus interior,0.52,train interior,0.41,gas station,0.02,parking garage/indoor,0.01,berth,0.00,indoor,Unknown,40,Vehicle in Bus,Aircraft,0.15,Train,0.15,"Outside, urban or manmade",0.11,msub,0.37,bus,0.28,e-bus,0.21,bus,0.29,tram,0.22,msub,0.17,4.96,-29.77
2025-02-18 16:30:30,bus interior,0.57,train interior,0.42,berth,0.00,parking garage/indoor,0.00,bus station/indoor,0.00,indoor,Unknown,40,Vehicle in Bus,"Inside, large room or hall",0.01,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.44,msub,0.43,osub,0.09,tram,0.30,bus,0.19,train,0.18,7.23,-31.15
2025-02-18 16:30:35,train interior,0.34,bus interior,0.30,subway station/platform,0.17,train station/platform,0.05,parking garage/indoor,0.03,indoor,Unknown,40,Vehicle in Bus,"Inside, small room",0.11,Bus,0.06,Train,0.02,e-bus,0.71,bus,0.29,sbahn,0.01,bus,0.22,tram,0.21,msub,0.21,7.74,-35.57
2025-02-18 16:30:40,train interior,0.26,bus interior,0.23,subway station/platform,0.11,server room,0.07,train station/platform,0.04,indoor,Unknown,40,Vehicle in Bus,"Inside, small room",0.06,Motor vehicle (road),0.03,"Outside, urban or manmade",0.03,bus,0.66,e-bus,0.21,sbahn,0.11,tram,0.27,bus,0.20,train,0.20,7.34,-36.76
