timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 14:36:00,train interior,0.89,bus interior,0.11,airplane cabin,0.00,conference center,0.00,airport terminal,0.00,indoor,On Foot,91,Vehicle in Bus,"Outside, urban or manmade",0.02,Bus,0.01,"Outside, rural or natural",0.01,msub,0.57,e-bus,0.36,osub,0.03,bus,0.40,tram,0.15,train,0.15,0.00,-29.56
2025-02-17 14:36:05,train interior,0.53,bus interior,0.46,airplane cabin,0.01,conference center,0.00,airport terminal,0.00,indoor,On Foot,91,Vehicle in Bus,"Inside, small room",0.06,Car,0.06,"Outside, urban or manmade",0.06,bus,0.82,e-bus,0.17,osub,0.01,bus,0.40,tram,0.15,osub,0.15,6.04,-33.21
2025-02-17 14:36:10,train interior,0.61,bus interior,0.38,airplane cabin,0.02,conference center,0.00,airport terminal,0.00,indoor,On Foot,91,Vehicle in Bus,Train,0.04,Bus,0.03,"Outside, urban or manmade",0.03,bus,0.37,e-bus,0.30,tram,0.12,bus,0.40,tram,0.15,osub,0.15,7.39,-34.93
2025-02-17 14:36:15,bus interior,0.76,train interior,0.23,airplane cabin,0.01,swimming pool/indoor,0.00,conference center,0.00,indoor,On Foot,91,Vehicle in Bus,"Inside, small room",0.06,"Outside, rural or natural",0.02,Bird,0.02,bus,0.58,e-bus,0.13,tram,0.09,bus,0.40,tram,0.15,msub,0.15,5.41,-34.63
2025-02-17 14:36:20,train interior,0.56,bus interior,0.37,airplane cabin,0.07,conference center,0.00,airport terminal,0.00,indoor,On Foot,91,Vehicle in Bus,"Outside, urban or manmade",0.08,"Outside, rural or natural",0.06,Car,0.03,sbahn,0.35,bus,0.29,e-bus,0.18,bus,0.40,tram,0.15,msub,0.15,4.27,-35.58
2025-02-17 14:36:25,train interior,0.56,bus interior,0.37,airplane cabin,0.07,conference center,0.00,airport terminal,0.00,indoor,Unknown,40,Vehicle in Bus,Train,0.11,"Railroad car, train wagon",0.08,Motor vehicle (road),0.06,bus,0.73,e-bus,0.24,msub,0.01,bus,0.40,tram,0.15,train,0.15,1.80,-31.51
2025-02-17 14:36:30,bus interior,0.62,train interior,0.09,excavation,0.08,construction site,0.04,engine room,0.03,indoor,Unknown,40,Vehicle in Bus,"Outside, urban or manmade",0.11,Train,0.08,Motor vehicle (road),0.08,bus,0.56,msub,0.26,tram,0.07,bus,0.40,tram,0.15,train,0.15,2.45,-33.22
2025-02-17 14:36:35,bus interior,0.86,train interior,0.11,youth hostel,0.02,berth,0.01,boat deck,0.00,indoor,Unknown,40,Vehicle in Bus,Motor vehicle (road),0.11,Car,0.08,"Outside, urban or manmade",0.08,bus,0.38,e-bus,0.20,tram,0.19,bus,0.40,tram,0.15,msub,0.15,4.89,-31.90
2025-02-17 14:36:40,bus interior,0.75,train interior,0.21,junkyard,0.01,berth,0.01,playground,0.01,indoor,Unknown,40,Vehicle in Bus,Bus,0.03,Motor vehicle (road),0.03,"Outside, urban or manmade",0.02,bus,0.58,e-bus,0.36,osub,0.02,bus,0.40,tram,0.15,train,0.15,5.95,-34.06
2025-02-17 14:36:45,bus interior,0.71,train interior,0.16,playground,0.04,junkyard,0.02,berth,0.01,indoor,Unknown,40,Vehicle in Bus,Train,0.02,"Inside, small room",0.02,Bus,0.02,sbahn,0.45,e-bus,0.36,tram,0.09,bus,0.35,tram,0.18,train,0.17,6.87,-34.88
2025-02-17 14:36:50,bus interior,0.32,server room,0.12,engine room,0.08,repair shop,0.08,train interior,0.05,indoor,Unknown,40,Vehicle in Bus,"Inside, small room",0.03,Bus,0.03,Motor vehicle (road),0.01,e-bus,0.66,bus,0.21,msub,0.06,bus,0.40,tram,0.15,train,0.15,6.67,-35.52
2025-02-17 14:36:55,bus interior,0.77,train interior,0.22,berth,0.00,boat deck,0.00,airplane cabin,0.00,indoor,Unknown,40,Vehicle in Bus,"Inside, small room",0.06,"Inside, large room or hall",0.02,"Outside, urban or manmade",0.01,e-bus,0.31,sbahn,0.24,tram,0.21,bus,0.40,tram,0.15,train,0.15,6.01,-35.76
2025-02-17 14:37:00,bus interior,0.74,train interior,0.23,airplane cabin,0.01,playground,0.00,waiting room,0.00,indoor,Unknown,40,Vehicle in Bus,"Inside, small room",0.11,"Inside, large room or hall",0.02,"Outside, rural or natural",0.01,msub,0.45,e-bus,0.22,sbahn,0.22,bus,0.40,train,0.15,tram,0.15,4.71,-35.61
