timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 18:16:21,assembly line,0.52,auto factory,0.21,amusement park,0.03,engine room,0.02,physics laboratory,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.95,msub,0.04,osub,0.01,bus,0.40,msub,0.15,tram,0.15,3.43,-42.03
2025-02-18 18:16:26,assembly line,0.44,auto factory,0.13,amusement park,0.08,amusement arcade,0.07,engine room,0.03,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.04,Car,0.00,"Inside, large room or hall",0.00,sbahn,0.85,msub,0.09,tram,0.03,bus,0.40,msub,0.15,tram,0.15,0.33,-41.62
2025-02-18 18:16:31,assembly line,0.50,auto factory,0.27,amusement arcade,0.05,amusement park,0.05,engine room,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.11,"Dishes, pots, and pans",0.00,"Inside, large room or hall",0.00,sbahn,0.99,msub,0.00,osub,0.00,bus,0.40,tram,0.15,msub,0.15,0.01,-43.01
2025-02-18 18:16:36,assembly line,0.41,amusement arcade,0.16,auto factory,0.15,amusement park,0.06,repair shop,0.02,indoor,Still,99,Vehicle in E-Bus,"Inside, small room",0.08,Bus,0.02,"Inside, large room or hall",0.01,sbahn,0.96,e-bus,0.04,osub,0.00,bus,0.40,tram,0.15,msub,0.15,0.00,-42.44
2025-02-18 18:16:41,assembly line,0.32,amusement arcade,0.20,auto factory,0.12,bus interior,0.06,train interior,0.05,indoor,Still,99,Vehicle in E-Bus,"Inside, small room",0.01,Car,0.00,"Inside, large room or hall",0.00,sbahn,0.66,e-bus,0.28,tram,0.03,bus,0.40,tram,0.15,msub,0.15,0.15,-42.12
2025-02-18 18:16:46,assembly line,0.35,auto factory,0.22,amusement park,0.09,amusement arcade,0.09,train interior,0.05,indoor,Still,99,Vehicle in E-Bus,"Inside, small room",0.20,"Inside, large room or hall",0.01,"Dishes, pots, and pans",0.01,sbahn,0.95,osub,0.03,e-bus,0.01,bus,0.40,tram,0.15,msub,0.15,0.29,-43.06
2025-02-18 18:16:51,assembly line,0.35,auto factory,0.22,amusement park,0.09,amusement arcade,0.09,train interior,0.05,indoor,Still,99,Vehicle in E-Bus,"Inside, small room",0.26,"Dishes, pots, and pans",0.01,"Inside, large room or hall",0.01,sbahn,0.83,tram,0.10,msub,0.04,bus,0.40,tram,0.15,msub,0.15,0.49,-41.72
2025-02-18 18:16:56,assembly line,0.32,auto factory,0.20,amusement arcade,0.13,bus interior,0.08,train interior,0.06,indoor,Still,99,Vehicle in E-Bus,"Inside, small room",0.04,"Inside, large room or hall",0.00,"Dishes, pots, and pans",0.00,sbahn,0.85,e-bus,0.06,bus,0.04,bus,0.40,tram,0.15,msub,0.15,0.17,-41.56
2025-02-18 18:17:01,assembly line,0.36,amusement arcade,0.18,auto factory,0.15,amusement park,0.05,train interior,0.04,indoor,Still,54,Vehicle in E-Bus,"Inside, small room",0.08,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.02,sbahn,0.79,tram,0.09,msub,0.08,bus,0.40,tram,0.15,msub,0.15,0.00,-41.47
2025-02-18 18:17:06,fire station,0.19,repair shop,0.12,amusement arcade,0.10,construction site,0.05,bus interior,0.03,indoor,Still,54,Vehicle in E-Bus,"Inside, small room",0.04,Motor vehicle (road),0.00,"Outside, rural or natural",0.00,sbahn,1.00,msub,0.00,osub,0.00,bus,0.40,msub,0.15,tram,0.15,0.00,-42.95
