timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 00:18:01,waiting room,0.10,coffee shop,0.07,berth,0.05,library/indoor,0.04,lobby,0.04,indoor,Unknown,0,Vehicle in Subway (old),"Outside, rural or natural",0.20,Rustling leaves,0.06,Wind,0.03,sbahn,0.86,msub,0.10,tram,0.03,osub,0.30,msub,0.19,bus,0.18,0.00,-41.39
2025-02-18 00:18:06,waiting room,0.17,berth,0.08,train interior,0.06,youth hostel,0.05,living room,0.05,indoor,Unknown,0,Vehicle in Subway (old),"Inside, small room",0.08,"Outside, rural or natural",0.06,Rustling leaves,0.02,msub,0.57,sbahn,0.34,osub,0.08,osub,0.40,msub,0.15,tram,0.15,0.00,-51.54
2025-02-18 00:18:11,reception,0.35,train interior,0.15,office cubicles,0.12,lobby,0.05,galley,0.04,indoor,Unknown,0,Vehicle in Subway (old),"Outside, rural or natural",0.04,Wind,0.04,Emergency vehicle,0.03,sbahn,0.82,msub,0.11,tram,0.04,osub,0.40,train,0.15,tram,0.15,0.00,-53.57
2025-02-18 00:18:16,galley,0.19,train interior,0.17,reception,0.08,bus interior,0.07,office cubicles,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.04,"Outside, rural or natural",0.03,Wind,0.02,sbahn,0.97,osub,0.02,msub,0.01,osub,0.40,train,0.15,tram,0.15,0.00,-49.54
2025-02-18 00:18:21,galley,0.19,train interior,0.17,reception,0.08,bus interior,0.07,office cubicles,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.04,Bird,0.03,"Outside, rural or natural",0.01,sbahn,0.91,osub,0.03,bus,0.02,osub,0.40,tram,0.15,train,0.15,0.00,-55.12
2025-02-18 00:18:26,train interior,0.33,reception,0.14,mezzanine,0.12,office cubicles,0.06,airport terminal,0.06,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.11,"Inside, large room or hall",0.02,Radio,0.01,sbahn,0.66,msub,0.25,e-bus,0.06,osub,0.40,tram,0.15,train,0.15,0.00,-47.60
2025-02-18 00:18:31,reception,0.32,train interior,0.12,mezzanine,0.12,office cubicles,0.06,airport terminal,0.06,indoor,Unknown,40,Vehicle in Subway (old),"Outside, rural or natural",0.04,"Outside, urban or manmade",0.02,"Inside, small room",0.02,msub,0.85,sbahn,0.12,tram,0.02,osub,0.40,tram,0.15,train,0.15,0.00,-48.50
2025-02-18 00:18:36,reception,0.59,office cubicles,0.07,jewelry shop,0.06,elevator lobby,0.02,mezzanine,0.02,indoor,Still,57,Vehicle in Subway (old),Car,0.11,Motor vehicle (road),0.11,Vibration,0.04,bus,0.51,tram,0.41,e-bus,0.04,osub,0.40,train,0.15,bus,0.15,0.00,-38.18
2025-02-18 00:18:41,reception,0.36,jewelry shop,0.20,office cubicles,0.08,mezzanine,0.04,train interior,0.03,indoor,Still,57,Vehicle in Subway (old),"Inside, small room",0.08,"Outside, urban or manmade",0.04,"Inside, large room or hall",0.04,e-bus,0.75,msub,0.19,sbahn,0.03,osub,0.39,tram,0.15,msub,0.15,0.00,-38.54
2025-02-18 00:18:46,reception,0.55,jewelry shop,0.17,office cubicles,0.05,train interior,0.02,elevator lobby,0.02,indoor,Still,57,Vehicle in Subway (old),"Inside, small room",0.06,"Inside, large room or hall",0.02,"Dishes, pots, and pans",0.01,e-bus,0.58,sbahn,0.16,osub,0.09,osub,0.39,msub,0.16,tram,0.15,0.00,-37.94
2025-02-18 00:18:51,reception,0.38,jewelry shop,0.22,office cubicles,0.07,train interior,0.05,mezzanine,0.02,indoor,Still,100,Vehicle in Subway (old),"Inside, small room",0.06,Car,0.03,Motor vehicle (road),0.03,e-bus,0.39,bus,0.29,sbahn,0.22,osub,0.39,tram,0.16,msub,0.15,0.00,-38.73
2025-02-18 00:18:56,reception,0.30,jewelry shop,0.15,mezzanine,0.08,office cubicles,0.05,train interior,0.03,indoor,Still,100,Vehicle in Subway (old),Motor vehicle (road),0.08,Car,0.08,"Outside, urban or manmade",0.06,bus,0.54,e-bus,0.18,sbahn,0.15,osub,0.39,msub,0.15,tram,0.15,0.00,-36.45
2025-02-18 00:19:01,reception,0.73,jewelry shop,0.06,office cubicles,0.05,ticket booth,0.02,mezzanine,0.01,indoor,Still,100,Vehicle in Subway (old),"Outside, rural or natural",0.11,"Outside, urban or manmade",0.04,Cricket,0.04,sbahn,0.96,osub,0.01,msub,0.01,osub,0.40,tram,0.15,train,0.15,0.00,-32.58
2025-02-18 00:19:06,reception,0.63,jewelry shop,0.10,ticket booth,0.04,office cubicles,0.03,coffee shop,0.02,indoor,Still,96,Vehicle in Subway (old),Train,0.20,"Railroad car, train wagon",0.08,"Outside, urban or manmade",0.06,msub,0.98,osub,0.01,sbahn,0.01,osub,0.40,tram,0.15,train,0.15,0.00,-29.04
2025-02-18 00:19:11,reception,0.63,jewelry shop,0.10,ticket booth,0.04,office cubicles,0.03,coffee shop,0.02,indoor,Still,96,Vehicle in Subway (old),Train,0.33,"Railroad car, train wagon",0.26,Train whistle,0.06,msub,0.61,osub,0.23,sbahn,0.10,osub,0.40,train,0.15,tram,0.15,0.00,-25.70
2025-02-18 00:19:16,berth,0.24,reception,0.17,train interior,0.12,waiting room,0.06,lobby,0.06,indoor,Still,96,Vehicle in Subway (old),Wind,0.11,"Outside, urban or manmade",0.08,Motor vehicle (road),0.06,bus,0.70,e-bus,0.13,msub,0.08,osub,0.40,train,0.15,tram,0.15,0.00,-33.03
2025-02-18 00:19:21,train interior,0.32,bus interior,0.30,berth,0.17,galley,0.16,restaurant kitchen,0.01,indoor,Still,96,Vehicle in Subway (old),Car,0.15,Motor vehicle (road),0.15,"Outside, urban or manmade",0.06,bus,0.48,osub,0.23,sbahn,0.13,osub,0.40,train,0.15,bus,0.15,0.00,-33.50
