timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-16 18:20:58,berth,0.15,amusement arcade,0.05,server room,0.05,locker room,0.04,bank vault,0.04,indoor,Unknown,40,Vehicle in Subway,"Inside, large room or hall",0.01,"Inside, public space",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.90,osub,0.05,sbahn,0.04,msub,0.40,tram,0.15,bus,0.15,0.00,-25.87
2025-02-16 18:21:03,berth,0.12,locker room,0.07,bathroom,0.05,server room,0.05,home theater,0.05,indoor,Unknown,40,Vehicle in Subway,Wind,0.08,Ocean,0.08,"Boat, Water vehicle",0.08,msub,0.41,sbahn,0.35,bus,0.12,msub,0.40,tram,0.15,train,0.15,0.00,-27.55
2025-02-16 18:21:08,berth,0.09,bathroom,0.08,locker room,0.07,recreation room,0.06,server room,0.05,indoor,In Vehicle,86,Vehicle in Subway,Wind,0.11,"Outside, urban or manmade",0.08,Wind noise (microphone),0.06,msub,0.41,sbahn,0.31,osub,0.26,msub,0.40,tram,0.15,bus,0.15,0.00,-31.48
2025-02-16 18:21:13,locker room,0.39,berth,0.14,elevator/door,0.06,server room,0.04,train interior,0.04,indoor,In Vehicle,86,Vehicle in Subway,Wind,0.20,Train,0.20,Wind noise (microphone),0.15,msub,1.00,sbahn,0.00,osub,0.00,msub,0.40,tram,0.15,bus,0.15,0.00,-31.00
2025-02-16 18:21:18,garage/indoor,0.16,campsite,0.14,basement,0.10,server room,0.07,kennel/outdoor,0.07,indoor,In Vehicle,86,Vehicle in Subway,Train,0.11,"Railroad car, train wagon",0.06,"Subway, metro, underground",0.03,bus,0.43,sbahn,0.40,e-bus,0.12,msub,0.40,train,0.15,tram,0.15,0.00,-33.34
2025-02-16 18:21:23,garage/indoor,0.16,campsite,0.14,basement,0.10,server room,0.07,kennel/outdoor,0.07,indoor,Unknown,40,Vehicle in Subway,Train,0.08,Aircraft,0.04,"Subway, metro, underground",0.04,sbahn,0.42,msub,0.21,osub,0.21,msub,0.40,train,0.15,tram,0.15,0.00,-36.92
2025-02-16 18:21:28,garage/indoor,0.13,campsite,0.13,closet,0.12,clothing store,0.09,server room,0.07,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.04,"Inside, large room or hall",0.02,Slam,0.00,msub,0.36,sbahn,0.35,e-bus,0.16,msub,0.40,train,0.15,tram,0.15,0.00,-36.77
2025-02-16 18:21:33,campsite,0.21,clothing store,0.11,closet,0.08,flea market/indoor,0.06,garage/indoor,0.04,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.03,"Inside, large room or hall",0.02,Motor vehicle (road),0.02,msub,0.81,sbahn,0.17,bus,0.01,msub,0.40,train,0.15,tram,0.15,0.00,-43.27
2025-02-16 18:21:38,phone booth,0.12,loading dock,0.06,chemistry lab,0.05,kennel/outdoor,0.05,server room,0.05,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.06,"Inside, large room or hall",0.01,Train,0.00,sbahn,0.83,msub,0.16,bus,0.00,msub,0.40,tram,0.15,train,0.15,0.00,-52.48
2025-02-16 18:21:43,campsite,0.18,raceway,0.06,heliport,0.06,runway,0.06,boat deck,0.05,outdoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.00,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.96,sbahn,0.04,osub,0.01,msub,0.40,tram,0.15,train,0.15,0.00,-28.50
2025-02-16 18:21:48,raceway,0.21,server room,0.09,loading dock,0.06,driveway,0.05,auto factory,0.04,outdoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.20,"Outside, rural or natural",0.02,Bird,0.02,msub,0.57,sbahn,0.41,osub,0.01,msub,0.29,tram,0.24,train,0.16,0.00,-51.92
2025-02-16 18:21:53,subway station/platform,0.09,airport terminal,0.08,server room,0.07,arena/rodeo,0.04,amphitheater,0.03,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.06,Radio,0.01,Motor vehicle (road),0.00,msub,0.58,sbahn,0.42,e-bus,0.00,msub,0.40,train,0.15,tram,0.15,0.00,-36.33
2025-02-16 18:21:58,server room,0.10,airport terminal,0.07,kennel/outdoor,0.06,arena/rodeo,0.05,amphitheater,0.05,outdoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.11,Squeak,0.02,Car alarm,0.01,e-bus,0.56,msub,0.29,bus,0.14,msub,0.40,train,0.15,tram,0.15,0.00,-28.06
