timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 00:08:10,loading dock,0.39,mausoleum,0.03,ticket booth,0.03,server room,0.03,phone booth,0.02,outdoor,Unknown,40,Vehicle in Subway,Train,0.03,"Railroad car, train wagon",0.01,"Inside, small room",0.01,msub,0.87,sbahn,0.07,osub,0.03,msub,0.29,tram,0.22,train,0.16,0.52,-36.75
2025-02-18 00:08:15,computer room,0.29,phone booth,0.09,server room,0.07,loading dock,0.07,television room,0.05,indoor,Unknown,40,Vehicle in Subway,Train,0.02,"Outside, urban or manmade",0.01,"Railroad car, train wagon",0.01,msub,0.91,e-bus,0.06,osub,0.02,msub,0.28,tram,0.24,train,0.16,0.52,-32.43
2025-02-18 00:08:20,loading dock,0.46,barndoor,0.06,home theater,0.05,computer room,0.04,garage/outdoor,0.03,outdoor,Unknown,40,Vehicle in Subway,Train,0.01,Bird,0.01,"Pigeon, dove",0.01,msub,0.95,tram,0.02,sbahn,0.02,tram,0.38,msub,0.17,bus,0.15,0.00,-32.69
2025-02-18 00:08:25,loading dock,0.26,computer room,0.12,home theater,0.09,server room,0.05,ticket booth,0.03,indoor,Unknown,40,Vehicle in Subway,"Subway, metro, underground",0.20,Train,0.15,"Railroad car, train wagon",0.11,msub,0.98,sbahn,0.01,osub,0.01,tram,0.31,msub,0.22,train,0.16,0.00,-32.05
2025-02-18 00:08:30,campsite,0.76,clothing store,0.02,dressing room,0.02,shed,0.01,greenhouse/outdoor,0.01,outdoor,Unknown,40,Vehicle in Subway,Wind,0.26,Ocean,0.15,"Waves, surf",0.11,e-bus,0.66,bus,0.15,sbahn,0.15,msub,0.40,tram,0.15,train,0.15,0.00,-34.10
2025-02-18 00:08:35,campsite,0.75,repair shop,0.02,hangar/outdoor,0.02,clothing store,0.01,patio,0.01,outdoor,Unknown,40,Vehicle in Subway,"Subway, metro, underground",0.26,Train,0.20,"Railroad car, train wagon",0.15,sbahn,0.31,e-bus,0.19,bus,0.19,msub,0.40,train,0.15,tram,0.15,0.00,-28.91
2025-02-18 00:08:40,campsite,0.75,repair shop,0.02,hangar/outdoor,0.02,clothing store,0.01,patio,0.01,outdoor,Unknown,40,Vehicle in Subway,"Outside, urban or manmade",0.06,"Outside, rural or natural",0.06,Wind,0.04,sbahn,0.48,osub,0.21,e-bus,0.14,msub,0.40,train,0.15,tram,0.15,0.00,-30.28
2025-02-18 00:08:45,campsite,0.67,loading dock,0.02,patio,0.02,hangar/outdoor,0.02,greenhouse/outdoor,0.02,outdoor,Unknown,40,Vehicle in Subway,Aircraft,0.06,"Waves, surf",0.06,"Subway, metro, underground",0.06,bus,0.90,e-bus,0.04,sbahn,0.03,msub,0.40,tram,0.15,train,0.15,0.00,-30.91
2025-02-18 00:08:50,campsite,0.46,patio,0.06,loading dock,0.04,clothing store,0.02,kennel/outdoor,0.02,outdoor,Unknown,40,Vehicle in Subway,"Subway, metro, underground",0.08,Wind,0.08,Train,0.06,bus,0.62,e-bus,0.17,sbahn,0.14,msub,0.40,tram,0.15,train,0.15,0.00,-31.67
2025-02-18 00:08:55,campsite,0.36,kennel/outdoor,0.07,locker room,0.04,server room,0.04,shed,0.03,outdoor,Unknown,40,Vehicle in Subway,Motor vehicle (road),0.11,"Outside, urban or manmade",0.11,Car,0.08,sbahn,0.63,msub,0.20,tram,0.10,msub,0.40,train,0.15,tram,0.15,0.00,-32.30
2025-02-18 00:09:00,train interior,0.51,bus interior,0.45,airplane cabin,0.02,airport terminal,0.00,mezzanine,0.00,indoor,Unknown,40,Vehicle in Subway,Train,0.67,"Railroad car, train wagon",0.41,"Subway, metro, underground",0.33,sbahn,0.88,osub,0.07,msub,0.03,msub,0.40,tram,0.15,bus,0.15,0.00,-34.68
2025-02-18 00:09:05,train interior,0.77,airplane cabin,0.17,bus interior,0.04,parking garage/indoor,0.01,airport terminal,0.00,indoor,Still,96,Vehicle in Subway,"Outside, rural or natural",0.08,"Outside, urban or manmade",0.06,Bird,0.04,msub,0.87,sbahn,0.07,osub,0.03,msub,0.40,tram,0.15,bus,0.15,0.00,-37.65
2025-02-18 00:09:10,train interior,0.51,bus interior,0.42,airport terminal,0.02,parking garage/indoor,0.01,stable,0.00,indoor,Still,96,Vehicle in Subway,Train,0.26,"Subway, metro, underground",0.11,"Railroad car, train wagon",0.11,sbahn,0.86,msub,0.06,e-bus,0.05,msub,0.40,tram,0.15,bus,0.15,0.00,-41.79
2025-02-18 00:09:15,train interior,0.65,bus interior,0.29,parking garage/indoor,0.01,airport terminal,0.01,assembly line,0.00,indoor,Still,96,Vehicle in Subway,"Inside, small room",0.04,Bird,0.02,"Outside, rural or natural",0.02,sbahn,0.53,msub,0.40,osub,0.03,msub,0.40,tram,0.15,bus,0.15,0.00,-49.73
2025-02-18 00:09:20,train interior,0.79,bus interior,0.17,airport terminal,0.01,parking garage/indoor,0.01,subway station/platform,0.00,indoor,Still,96,Vehicle in Subway,"Inside, small room",0.02,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.69,msub,0.22,e-bus,0.08,msub,0.40,bus,0.15,tram,0.15,0.00,-35.96
2025-02-18 00:09:25,train interior,0.79,bus interior,0.17,airport terminal,0.01,parking garage/indoor,0.01,subway station/platform,0.00,indoor,Still,96,Vehicle in Subway,Bird,0.06,"Outside, rural or natural",0.04,"Inside, small room",0.03,sbahn,0.87,msub,0.13,tram,0.00,msub,0.40,tram,0.15,bus,0.15,0.00,-54.82
2025-02-18 00:09:30,train interior,0.79,bus interior,0.19,parking garage/indoor,0.01,airplane cabin,0.00,airport terminal,0.00,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.03,"Outside, rural or natural",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.97,msub,0.02,osub,0.00,msub,0.40,tram,0.15,bus,0.15,0.00,-53.02
2025-02-18 00:09:35,train interior,0.83,bus interior,0.10,airport terminal,0.01,parking garage/indoor,0.01,laundromat,0.01,indoor,Unknown,40,Vehicle in Subway,"Outside, rural or natural",0.06,Bird,0.06,"Inside, small room",0.04,sbahn,0.97,msub,0.02,osub,0.00,msub,0.40,tram,0.15,bus,0.15,0.00,-49.01
2025-02-18 00:09:40,train interior,0.83,bus interior,0.13,airport terminal,0.01,laundromat,0.01,airplane cabin,0.00,indoor,Unknown,40,Vehicle in Subway,"Outside, rural or natural",0.04,Bird,0.03,"Inside, small room",0.01,sbahn,0.87,msub,0.11,tram,0.00,msub,0.40,tram,0.15,bus,0.15,0.00,-51.94
2025-02-18 00:09:45,train interior,0.81,bus interior,0.12,subway station/platform,0.02,airport terminal,0.01,parking garage/indoor,0.01,indoor,Still,100,Vehicle in Subway,"Inside, small room",0.04,"Outside, rural or natural",0.04,Bird,0.03,sbahn,0.63,tram,0.13,bus,0.10,msub,0.40,tram,0.15,bus,0.15,0.00,-49.29
2025-02-18 00:09:50,train interior,0.80,bus interior,0.14,airport terminal,0.02,subway station/platform,0.01,laundromat,0.00,indoor,Still,100,Vehicle in Subway,"Outside, rural or natural",0.04,"Outside, urban or manmade",0.01,"Inside, small room",0.00,msub,0.85,sbahn,0.07,tram,0.05,msub,0.40,tram,0.15,bus,0.15,0.00,-45.43
2025-02-18 00:09:55,train interior,0.46,airport terminal,0.24,subway station/platform,0.12,bus interior,0.08,train station/platform,0.02,indoor,Still,100,Vehicle in Subway,Train,0.06,"Inside, small room",0.04,"Outside, rural or natural",0.04,sbahn,0.63,msub,0.22,osub,0.07,msub,0.40,tram,0.15,bus,0.15,0.00,-45.95
2025-02-18 00:10:00,train interior,0.64,bus interior,0.21,airport terminal,0.06,laundromat,0.02,subway station/platform,0.01,indoor,Still,99,Vehicle in Subway,"Inside, small room",0.02,"Outside, rural or natural",0.01,Bird,0.01,sbahn,0.90,tram,0.05,osub,0.02,msub,0.39,tram,0.16,bus,0.15,0.00,-52.25
2025-02-18 00:10:05,train interior,0.59,bus interior,0.18,airport terminal,0.10,parking garage/indoor,0.02,subway station/platform,0.02,indoor,Still,99,Vehicle in Subway,"Outside, rural or natural",0.02,"Inside, small room",0.01,Bird,0.01,sbahn,0.92,msub,0.05,bus,0.01,msub,0.40,tram,0.15,bus,0.15,0.00,-51.59
2025-02-18 00:10:10,train interior,0.59,bus interior,0.18,airport terminal,0.10,parking garage/indoor,0.02,subway station/platform,0.02,indoor,Still,99,Vehicle in Subway,Train,0.08,"Railroad car, train wagon",0.04,"Subway, metro, underground",0.04,msub,0.60,sbahn,0.26,e-bus,0.06,msub,0.40,tram,0.15,bus,0.15,0.00,-40.03
2025-02-18 00:10:15,train interior,0.62,bus interior,0.18,airport terminal,0.09,laundromat,0.03,parking garage/indoor,0.01,indoor,Still,99,Vehicle in Subway,Aircraft,0.20,Field recording,0.08,"Outside, rural or natural",0.06,e-bus,0.36,sbahn,0.34,bus,0.15,msub,0.40,tram,0.15,bus,0.15,0.00,-28.97
