timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 23:42:10,locker room,0.58,train interior,0.25,bus interior,0.05,elevator lobby,0.03,office cubicles,0.02,indoor,Unknown,0,Vehicle in Tram,Train,0.04,"Inside, small room",0.03,Bird,0.02,sbahn,0.99,osub,0.01,e-bus,0.00,tram,0.40,bus,0.15,train,0.15,0.00,-34.26
2025-02-17 23:42:15,locker room,0.50,train interior,0.15,elevator lobby,0.13,reception,0.08,office cubicles,0.04,indoor,Unknown,0,Vehicle in Tram,Train,0.04,"Subway, metro, underground",0.03,"Railroad car, train wagon",0.02,sbahn,0.33,msub,0.31,tram,0.20,tram,0.39,bus,0.16,msub,0.15,4.40,-33.29
2025-02-17 23:42:20,train interior,0.61,bus interior,0.19,reception,0.06,locker room,0.05,airplane cabin,0.03,indoor,Unknown,0,Vehicle in Tram,"Outside, urban or manmade",0.06,Train,0.06,Field recording,0.06,bus,0.38,sbahn,0.34,e-bus,0.22,tram,0.40,bus,0.15,msub,0.15,4.40,-34.56
2025-02-17 23:42:25,train interior,0.47,bus interior,0.23,locker room,0.18,airplane cabin,0.04,elevator lobby,0.01,indoor,Unknown,0,Vehicle in Tram,Train,0.20,Aircraft,0.11,"Railroad car, train wagon",0.11,tram,0.25,bus,0.24,sbahn,0.17,bus,0.33,tram,0.20,msub,0.16,7.80,-31.53
2025-02-17 23:42:30,locker room,0.68,train interior,0.15,bus interior,0.09,elevator lobby,0.01,lobby,0.01,indoor,Still,62,Vehicle in Tram,Car,0.08,Motor vehicle (road),0.06,"Inside, small room",0.03,bus,0.47,sbahn,0.30,e-bus,0.10,bus,0.37,tram,0.17,msub,0.16,4.74,-31.77
2025-02-17 23:42:35,locker room,0.52,train interior,0.27,server room,0.02,bus interior,0.02,subway station/platform,0.02,indoor,Still,62,Vehicle in Tram,"Inside, small room",0.15,Bird,0.06,"Pigeon, dove",0.06,sbahn,0.82,msub,0.10,e-bus,0.05,tram,0.40,bus,0.15,train,0.15,4.74,-37.99
2025-02-17 23:42:40,locker room,0.52,train interior,0.27,server room,0.02,bus interior,0.02,subway station/platform,0.02,indoor,Still,62,Vehicle in Tram,Bird,0.06,"Outside, rural or natural",0.06,"Inside, small room",0.04,sbahn,0.89,msub,0.08,tram,0.02,tram,0.40,bus,0.15,train,0.15,2.13,-33.93
2025-02-17 23:42:45,locker room,0.28,train interior,0.10,booth/indoor,0.05,gas station,0.04,assembly line,0.03,indoor,Still,62,Vehicle in Tram,Train,0.06,"Railroad car, train wagon",0.03,Slam,0.02,msub,0.75,e-bus,0.14,tram,0.04,tram,0.40,msub,0.15,train,0.15,2.13,-28.78
2025-02-17 23:42:50,train interior,0.34,bus interior,0.12,locker room,0.10,engine room,0.05,gas station,0.03,indoor,Unknown,40,Vehicle in Tram,Train,0.11,"Inside, small room",0.08,"Railroad car, train wagon",0.06,sbahn,0.64,bus,0.14,osub,0.10,tram,0.40,msub,0.15,train,0.15,11.83,-29.03
2025-02-17 23:42:55,locker room,0.32,train interior,0.12,bus interior,0.03,assembly line,0.03,subway station/platform,0.03,indoor,Unknown,40,Vehicle in Tram,Bird,0.02,Radio,0.01,"Subway, metro, underground",0.01,sbahn,0.56,osub,0.17,msub,0.13,tram,0.40,msub,0.15,train,0.15,11.83,-38.48
