timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 23:51:39,train interior,0.35,locker room,0.18,booth/indoor,0.07,subway station/platform,0.04,office cubicles,0.04,indoor,Still,60,Vehicle in Tram,"Inside, large room or hall",0.01,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.57,msub,0.31,osub,0.06,tram,0.40,bus,0.15,train,0.15,0.00,-39.07
2025-02-17 23:51:44,locker room,0.27,booth/indoor,0.11,science museum,0.09,assembly line,0.08,airport terminal,0.06,indoor,Still,60,Vehicle in Tram,Bird,0.04,"Inside, small room",0.04,"Outside, rural or natural",0.02,sbahn,0.90,tram,0.03,msub,0.03,tram,0.40,msub,0.15,train,0.15,1.29,-50.02
2025-02-17 23:51:49,locker room,0.36,assembly line,0.06,airport terminal,0.06,subway station/platform,0.05,science museum,0.05,indoor,Still,60,Vehicle in Tram,"Inside, small room",0.08,"Outside, rural or natural",0.03,Bird,0.03,sbahn,0.97,msub,0.01,osub,0.01,tram,0.40,msub,0.15,train,0.15,0.09,-50.06
2025-02-17 23:51:54,train interior,0.33,science museum,0.08,locker room,0.08,subway station/platform,0.08,bus interior,0.07,indoor,Still,100,Vehicle in Tram,"Inside, small room",0.11,Bird,0.02,"Inside, large room or hall",0.02,sbahn,0.84,msub,0.13,tram,0.01,tram,0.40,msub,0.15,train,0.15,0.53,-49.79
2025-02-17 23:51:59,locker room,0.14,subway station/platform,0.13,train interior,0.12,booth/indoor,0.10,science museum,0.07,indoor,Still,100,Vehicle in Tram,"Inside, small room",0.01,"Outside, urban or manmade",0.00,Car,0.00,sbahn,0.62,e-bus,0.19,msub,0.11,tram,0.40,train,0.15,msub,0.15,0.08,-42.71
2025-02-17 23:52:04,train interior,0.42,subway station/platform,0.08,science museum,0.08,bus interior,0.07,server room,0.02,indoor,Still,100,Vehicle in Tram,Motor vehicle (road),0.04,Car,0.04,"Outside, rural or natural",0.03,sbahn,0.51,msub,0.38,tram,0.06,tram,0.40,train,0.15,msub,0.15,4.04,-25.33
2025-02-17 23:52:09,train interior,0.42,subway station/platform,0.08,science museum,0.08,bus interior,0.07,server room,0.02,indoor,Still,100,Vehicle in Tram,Motor vehicle (road),0.03,Bus,0.02,Car,0.02,bus,0.56,tram,0.27,e-bus,0.15,tram,0.40,train,0.15,msub,0.15,10.02,-21.92
2025-02-17 23:52:14,train interior,0.15,server room,0.11,science museum,0.10,locker room,0.07,assembly line,0.06,indoor,Still,100,Vehicle in Tram,Car,0.15,Motor vehicle (road),0.15,Field recording,0.15,bus,0.89,tram,0.05,msub,0.02,tram,0.40,train,0.15,bus,0.15,11.58,-20.22
2025-02-17 23:52:19,science museum,0.19,locker room,0.10,booth/indoor,0.08,assembly line,0.04,subway station/platform,0.04,indoor,Unknown,40,Vehicle in Tram,Car,0.11,Motor vehicle (road),0.11,"Outside, urban or manmade",0.08,tram,0.36,osub,0.21,msub,0.17,tram,0.40,msub,0.15,train,0.15,10.92,-20.57
2025-02-17 23:52:24,science museum,0.26,train interior,0.10,booth/indoor,0.08,amusement arcade,0.05,bus interior,0.04,indoor,Unknown,40,Vehicle in Tram,Car,0.15,Motor vehicle (road),0.15,Bus,0.08,tram,0.50,bus,0.40,msub,0.05,tram,0.40,train,0.15,bus,0.15,10.78,-20.54
