timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-26 19:03:08,subway station/platform,0.87,train station/platform,0.12,railroad track,0.00,train interior,0.00,bus station/indoor,0.00,indoor,Still,98,Indoor in Subway-Station,"Inside, large room or hall",0.01,"Inside, public space",0.00,"Outside, urban or manmade",0.00,msub,0.78,sbahn,0.09,e-bus,0.07,osub,0.40,tram,0.15,msub,0.15,0.00,-43.17
2025-02-26 19:03:13,subway station/platform,0.60,train station/platform,0.38,railroad track,0.01,bus station/indoor,0.00,parking garage/indoor,0.00,indoor,Still,98,Indoor in Subway-Station,"Outside, rural or natural",0.04,"Pigeon, dove",0.03,"Outside, urban or manmade",0.03,msub,0.91,sbahn,0.03,osub,0.03,tram,0.36,osub,0.17,bus,0.16,0.00,-32.06
2025-02-26 19:03:18,subway station/platform,0.67,crosswalk,0.10,desert/sand,0.04,arena/rodeo,0.04,amphitheater,0.02,indoor,Still,98,Indoor in Subway-Station,"Outside, urban or manmade",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.95,sbahn,0.04,tram,0.00,bus,0.40,tram,0.15,train,0.15,0.00,-40.67
2025-02-26 19:03:23,subway station/platform,0.70,desert/sand,0.07,arena/rodeo,0.05,airport terminal,0.03,train station/platform,0.02,indoor,Still,98,Indoor in Subway-Station,"Outside, rural or natural",0.04,"Boat, Water vehicle",0.03,Wind,0.02,msub,0.89,sbahn,0.07,tram,0.03,bus,0.40,tram,0.15,train,0.15,0.00,-41.24
2025-02-26 19:03:28,subway station/platform,0.85,train station/platform,0.02,desert/sand,0.02,escalator/indoor,0.02,airport terminal,0.01,indoor,Still,44,Indoor in Subway-Station,"Inside, small room",0.02,"Outside, rural or natural",0.02,Bird,0.02,msub,0.76,sbahn,0.22,osub,0.01,bus,0.39,tram,0.16,train,0.15,0.00,-36.37
2025-02-26 19:03:33,subway station/platform,0.55,arena/rodeo,0.08,airport terminal,0.06,train station/platform,0.04,ice skating rink/indoor,0.03,indoor,Still,44,Indoor in Subway-Station,"Inside, small room",0.03,"Outside, rural or natural",0.02,Bird,0.01,sbahn,0.67,e-bus,0.21,msub,0.07,bus,0.38,tram,0.16,train,0.16,0.00,-35.84
2025-02-26 19:03:38,subway station/platform,0.55,arena/rodeo,0.08,airport terminal,0.06,train station/platform,0.04,ice skating rink/indoor,0.03,indoor,Still,99,Indoor in Subway-Station,"Inside, small room",0.11,Bird,0.02,"Outside, rural or natural",0.01,sbahn,0.74,msub,0.24,tram,0.01,bus,0.38,tram,0.16,train,0.16,0.00,-46.50
2025-02-26 19:03:43,subway station/platform,0.70,desert/sand,0.07,highway,0.03,train station/platform,0.03,arena/rodeo,0.03,indoor,Still,99,Indoor in Subway-Station,"Inside, small room",0.06,"Outside, rural or natural",0.06,"Inside, large room or hall",0.01,msub,0.49,sbahn,0.47,tram,0.03,bus,0.40,train,0.15,tram,0.15,0.00,-46.04
2025-02-26 19:03:48,sauna,0.80,berth,0.05,parking garage/indoor,0.02,mezzanine,0.01,bowling alley,0.01,indoor,Still,99,Indoor in Subway-Station,"Inside, small room",0.03,"Inside, large room or hall",0.02,Bird,0.00,sbahn,0.66,msub,0.29,e-bus,0.04,osub,0.29,tram,0.23,msub,0.17,0.00,-42.54
2025-02-26 19:03:53,subway station/platform,0.50,stadium/baseball,0.10,amphitheater,0.08,lecture room,0.04,auditorium,0.04,indoor,Still,56,Indoor in Subway-Station,"Inside, small room",0.01,Bird,0.00,"Inside, large room or hall",0.00,msub,0.70,sbahn,0.27,osub,0.01,osub,0.39,bus,0.16,train,0.15,0.00,-49.84
