timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-24 18:28:41,zen garden,0.15,shower,0.10,driveway,0.09,office cubicles,0.07,desert/sand,0.05,outdoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.11,"Outside, rural or natural",0.08,Rustling leaves,0.04,msub,0.90,sbahn,0.10,osub,0.00,msub,0.33,tram,0.20,bus,0.16,0.00,-46.87
2025-03-24 18:28:46,subway station/platform,0.93,escalator/indoor,0.02,bowling alley,0.01,locker room,0.01,train station/platform,0.01,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.15,"Inside, large room or hall",0.02,Bird,0.00,sbahn,0.48,msub,0.41,tram,0.05,msub,0.39,tram,0.15,train,0.15,0.00,-43.69
2025-03-24 18:28:51,subway station/platform,0.93,escalator/indoor,0.02,bowling alley,0.01,locker room,0.01,train station/platform,0.01,indoor,On Foot,91,Indoor in Subway-Station,"Inside, small room",0.11,Bird,0.02,"Outside, rural or natural",0.01,msub,0.49,sbahn,0.28,e-bus,0.19,tram,0.39,msub,0.16,train,0.15,0.00,-49.10
2025-03-24 18:28:56,subway station/platform,0.96,train station/platform,0.04,railroad track,0.00,escalator/indoor,0.00,highway,0.00,indoor,On Foot,91,Indoor in Subway-Station,"Inside, small room",0.26,"Inside, large room or hall",0.01,"Outside, rural or natural",0.01,sbahn,0.74,msub,0.24,osub,0.01,tram,0.39,msub,0.16,train,0.15,0.00,-48.00
2025-03-24 18:29:01,subway station/platform,0.97,train station/platform,0.02,locker room,0.00,bowling alley,0.00,railroad track,0.00,indoor,On Foot,91,Indoor in Subway-Station,"Inside, small room",0.04,"Inside, large room or hall",0.00,"Outside, rural or natural",0.00,msub,0.85,sbahn,0.13,osub,0.01,tram,0.38,msub,0.16,train,0.16,0.00,-51.33
2025-03-24 18:29:06,subway station/platform,0.60,bowling alley,0.17,locker room,0.04,train station/platform,0.03,server room,0.01,indoor,On Foot,91,Indoor in Subway-Station,"Inside, small room",0.20,"Inside, large room or hall",0.02,Drawer open or close,0.00,msub,0.86,sbahn,0.12,e-bus,0.01,tram,0.32,train,0.20,bus,0.16,0.00,-48.93
2025-03-24 18:29:11,subway station/platform,0.91,bowling alley,0.06,locker room,0.01,train station/platform,0.01,railroad track,0.00,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.06,"Inside, large room or hall",0.01,"Vehicle horn, car horn, honking",0.00,sbahn,0.81,msub,0.09,e-bus,0.05,tram,0.38,msub,0.16,train,0.16,0.00,-51.63
2025-03-24 18:29:16,subway station/platform,0.96,bowling alley,0.01,train station/platform,0.01,railroad track,0.01,locker room,0.00,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.11,Bird,0.00,"Inside, large room or hall",0.00,sbahn,0.68,msub,0.24,e-bus,0.04,tram,0.34,train,0.17,msub,0.17,0.00,-55.05
2025-03-24 18:29:21,subway station/platform,0.97,bowling alley,0.01,railroad track,0.01,train station/platform,0.01,locker room,0.00,indoor,Still,100,Indoor in Subway-Station,"Inside, small room",0.04,"Inside, large room or hall",0.00,"Cutlery, silverware",0.00,sbahn,0.67,msub,0.16,e-bus,0.11,tram,0.32,train,0.19,msub,0.17,0.00,-52.70
2025-03-24 18:29:26,subway station/platform,0.98,bowling alley,0.01,train station/platform,0.00,locker room,0.00,railroad track,0.00,indoor,Still,100,Indoor in Subway-Station,"Inside, small room",0.03,"Inside, large room or hall",0.01,Bird,0.00,msub,0.82,sbahn,0.11,e-bus,0.05,tram,0.35,train,0.17,msub,0.17,0.00,-52.55
