timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-19 15:30:46,Unknown,0.00,Unknown,0.00,Unknown,0.00,Unknown,0.00,Unknown,0.00,Unknown,Still,100,Indoor with window closed,"Inside, small room",0.02,"Inside, large room or hall",0.01,"Outside, rural or natural",0.00,msub,0.60,sbahn,0.35,osub,0.04,msub,0.40,osub,0.15,bus,0.15,0.00,-43.54
2025-02-19 15:30:51,atrium/public,0.17,airport terminal,0.13,mezzanine,0.09,escalator/indoor,0.05,staircase,0.04,indoor,Still,98,Indoor with window closed,"Inside, small room",0.08,Tap,0.00,Typing,0.00,msub,0.68,sbahn,0.28,osub,0.02,msub,0.37,bus,0.16,osub,0.16,0.00,-53.98
2025-02-19 15:30:56,atrium/public,0.24,airport terminal,0.14,mezzanine,0.09,lobby,0.05,shopping mall/indoor,0.05,indoor,Still,98,Indoor with window closed,"Inside, small room",0.00,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.96,sbahn,0.04,osub,0.00,msub,0.36,bus,0.16,train,0.16,0.19,-43.28
2025-02-19 15:31:01,reception,0.36,office,0.08,lobby,0.07,television studio,0.06,home theater,0.05,indoor,Still,98,Indoor with window closed,"Inside, small room",0.04,"Inside, large room or hall",0.00,"Outside, urban or manmade",0.00,msub,0.54,osub,0.21,sbahn,0.17,tram,0.34,osub,0.17,msub,0.17,0.09,-42.04
2025-02-19 15:31:06,home theater,0.11,balcony/interior,0.07,television studio,0.06,fountain,0.04,television room,0.04,indoor,Still,98,Indoor with window closed,"Fire engine, fire truck (siren)",0.00,Toot,0.00,Wind noise (microphone),0.00,msub,0.83,sbahn,0.11,e-bus,0.03,tram,0.39,msub,0.15,train,0.15,0.09,-36.19
2025-02-19 15:31:11,television studio,0.08,raceway,0.05,highway,0.05,downtown,0.05,balcony/interior,0.04,outdoor,Still,98,Indoor with window closed,"Fire engine, fire truck (siren)",0.00,Toot,0.00,Wind noise (microphone),0.00,sbahn,0.58,msub,0.16,osub,0.13,tram,0.35,osub,0.17,msub,0.17,0.07,-38.69
2025-02-19 15:31:16,television studio,0.08,raceway,0.05,highway,0.05,downtown,0.05,balcony/interior,0.04,outdoor,Still,98,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.76,sbahn,0.23,osub,0.01,tram,0.35,osub,0.17,msub,0.17,0.07,-52.56
2025-02-19 15:31:21,balcony/interior,0.06,shoe shop,0.05,fountain,0.04,television studio,0.04,wet bar,0.04,indoor,Still,98,Indoor with window closed,"Inside, large room or hall",0.00,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.59,sbahn,0.29,osub,0.05,tram,0.34,osub,0.17,msub,0.17,0.06,-45.67
2025-02-19 15:31:27,shoe shop,0.11,balcony/interior,0.08,television studio,0.07,home theater,0.05,wet bar,0.04,indoor,Still,98,Indoor with window closed,"Fire engine, fire truck (siren)",0.00,Toot,0.00,Wind noise (microphone),0.00,sbahn,0.84,msub,0.07,osub,0.04,tram,0.37,msub,0.16,train,0.16,0.06,-50.41
2025-02-19 15:31:32,home theater,0.06,television studio,0.06,shoe shop,0.05,living room,0.04,wet bar,0.04,indoor,Still,98,Indoor with window closed,"Inside, small room",0.01,"Inside, large room or hall",0.01,"Fire engine, fire truck (siren)",0.00,msub,0.65,sbahn,0.15,e-bus,0.10,tram,0.39,msub,0.16,train,0.15,0.06,-41.95
