timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-16 17:02:55,corridor,0.23,basement,0.10,artists loft,0.06,bowling alley,0.06,hospital room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,Bird,0.00,"Fire engine, fire truck (siren)",0.00,e-bus,0.53,sbahn,0.31,msub,0.11,msub,0.27,tram,0.20,osub,0.19,0.00,-66.97
2025-02-16 17:03:00,corridor,0.13,hospital room,0.11,artists loft,0.08,office cubicles,0.07,operating room,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,Bird,0.01,"Vehicle horn, car horn, honking",0.00,sbahn,0.76,msub,0.13,e-bus,0.06,msub,0.38,tram,0.16,train,0.16,0.08,-62.56
2025-02-16 17:03:05,corridor,0.17,hospital room,0.14,operating room,0.08,locker room,0.07,artists loft,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.20,"Inside, large room or hall",0.01,"Outside, rural or natural",0.01,sbahn,0.85,e-bus,0.14,msub,0.01,msub,0.31,train,0.19,tram,0.18,0.02,-53.59
2025-02-16 17:03:10,airplane cabin,0.18,corridor,0.16,closet,0.11,basement,0.10,berth,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.20,"Inside, large room or hall",0.00,"Outside, urban or manmade",0.00,sbahn,0.81,e-bus,0.10,osub,0.08,msub,0.38,train,0.16,tram,0.15,0.07,-56.63
2025-02-16 17:03:15,berth,0.13,basement,0.11,conference room,0.06,hospital room,0.04,airplane cabin,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.11,Bird,0.04,"Pigeon, dove",0.00,sbahn,0.88,e-bus,0.05,osub,0.04,msub,0.39,train,0.16,tram,0.15,0.07,-54.74
2025-02-16 17:03:20,galley,0.18,corridor,0.17,berth,0.08,basement,0.07,airplane cabin,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.68,msub,0.28,osub,0.02,msub,0.40,train,0.15,osub,0.15,0.01,-43.26
2025-02-16 17:03:25,galley,0.18,corridor,0.17,berth,0.08,basement,0.07,airplane cabin,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.11,Bird,0.02,Typing,0.00,sbahn,0.59,msub,0.36,tram,0.02,msub,0.40,train,0.15,osub,0.15,1.03,-66.26
2025-02-16 17:03:30,galley,0.28,berth,0.17,gymnasium/indoor,0.06,corridor,0.05,conference room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.83,msub,0.15,osub,0.01,msub,0.34,train,0.19,osub,0.16,0.98,-52.85
2025-02-16 17:03:35,corridor,0.18,basement,0.16,conference room,0.12,galley,0.06,server room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.58,msub,0.39,osub,0.02,train,0.34,msub,0.18,osub,0.17,0.06,-50.80
2025-02-16 17:03:40,recreation room,0.14,bowling alley,0.12,hospital room,0.11,operating room,0.10,gymnasium/indoor,0.08,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.93,msub,0.06,osub,0.01,train,0.30,msub,0.22,osub,0.17,0.04,-52.32
2025-02-16 17:03:45,berth,0.16,basement,0.14,corridor,0.10,hotel room,0.04,dorm room,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.15,"Inside, large room or hall",0.02,"Dishes, pots, and pans",0.01,msub,0.78,sbahn,0.15,osub,0.04,train,0.39,msub,0.16,osub,0.15,0.57,-46.51
2025-02-16 17:03:50,operating room,0.13,basement,0.12,berth,0.11,recreation room,0.07,home theater,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,Train wheels squealing,0.00,"Cutlery, silverware",0.00,e-bus,0.81,osub,0.19,sbahn,0.00,train,0.39,msub,0.16,tram,0.15,0.42,-69.36
2025-02-16 17:03:55,operating room,0.13,hospital room,0.07,home theater,0.07,berth,0.06,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Outside, rural or natural",0.00,"Fire engine, fire truck (siren)",0.00,tram,0.38,msub,0.29,sbahn,0.28,train,0.26,msub,0.26,tram,0.16,0.88,-50.10
2025-02-16 17:04:00,alcove,0.27,closet,0.19,basement,0.06,kitchen,0.04,living room,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.58,bus,0.22,tram,0.08,msub,0.26,train,0.21,osub,0.19,0.04,-49.20
2025-02-16 17:04:05,alcove,0.21,closet,0.14,basement,0.07,dorm room,0.04,bedroom,0.04,indoor,Still,100,Indoor with window closed,Bird,0.00,"Inside, small room",0.00,"Outside, rural or natural",0.00,e-bus,0.68,osub,0.32,tram,0.00,msub,0.26,train,0.25,tram,0.17,0.06,-55.75
2025-02-16 17:04:10,alcove,0.21,closet,0.14,basement,0.07,dorm room,0.04,bedroom,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,e-bus,0.88,osub,0.10,tram,0.02,msub,0.25,tram,0.21,train,0.19,0.10,-49.30
2025-02-16 17:04:15,locker room,0.23,corridor,0.19,storage room,0.17,basement,0.13,server room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,Bird,0.00,"Cutlery, silverware",0.00,msub,0.46,e-bus,0.26,sbahn,0.25,msub,0.25,tram,0.21,train,0.19,0.11,-66.30
2025-02-16 17:04:20,basement,0.27,corridor,0.20,storage room,0.13,locker room,0.12,jail cell,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Vehicle horn, car horn, honking",0.00,"Cutlery, silverware",0.00,e-bus,1.00,osub,0.00,sbahn,0.00,msub,0.23,tram,0.23,osub,0.20,0.89,-71.21
2025-02-16 17:04:25,storage room,0.31,locker room,0.16,basement,0.10,corridor,0.09,closet,0.08,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Air brake,0.00,e-bus,0.93,osub,0.07,sbahn,0.00,train,0.26,tram,0.25,msub,0.17,0.06,-69.73
2025-02-16 17:04:30,locker room,0.20,storage room,0.19,closet,0.15,corridor,0.14,basement,0.08,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,Train wheels squealing,0.00,"Cutlery, silverware",0.00,e-bus,0.96,osub,0.04,sbahn,0.00,msub,0.24,tram,0.23,train,0.20,0.06,-74.44
2025-02-16 17:04:35,corridor,0.24,basement,0.21,storage room,0.10,locker room,0.09,closet,0.08,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.99,osub,0.01,msub,0.00,tram,0.27,train,0.22,msub,0.20,0.06,-74.51
2025-02-16 17:04:40,corridor,0.22,basement,0.17,locker room,0.13,storage room,0.12,closet,0.09,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Train wheels squealing,0.00,e-bus,0.61,osub,0.39,sbahn,0.00,tram,0.32,train,0.19,msub,0.17,0.03,-70.47
2025-02-16 17:04:45,locker room,0.27,basement,0.24,office cubicles,0.11,corridor,0.10,bank vault,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Toot,0.00,e-bus,0.85,osub,0.11,msub,0.03,msub,0.26,osub,0.22,train,0.18,0.03,-67.98
2025-02-16 17:04:50,corridor,0.27,locker room,0.16,basement,0.13,utility room,0.07,elevator lobby,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.15,"Outside, rural or natural",0.04,"Inside, large room or hall",0.02,sbahn,0.91,tram,0.06,msub,0.02,tram,0.27,train,0.22,osub,0.19,0.03,-33.56
2025-02-16 17:04:55,corridor,0.27,locker room,0.16,basement,0.13,utility room,0.07,elevator lobby,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Train wheels squealing,0.00,e-bus,0.99,osub,0.01,sbahn,0.00,tram,0.32,train,0.18,msub,0.18,0.03,-72.50
2025-02-16 17:05:00,locker room,0.23,basement,0.17,storage room,0.10,corridor,0.09,jail cell,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,"Outside, rural or natural",0.01,Bird,0.01,msub,0.66,sbahn,0.31,e-bus,0.02,tram,0.32,train,0.18,msub,0.18,0.00,-61.39
2025-02-16 17:05:05,closet,0.24,basement,0.08,home theater,0.05,bedroom,0.04,corridor,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,"Vehicle horn, car horn, honking",0.01,"Outside, rural or natural",0.01,msub,0.67,sbahn,0.26,tram,0.03,msub,0.35,osub,0.17,tram,0.16,0.23,-55.05
2025-02-16 17:05:10,corridor,0.30,basement,0.29,attic,0.09,berth,0.08,alcove,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,Bird,0.00,"Cutlery, silverware",0.00,e-bus,0.99,osub,0.01,sbahn,0.00,train,0.27,osub,0.21,msub,0.20,0.37,-70.54
2025-02-16 17:05:15,corridor,0.42,basement,0.27,utility room,0.12,storage room,0.07,closet,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.15,Tap,0.00,Bird,0.00,sbahn,0.70,msub,0.23,osub,0.03,train,0.24,msub,0.22,osub,0.21,0.37,-65.26
2025-02-16 17:05:20,corridor,0.42,basement,0.25,utility room,0.08,storage room,0.05,jail cell,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.82,osub,0.18,sbahn,0.00,osub,0.26,msub,0.25,train,0.17,0.37,-73.72
