timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-19 17:25:06,jail cell,0.23,basement,0.19,sauna,0.17,alcove,0.15,burial chamber,0.10,indoor,On Foot,97,Indoor with window closed,"Outside, rural or natural",0.08,"Inside, small room",0.06,Rustling leaves,0.02,sbahn,0.76,msub,0.20,tram,0.02,tram,0.28,msub,0.23,osub,0.17,0.02,-49.70
2025-02-19 17:25:11,basement,0.37,alcove,0.13,closet,0.08,staircase,0.06,sauna,0.06,indoor,On Foot,97,Indoor with window closed,"Inside, small room",0.11,"Outside, rural or natural",0.06,Rustling leaves,0.02,msub,0.78,sbahn,0.22,tram,0.00,osub,0.21,bus,0.21,train,0.21,0.89,-48.88
2025-02-19 17:25:16,basement,0.34,shower,0.10,alcove,0.07,artists loft,0.06,closet,0.06,indoor,On Foot,97,Indoor with window closed,"Outside, rural or natural",0.15,Rustling leaves,0.04,Wind,0.02,msub,0.92,sbahn,0.07,tram,0.01,osub,0.26,msub,0.21,tram,0.19,0.92,-48.18
2025-02-19 17:25:21,staircase,0.15,sauna,0.12,jail cell,0.11,burial chamber,0.09,desert/vegetation,0.08,indoor,On Foot,96,Indoor with window closed,"Inside, small room",0.06,Rustling leaves,0.02,"Outside, rural or natural",0.02,sbahn,0.77,msub,0.21,osub,0.01,tram,0.28,msub,0.21,bus,0.18,0.94,-48.86
2025-02-19 17:25:26,staircase,0.15,sauna,0.12,jail cell,0.11,burial chamber,0.09,desert/vegetation,0.08,indoor,On Foot,96,Indoor with window closed,"Inside, small room",0.15,"Inside, large room or hall",0.02,"Outside, rural or natural",0.02,msub,0.70,sbahn,0.28,e-bus,0.01,tram,0.32,osub,0.18,msub,0.17,1.10,-47.46
2025-02-19 17:25:31,desert/vegetation,0.43,basement,0.10,burial chamber,0.05,shower,0.04,closet,0.03,outdoor,On Foot,96,Indoor with window closed,"Outside, rural or natural",0.08,"Inside, small room",0.04,Rustling leaves,0.03,sbahn,0.70,msub,0.28,tram,0.01,osub,0.31,bus,0.21,tram,0.16,0.96,-45.54
2025-02-19 17:25:36,desert/vegetation,0.43,basement,0.10,burial chamber,0.05,shower,0.04,closet,0.03,outdoor,On Foot,93,Indoor with window closed,Rustling leaves,0.26,"Outside, rural or natural",0.11,Wind,0.06,msub,0.65,sbahn,0.32,tram,0.02,osub,0.31,bus,0.21,tram,0.16,0.97,-46.65
2025-02-19 17:25:41,staircase,0.22,hot spring,0.08,burial chamber,0.08,jail cell,0.08,igloo,0.06,indoor,On Foot,93,Indoor with window closed,"Inside, small room",0.03,"Inside, large room or hall",0.02,Tap,0.00,sbahn,0.72,msub,0.27,osub,0.01,osub,0.25,tram,0.21,train,0.19,1.16,-45.53
2025-02-19 17:25:46,staircase,0.30,bow window/indoor,0.13,entrance hall,0.08,attic,0.08,alcove,0.08,indoor,On Foot,93,Indoor with window closed,"Outside, rural or natural",0.15,Rustling leaves,0.06,Wind,0.03,msub,0.49,sbahn,0.37,tram,0.12,tram,0.38,msub,0.16,bus,0.16,1.12,-37.14
2025-02-19 17:25:51,parking garage/indoor,0.30,attic,0.15,garage/indoor,0.05,artists loft,0.05,hangar/indoor,0.04,indoor,On Foot,93,Indoor with window closed,"Inside, small room",0.15,"Outside, rural or natural",0.04,Rustling leaves,0.02,msub,0.66,sbahn,0.32,tram,0.01,msub,0.27,train,0.22,bus,0.17,0.66,-50.15
2025-02-19 17:25:56,parking garage/indoor,0.23,attic,0.18,garage/indoor,0.09,waiting room,0.04,garage/outdoor,0.03,indoor,On Foot,93,Indoor with window closed,"Inside, small room",0.20,Drawer open or close,0.02,"Outside, rural or natural",0.01,sbahn,0.91,msub,0.08,osub,0.01,bus,0.36,tram,0.17,train,0.16,0.07,-48.61
2025-02-19 17:26:01,jail cell,0.23,shower,0.21,bathroom,0.10,sauna,0.04,playroom,0.04,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.11,Bird,0.06,Rustling leaves,0.04,sbahn,0.50,msub,0.48,tram,0.02,bus,0.31,tram,0.20,msub,0.17,0.09,-45.17
2025-02-19 17:26:06,shower,0.13,airplane cabin,0.08,car interior,0.05,airport terminal,0.04,gymnasium/indoor,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.15,Bird,0.02,"Outside, rural or natural",0.02,sbahn,0.88,msub,0.06,osub,0.03,train,0.29,tram,0.22,msub,0.17,0.06,-57.13
