timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-22 13:09:37,burial chamber,0.20,staircase,0.19,sauna,0.13,basement,0.06,wind farm,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.20,"Inside, large room or hall",0.02,"Outside, rural or natural",0.02,sbahn,0.49,msub,0.46,osub,0.02,tram,0.33,bus,0.20,msub,0.16,0.00,-48.19
2025-02-22 13:09:42,jail cell,0.59,basement,0.07,shower,0.07,bathroom,0.06,sauna,0.04,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.15,Rustling leaves,0.06,"Inside, small room",0.03,sbahn,0.48,msub,0.48,tram,0.03,tram,0.30,bus,0.18,msub,0.18,1.57,-48.27
2025-02-22 13:09:47,jail cell,0.27,basement,0.19,alcove,0.16,berth,0.06,closet,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.11,"Outside, rural or natural",0.02,"Inside, large room or hall",0.02,sbahn,0.62,msub,0.33,tram,0.03,bus,0.26,train,0.22,tram,0.19,1.00,-48.40
2025-02-22 13:09:52,jail cell,0.38,alcove,0.33,basement,0.09,artists loft,0.05,closet,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,"Inside, large room or hall",0.02,"Outside, rural or natural",0.02,sbahn,0.95,msub,0.03,tram,0.01,tram,0.34,bus,0.17,train,0.17,1.11,-49.19
2025-02-22 13:09:57,basement,0.13,desert/vegetation,0.10,alcove,0.09,closet,0.09,bow window/indoor,0.08,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.15,Rustling leaves,0.08,Wind,0.02,msub,0.83,sbahn,0.16,tram,0.01,tram,0.25,osub,0.21,bus,0.19,0.04,-52.39
2025-02-22 13:10:02,basement,0.13,desert/vegetation,0.10,alcove,0.09,closet,0.09,bow window/indoor,0.08,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.20,Rustling leaves,0.15,Cricket,0.08,msub,0.93,sbahn,0.07,e-bus,0.00,bus,0.29,msub,0.20,tram,0.18,0.96,-48.65
2025-02-22 13:10:07,staircase,0.69,entrance hall,0.05,mezzanine,0.05,corridor,0.02,porch,0.02,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.06,"Inside, small room",0.04,Rustling leaves,0.02,sbahn,0.96,msub,0.02,osub,0.01,bus,0.29,msub,0.20,tram,0.18,1.27,-47.49
2025-02-22 13:10:12,staircase,0.37,mezzanine,0.11,bow window/indoor,0.09,entrance hall,0.05,alcove,0.03,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.08,Bird,0.03,"Inside, small room",0.03,msub,0.87,sbahn,0.11,tram,0.02,tram,0.26,msub,0.23,train,0.17,1.21,-47.60
2025-02-22 13:10:17,attic,0.17,basement,0.08,alcove,0.08,garage/indoor,0.06,reception,0.04,indoor,On Foot,86,Indoor with window closed,"Outside, rural or natural",0.26,Rustling leaves,0.08,Cricket,0.08,msub,0.69,sbahn,0.21,tram,0.07,osub,0.30,msub,0.18,train,0.18,0.75,-50.85
2025-02-22 13:10:22,water tower,0.06,windmill,0.06,skyscraper,0.04,tower,0.03,sky,0.03,outdoor,On Foot,86,Indoor with window closed,"Outside, rural or natural",0.15,Rustling leaves,0.11,Wind,0.06,msub,0.99,sbahn,0.01,tram,0.00,tram,0.22,bus,0.22,msub,0.21,0.52,-35.97
2025-02-22 13:10:27,arena/rodeo,0.12,pavilion,0.09,stable,0.08,parking garage/indoor,0.06,construction site,0.05,indoor,On Foot,86,Indoor with window closed,"Outside, rural or natural",0.08,"Inside, small room",0.02,Bird,0.02,sbahn,0.57,msub,0.42,tram,0.01,bus,0.39,tram,0.15,train,0.15,0.10,-59.00
2025-02-22 13:10:32,closet,0.28,staircase,0.22,basement,0.17,sauna,0.10,alcove,0.08,indoor,Unknown,40,Indoor with window closed,"Outside, rural or natural",0.04,"Inside, small room",0.02,Bird,0.01,sbahn,0.84,msub,0.09,bus,0.03,msub,0.26,osub,0.23,train,0.17,0.24,-49.33
