timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 14:34:05,bank vault,0.25,locker room,0.19,shower,0.17,bathroom,0.10,engine room,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Outside, rural or natural",0.03,Bird,0.01,msub,0.98,sbahn,0.02,tram,0.00,osub,0.27,tram,0.24,msub,0.17,0.27,-63.54
2025-02-15 14:34:10,locker room,0.30,shower,0.17,bank vault,0.16,bathroom,0.08,server room,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,Bird,0.02,"Pigeon, dove",0.01,e-bus,0.91,msub,0.05,osub,0.02,osub,0.27,tram,0.24,train,0.17,0.00,-66.52
2025-02-15 14:34:15,locker room,0.28,shower,0.22,bank vault,0.13,bathroom,0.09,server room,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,Bird,0.02,"Outside, rural or natural",0.02,sbahn,0.86,msub,0.10,osub,0.01,tram,0.27,osub,0.24,msub,0.17,0.15,-61.21
2025-02-15 14:34:20,shower,0.26,locker room,0.22,bathroom,0.13,bank vault,0.11,jail cell,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,"Outside, rural or natural",0.08,Bird,0.01,sbahn,0.93,msub,0.07,tram,0.01,tram,0.27,osub,0.22,msub,0.18,0.15,-56.03
2025-02-15 14:34:25,shower,0.25,bank vault,0.17,bathroom,0.12,locker room,0.09,jail cell,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.50,sbahn,0.49,e-bus,0.01,osub,0.28,tram,0.22,msub,0.17,0.01,-44.37
2025-02-15 14:34:30,shower,0.25,bank vault,0.17,bathroom,0.12,locker room,0.09,jail cell,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.66,msub,0.30,osub,0.03,osub,0.28,tram,0.22,msub,0.17,0.06,-48.93
2025-02-15 14:34:35,shower,0.25,bathroom,0.16,locker room,0.12,bank vault,0.11,jail cell,0.04,indoor,Still,100,Indoor with window closed,"Outside, rural or natural",0.03,Bird,0.01,"Fire engine, fire truck (siren)",0.00,sbahn,0.84,msub,0.14,tram,0.01,tram,0.31,osub,0.20,msub,0.17,0.06,-70.14
2025-02-15 14:34:40,shower,0.24,bathroom,0.18,bank vault,0.16,locker room,0.15,basement,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.62,msub,0.27,osub,0.09,tram,0.32,osub,0.19,msub,0.17,0.00,-46.39
2025-02-15 14:34:45,locker room,0.15,hospital room,0.05,living room,0.05,jail cell,0.04,movie theater/indoor,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.56,msub,0.40,osub,0.02,msub,0.29,bus,0.22,osub,0.17,0.08,-42.92
2025-02-15 14:34:50,elevator shaft,0.16,locker room,0.11,movie theater/indoor,0.08,jail cell,0.07,bow window/indoor,0.04,indoor,Still,100,Indoor with window closed,"Outside, rural or natural",0.08,Bird,0.03,"Inside, small room",0.02,msub,0.67,sbahn,0.31,tram,0.03,msub,0.24,osub,0.20,bus,0.20,0.08,-56.21
2025-02-15 14:34:55,elevator shaft,0.29,jail cell,0.08,locker room,0.06,movie theater/indoor,0.04,bathroom,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.15,Computer keyboard,0.01,Typing,0.01,sbahn,0.58,msub,0.30,e-bus,0.06,msub,0.22,osub,0.22,tram,0.21,0.00,-47.22
2025-02-15 14:35:00,movie theater/indoor,0.18,elevator shaft,0.15,jail cell,0.08,locker room,0.07,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.76,sbahn,0.19,osub,0.03,msub,0.26,osub,0.22,bus,0.18,0.16,-40.88
2025-02-15 14:35:05,elevator shaft,0.12,locker room,0.09,jail cell,0.06,bedroom,0.05,basement,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.08,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.52,sbahn,0.45,osub,0.03,msub,0.35,bus,0.17,tram,0.16,0.16,-54.24
2025-02-15 14:35:10,elevator shaft,0.15,movie theater/indoor,0.06,jail cell,0.05,locker room,0.04,atrium/public,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Outside, rural or natural",0.01,Bird,0.00,sbahn,0.73,msub,0.22,osub,0.03,msub,0.27,tram,0.19,bus,0.19,0.01,-61.04
2025-02-15 14:35:15,elevator shaft,0.15,movie theater/indoor,0.06,jail cell,0.05,locker room,0.04,atrium/public,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,Bird,0.01,"Vehicle horn, car horn, honking",0.00,e-bus,0.54,osub,0.45,msub,0.00,osub,0.22,msub,0.21,bus,0.20,0.09,-71.67
2025-02-15 14:35:20,elevator shaft,0.26,locker room,0.08,lock chamber,0.05,jail cell,0.04,shower,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,Bird,0.00,"Outside, urban or manmade",0.00,e-bus,0.57,osub,0.43,sbahn,0.00,osub,0.22,msub,0.21,bus,0.20,0.09,-74.44
2025-02-15 14:35:25,elevator shaft,0.22,jail cell,0.11,locker room,0.06,movie theater/indoor,0.04,basement,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Air brake,0.00,e-bus,0.72,osub,0.28,sbahn,0.00,msub,0.26,bus,0.22,osub,0.18,0.00,-74.19
2025-02-15 14:35:30,elevator shaft,0.13,locker room,0.10,movie theater/indoor,0.08,jail cell,0.05,shower,0.03,indoor,Still,100,Indoor with window closed,"Outside, rural or natural",0.04,"Inside, small room",0.02,Rustling leaves,0.01,msub,0.58,sbahn,0.40,tram,0.01,bus,0.22,msub,0.22,osub,0.20,0.24,-67.56
