timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-26 20:55:20,bathroom,0.51,shower,0.15,corridor,0.05,basement,0.05,closet,0.02,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.94,osub,0.06,tram,0.00,tram,0.31,bus,0.21,osub,0.16,0.00,-76.49
2025-02-26 20:55:25,bathroom,0.45,shower,0.14,corridor,0.10,basement,0.07,utility room,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Bird vocalization, bird call, bird song",0.00,Bird,0.00,sbahn,0.90,msub,0.08,bus,0.01,tram,0.36,osub,0.18,bus,0.16,0.00,-54.13
2025-02-26 20:55:30,bathroom,0.35,shower,0.13,corridor,0.10,closet,0.08,basement,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.90,osub,0.10,sbahn,0.00,tram,0.35,bus,0.17,osub,0.16,0.22,-76.22
2025-02-26 20:55:35,bathroom,0.29,shower,0.12,closet,0.09,basement,0.06,corridor,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.15,"Inside, large room or hall",0.00,Train wheels squealing,0.00,sbahn,0.68,msub,0.31,e-bus,0.01,tram,0.37,osub,0.16,msub,0.16,1.17,-64.84
2025-02-26 20:55:40,bathroom,0.45,shower,0.15,corridor,0.06,closet,0.05,utility room,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.93,osub,0.07,sbahn,0.00,tram,0.40,msub,0.15,osub,0.15,0.30,-75.91
2025-02-26 20:55:45,bathroom,0.45,shower,0.15,corridor,0.06,closet,0.05,utility room,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.87,osub,0.13,sbahn,0.00,tram,0.38,osub,0.16,train,0.15,1.03,-74.85
2025-02-26 20:55:50,bathroom,0.32,shower,0.19,corridor,0.13,basement,0.06,closet,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.83,osub,0.17,sbahn,0.00,tram,0.38,osub,0.16,train,0.15,0.81,-75.64
2025-02-26 20:55:55,bathroom,0.38,shower,0.16,closet,0.13,basement,0.05,utility room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,Train wheels squealing,0.00,"Cutlery, silverware",0.00,msub,0.80,sbahn,0.19,e-bus,0.00,tram,0.37,bus,0.16,msub,0.16,0.67,-68.89
2025-02-26 20:56:00,bathroom,0.28,corridor,0.13,shower,0.09,basement,0.09,closet,0.08,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.91,osub,0.09,sbahn,0.00,tram,0.39,bus,0.15,osub,0.15,0.48,-75.52
2025-02-26 20:56:05,bathroom,0.30,corridor,0.25,shower,0.11,basement,0.07,closet,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.95,osub,0.05,sbahn,0.00,tram,0.39,osub,0.15,msub,0.15,0.13,-76.32
2025-02-26 20:56:10,alcove,0.19,bathroom,0.09,shower,0.04,nursery,0.04,living room,0.03,indoor,Still,100,Indoor with window closed,"Outside, rural or natural",0.08,Bird,0.02,Cricket,0.00,msub,0.54,sbahn,0.42,tram,0.03,bus,0.22,tram,0.22,osub,0.20,0.36,-58.43
2025-02-26 20:56:15,closet,0.25,alcove,0.13,basement,0.06,dorm room,0.05,bathroom,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.93,osub,0.07,sbahn,0.00,bus,0.30,train,0.21,tram,0.17,1.11,-75.11
2025-02-26 20:56:20,closet,0.15,bathroom,0.09,alcove,0.07,playroom,0.06,dorm room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.84,osub,0.16,sbahn,0.00,bus,0.32,train,0.19,msub,0.17,0.51,-76.39
2025-02-26 20:56:25,alcove,0.17,closet,0.15,bathroom,0.08,dorm room,0.07,bedroom,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.76,osub,0.24,sbahn,0.00,train,0.30,bus,0.19,tram,0.19,0.54,-71.85
2025-02-26 20:56:30,alcove,0.12,closet,0.07,bathroom,0.06,basement,0.06,garage/indoor,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.66,osub,0.34,sbahn,0.00,tram,0.27,osub,0.21,bus,0.19,1.13,-72.51
2025-02-26 20:56:35,alcove,0.12,closet,0.07,bathroom,0.06,basement,0.06,garage/indoor,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.93,osub,0.07,sbahn,0.00,tram,0.27,osub,0.21,bus,0.19,2.22,-72.43
2025-02-26 20:56:40,alcove,0.19,closet,0.09,garage/indoor,0.05,basement,0.05,mausoleum,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,Computer keyboard,0.01,Typing,0.00,e-bus,0.88,msub,0.10,osub,0.02,osub,0.32,tram,0.19,bus,0.18,0.19,-73.01
2025-02-26 20:56:45,closet,0.08,alcove,0.08,playroom,0.08,basement,0.06,bedchamber,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.99,osub,0.01,sbahn,0.00,osub,0.22,msub,0.21,tram,0.20,0.42,-76.31
2025-02-26 20:56:50,alcove,0.13,throne room,0.07,church/indoor,0.06,mausoleum,0.05,entrance hall,0.04,indoor,Still,100,Indoor with window closed,"Outside, rural or natural",0.06,"Inside, small room",0.03,Rustling leaves,0.01,sbahn,0.86,msub,0.09,tram,0.02,msub,0.23,bus,0.23,tram,0.19,2.26,-53.69
2025-02-26 20:56:55,alcove,0.16,closet,0.09,attic,0.09,mausoleum,0.04,basement,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.96,osub,0.04,sbahn,0.00,bus,0.25,train,0.24,tram,0.17,0.25,-75.72
2025-02-26 20:57:00,alcove,0.18,mausoleum,0.11,throne room,0.06,closet,0.03,attic,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.95,osub,0.05,sbahn,0.00,train,0.26,bus,0.24,tram,0.17,0.41,-75.00
2025-02-26 20:57:05,alcove,0.14,mausoleum,0.08,throne room,0.07,closet,0.05,bow window/indoor,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.85,osub,0.15,sbahn,0.00,train,0.26,osub,0.20,bus,0.19,0.46,-74.10
2025-02-26 20:57:10,alcove,0.17,mausoleum,0.11,closet,0.06,basement,0.05,attic,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Vehicle horn, car horn, honking",0.00,"Cutlery, silverware",0.00,e-bus,0.87,osub,0.13,sbahn,0.00,train,0.29,osub,0.20,bus,0.18,0.13,-74.21
2025-02-26 20:57:15,alcove,0.26,mausoleum,0.07,closet,0.06,attic,0.05,bow window/indoor,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.90,osub,0.10,sbahn,0.00,tram,0.24,train,0.22,msub,0.21,0.39,-74.85
2025-02-26 20:57:20,alcove,0.26,mausoleum,0.07,closet,0.06,attic,0.05,bow window/indoor,0.04,indoor,Still,100,Indoor with window closed,"Inside, small room",0.04,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.94,osub,0.05,sbahn,0.00,train,0.30,bus,0.18,msub,0.18,0.39,-72.14
2025-02-26 20:57:25,alcove,0.22,attic,0.09,mausoleum,0.08,closet,0.05,basement,0.03,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Vehicle horn, car horn, honking",0.00,"Cutlery, silverware",0.00,e-bus,0.78,osub,0.22,sbahn,0.00,train,0.30,bus,0.18,msub,0.18,0.39,-72.84
2025-02-26 20:57:30,bedroom,0.39,alcove,0.09,hotel room,0.09,youth hostel,0.07,jail cell,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.06,Computer keyboard,0.00,Tap,0.00,e-bus,0.96,osub,0.04,sbahn,0.00,train,0.27,msub,0.25,tram,0.16,0.00,-74.51
2025-02-26 20:57:35,bedroom,0.31,hotel room,0.17,television room,0.15,alcove,0.12,dorm room,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.65,osub,0.34,sbahn,0.00,msub,0.36,train,0.18,tram,0.16,0.00,-74.42
2025-02-26 20:57:40,bedroom,0.30,television room,0.20,hotel room,0.16,dorm room,0.11,alcove,0.09,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.85,osub,0.15,sbahn,0.00,msub,0.38,train,0.16,tram,0.16,0.00,-76.17
2025-02-26 20:57:45,bedroom,0.26,hotel room,0.14,alcove,0.13,dorm room,0.11,television room,0.10,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.95,osub,0.05,sbahn,0.00,msub,0.40,tram,0.15,train,0.15,0.00,-76.05
2025-02-26 20:57:50,bedroom,0.26,television room,0.18,hotel room,0.17,bedchamber,0.11,alcove,0.09,indoor,Still,100,Indoor with window closed,"Inside, small room",0.03,Computer keyboard,0.00,"Fire engine, fire truck (siren)",0.00,e-bus,0.99,osub,0.01,sbahn,0.00,msub,0.40,tram,0.15,train,0.15,0.00,-74.80
2025-02-26 20:57:55,bedroom,0.33,television room,0.20,hotel room,0.17,alcove,0.07,bedchamber,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.90,osub,0.10,sbahn,0.00,msub,0.40,train,0.15,tram,0.15,0.00,-76.29
2025-02-26 20:58:00,bedroom,0.27,television room,0.23,hotel room,0.15,bedchamber,0.08,alcove,0.08,indoor,Still,100,Indoor with window closed,"Inside, small room",0.33,Tap,0.06,"Inside, large room or hall",0.02,msub,0.43,osub,0.25,sbahn,0.21,msub,0.40,train,0.15,tram,0.15,0.00,-36.82
2025-02-26 20:58:05,bedroom,0.27,television room,0.23,hotel room,0.15,bedchamber,0.08,alcove,0.08,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.95,osub,0.05,sbahn,0.00,msub,0.40,tram,0.15,osub,0.15,0.00,-75.85
2025-02-26 20:58:10,alcove,0.38,television room,0.12,basement,0.08,bedroom,0.06,closet,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,Bird,0.00,"Vehicle horn, car horn, honking",0.00,sbahn,0.55,osub,0.26,e-bus,0.17,msub,0.40,tram,0.15,osub,0.15,0.46,-68.38
2025-02-26 20:58:15,alcove,0.30,television room,0.21,basement,0.08,bedroom,0.08,living room,0.07,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,Train wheels squealing,0.00,"Cutlery, silverware",0.00,e-bus,0.89,osub,0.11,tram,0.00,msub,0.40,tram,0.15,osub,0.15,0.34,-76.24
2025-02-26 20:58:20,alcove,0.37,television room,0.14,bedroom,0.09,basement,0.06,living room,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.96,osub,0.04,tram,0.00,msub,0.40,tram,0.15,osub,0.15,1.75,-75.99
2025-02-26 20:58:25,alcove,0.32,television room,0.18,bedroom,0.11,living room,0.06,basement,0.05,indoor,Still,100,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.98,osub,0.02,sbahn,0.00,msub,0.40,tram,0.15,osub,0.15,0.28,-76.19
2025-02-26 20:58:30,bedroom,0.25,dorm room,0.20,hotel room,0.14,alcove,0.10,bedchamber,0.06,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.86,osub,0.14,sbahn,0.00,msub,0.40,train,0.15,tram,0.15,0.14,-76.56
2025-02-26 20:58:35,bedroom,0.23,television room,0.19,alcove,0.14,hotel room,0.11,dorm room,0.09,indoor,Still,100,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.96,osub,0.04,tram,0.00,msub,0.40,tram,0.15,train,0.15,1.01,-75.85
