timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-17 13:57:40,waiting room,0.42,dorm room,0.09,home office,0.07,beauty salon,0.06,living room,0.04,indoor,Unknown,0,Indoor with window open,"Inside, small room",0.01,Bird,0.00,"Fire engine, fire truck (siren)",0.00,e-bus,0.61,sbahn,0.23,msub,0.15,tram,0.31,bus,0.20,train,0.17,0.00,-65.70
2025-02-17 13:57:45,dorm room,0.19,operating room,0.13,home office,0.11,hospital room,0.08,waiting room,0.06,indoor,Unknown,0,Indoor with window open,"Inside, small room",0.04,Bird,0.00,"Inside, large room or hall",0.00,sbahn,0.93,e-bus,0.02,msub,0.02,tram,0.34,train,0.18,bus,0.17,0.00,-58.62
2025-02-17 13:57:50,dorm room,0.35,home office,0.08,waiting room,0.06,living room,0.03,office,0.03,indoor,Unknown,0,Indoor with window open,"Inside, small room",0.02,Bird,0.00,"Cutlery, silverware",0.00,sbahn,0.69,msub,0.24,bus,0.05,tram,0.25,bus,0.21,train,0.20,0.02,-63.85
2025-02-17 13:57:55,waiting room,0.27,dorm room,0.18,home office,0.05,living room,0.05,beauty salon,0.03,indoor,Unknown,40,Indoor with window open,"Inside, small room",0.03,Bird,0.00,"Inside, large room or hall",0.00,e-bus,0.92,sbahn,0.06,osub,0.01,tram,0.35,train,0.17,bus,0.16,1.61,-66.69
2025-02-17 13:58:00,waiting room,0.14,dorm room,0.12,home office,0.11,beauty salon,0.11,office,0.04,indoor,Unknown,40,Indoor with window open,"Inside, small room",0.04,"Inside, large room or hall",0.01,Tap,0.01,sbahn,0.69,msub,0.12,osub,0.06,tram,0.26,train,0.24,bus,0.17,1.61,-57.73
2025-02-17 13:58:05,dorm room,0.15,home office,0.14,waiting room,0.08,beauty salon,0.06,office,0.05,indoor,Unknown,40,Indoor with window open,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,e-bus,0.80,osub,0.18,sbahn,0.02,tram,0.30,train,0.18,msub,0.18,3.98,-66.78
2025-02-17 13:58:10,dorm room,0.15,home office,0.14,waiting room,0.08,beauty salon,0.06,office,0.05,indoor,Unknown,40,Indoor with window open,"Inside, small room",0.03,"Inside, large room or hall",0.02,Tap,0.01,msub,0.83,sbahn,0.13,tram,0.02,tram,0.30,train,0.18,msub,0.18,1.60,-55.80
2025-02-17 13:58:15,dorm room,0.16,home office,0.16,waiting room,0.10,office,0.06,beauty salon,0.05,indoor,Still,100,Indoor with window open,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.94,msub,0.05,tram,0.00,tram,0.24,bus,0.23,msub,0.18,0.70,-61.86
2025-02-17 13:58:20,dorm room,0.24,waiting room,0.13,home office,0.08,living room,0.05,beauty salon,0.04,indoor,Still,100,Indoor with window open,"Inside, large room or hall",0.00,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.66,sbahn,0.23,osub,0.10,tram,0.24,train,0.22,bus,0.20,0.61,-57.67
2025-02-17 13:58:25,dorm room,0.38,home office,0.10,waiting room,0.06,beauty salon,0.05,hospital room,0.03,indoor,Still,100,Indoor with window open,"Inside, small room",0.04,Bird,0.00,"Outside, urban or manmade",0.00,sbahn,0.99,msub,0.01,osub,0.00,train,0.27,tram,0.22,bus,0.17,0.87,-62.56
