timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-19 17:15:28,street,0.63,alley,0.10,downtown,0.03,phone booth,0.02,residential neighborhood,0.02,outdoor,Unknown,40,Outdoor on Foot,"Inside, small room",0.06,"Outside, rural or natural",0.04,Bird,0.02,sbahn,0.44,bus,0.29,e-bus,0.20,train,0.24,bus,0.23,tram,0.20,1.01,-40.42
2025-02-19 17:15:33,alley,0.40,street,0.06,arcade,0.00,residential neighborhood,0.00,courtyard,0.00,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.02,Rustling leaves,0.02,msub,0.70,sbahn,0.18,tram,0.12,train,0.35,bus,0.18,tram,0.16,0.89,-40.68
2025-02-19 17:15:38,alley,0.39,construction site,0.05,parking garage/indoor,0.04,street,0.03,loading dock,0.02,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.02,"Outside, urban or manmade",0.02,msub,0.79,sbahn,0.18,tram,0.02,train,0.28,bus,0.21,tram,0.18,1.05,-39.39
2025-02-19 17:15:43,arcade,0.14,alley,0.13,boardwalk,0.10,promenade,0.04,bazaar/outdoor,0.03,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.04,"Inside, small room",0.03,sbahn,0.84,msub,0.16,tram,0.00,train,0.35,msub,0.17,bus,0.17,1.25,-42.46
2025-02-19 17:15:48,street,0.39,alley,0.28,residential neighborhood,0.05,arcade,0.03,promenade,0.03,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.15,Wind,0.04,sbahn,0.58,msub,0.37,tram,0.04,bus,0.25,tram,0.24,train,0.18,1.17,-45.27
2025-02-19 17:15:53,street,0.39,alley,0.28,residential neighborhood,0.05,arcade,0.03,promenade,0.03,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.11,Wind,0.04,msub,0.59,sbahn,0.38,tram,0.03,bus,0.25,tram,0.24,train,0.18,1.26,-43.10
2025-02-19 17:15:58,street,0.54,alley,0.16,arcade,0.09,residential neighborhood,0.03,promenade,0.03,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.04,"Boat, Water vehicle",0.03,"Inside, small room",0.03,e-bus,0.87,bus,0.06,sbahn,0.04,tram,0.32,train,0.19,bus,0.17,1.27,-36.48
2025-02-19 17:16:04,promenade,0.24,plaza,0.20,street,0.06,hospital,0.05,palace,0.05,outdoor,Unknown,40,Outdoor on Foot,Wind,0.26,Rustling leaves,0.15,Wind noise (microphone),0.11,msub,0.43,tram,0.28,bus,0.14,train,0.29,tram,0.22,msub,0.17,1.25,-35.96
2025-02-19 17:16:09,street,0.20,arcade,0.14,alley,0.12,slum,0.09,bazaar/outdoor,0.07,outdoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.15,Wind,0.11,msub,0.54,sbahn,0.31,tram,0.13,train,0.25,tram,0.23,bus,0.19,1.10,-38.87
2025-02-19 17:16:14,landing deck,0.22,crosswalk,0.11,highway,0.05,runway,0.04,boardwalk,0.04,outdoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.04,"Inside, small room",0.02,msub,0.77,sbahn,0.19,tram,0.03,train,0.26,msub,0.25,bus,0.17,1.18,-40.62
2025-02-19 17:16:19,street,0.30,promenade,0.14,plaza,0.12,courtyard,0.08,apartment building/outdoor,0.06,outdoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.11,Cricket,0.06,Bird,0.03,sbahn,0.55,msub,0.33,tram,0.11,train,0.27,bus,0.22,tram,0.18,1.40,-41.28
2025-02-19 17:16:24,alley,0.21,street,0.14,courtyard,0.11,apartment building/outdoor,0.10,office building,0.07,outdoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.08,Wind,0.02,sbahn,0.67,msub,0.28,tram,0.04,train,0.32,bus,0.19,msub,0.17,1.36,-42.71
