timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 15:09:10,shower,0.74,locker room,0.10,bathroom,0.06,barndoor,0.03,basement,0.01,indoor,Still,50,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.94,osub,0.06,sbahn,0.00,tram,0.27,osub,0.23,msub,0.18,0.00,-75.40
2025-02-15 15:09:15,shower,0.70,locker room,0.10,barndoor,0.07,bathroom,0.05,basement,0.02,indoor,Still,50,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.71,osub,0.29,sbahn,0.00,tram,0.26,osub,0.22,train,0.18,0.00,-74.64
2025-02-15 15:09:20,shower,0.67,barndoor,0.10,locker room,0.09,bathroom,0.05,basement,0.02,indoor,Still,50,Indoor with window closed,"Inside, small room",0.01,"Fire engine, fire truck (siren)",0.00,Air brake,0.00,e-bus,0.95,osub,0.05,msub,0.00,tram,0.30,train,0.19,osub,0.19,0.00,-72.88
2025-02-15 15:09:25,shower,0.54,barndoor,0.17,locker room,0.09,bathroom,0.06,basement,0.02,indoor,Still,50,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.93,osub,0.07,msub,0.00,tram,0.31,train,0.18,osub,0.18,0.17,-75.10
2025-02-15 15:09:30,shower,0.80,barndoor,0.05,bathroom,0.04,closet,0.03,sauna,0.01,indoor,Still,54,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Toot,0.00,sbahn,0.74,msub,0.25,osub,0.00,osub,0.27,train,0.24,tram,0.16,0.17,-62.99
2025-02-15 15:09:35,shower,0.80,barndoor,0.05,bathroom,0.04,closet,0.03,sauna,0.01,indoor,Still,54,Indoor with window closed,"Inside, small room",0.01,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.99,osub,0.01,sbahn,0.00,osub,0.27,train,0.24,tram,0.16,0.01,-76.00
2025-02-15 15:09:40,shower,0.86,bathroom,0.05,closet,0.02,locker room,0.02,barndoor,0.01,indoor,Still,54,Indoor with window closed,"Inside, small room",0.02,"Vehicle horn, car horn, honking",0.00,"Cutlery, silverware",0.00,e-bus,0.99,osub,0.01,sbahn,0.00,train,0.30,osub,0.21,msub,0.17,0.16,-73.87
2025-02-15 15:09:45,shower,0.73,bathroom,0.05,barndoor,0.05,closet,0.04,locker room,0.03,indoor,Still,54,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.96,osub,0.04,sbahn,0.00,osub,0.26,train,0.23,tram,0.18,0.16,-75.68
2025-02-15 15:09:50,shower,0.81,bathroom,0.08,jacuzzi/indoor,0.05,basement,0.01,sauna,0.01,indoor,Still,54,Indoor with window closed,"Inside, small room",0.02,"Fire engine, fire truck (siren)",0.00,Train wheels squealing,0.00,e-bus,0.99,osub,0.00,sbahn,0.00,train,0.34,tram,0.19,msub,0.16,0.01,-70.93
2025-02-15 15:09:55,shower,0.70,bathroom,0.14,jacuzzi/indoor,0.05,basement,0.02,berth,0.01,indoor,Still,29,Indoor with window closed,"Inside, small room",0.02,Typing,0.00,Bird,0.00,e-bus,0.76,osub,0.24,sbahn,0.00,train,0.34,tram,0.19,msub,0.16,0.19,-76.20
2025-02-15 15:10:00,shower,0.67,bathroom,0.08,basement,0.06,jacuzzi/indoor,0.03,kennel/outdoor,0.03,indoor,Still,29,Indoor with window closed,"Inside, small room",0.04,Bird,0.00,"Outside, rural or natural",0.00,msub,0.64,sbahn,0.34,osub,0.01,tram,0.26,train,0.26,msub,0.16,0.19,-62.51
2025-02-15 15:10:05,shower,0.74,bathroom,0.08,basement,0.04,jacuzzi/indoor,0.04,sauna,0.02,indoor,Still,29,Indoor with window closed,"Inside, small room",0.06,Bird,0.00,"Outside, rural or natural",0.00,sbahn,0.99,msub,0.01,osub,0.00,train,0.27,tram,0.25,osub,0.16,0.01,-60.60
2025-02-15 15:10:10,shower,0.30,bank vault,0.08,barndoor,0.08,locker room,0.07,bathroom,0.05,indoor,Still,29,Indoor with window closed,"Inside, small room",0.03,Train wheels squealing,0.00,"Cutlery, silverware",0.00,e-bus,0.93,osub,0.07,tram,0.00,tram,0.24,msub,0.21,osub,0.20,0.07,-76.62
2025-02-15 15:10:15,shower,0.30,bank vault,0.08,barndoor,0.08,locker room,0.07,bathroom,0.05,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.03,"Fire engine, fire truck (siren)",0.00,Train wheels squealing,0.00,sbahn,0.84,msub,0.10,bus,0.04,tram,0.28,osub,0.21,train,0.19,0.07,-70.42
2025-02-15 15:10:20,shower,0.46,locker room,0.21,bank vault,0.15,elevator/door,0.05,bathroom,0.03,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.08,"Outside, rural or natural",0.00,"Cutlery, silverware",0.00,sbahn,0.55,msub,0.39,bus,0.02,osub,0.33,osub,0.21,train,0.19,0.05,-62.60
2025-02-15 15:10:25,shower,0.83,bank vault,0.05,locker room,0.04,elevator lobby,0.02,elevator/door,0.02,indoor,Unknown,40,Indoor with window closed,"Inside, small room",0.06,Train wheels squealing,0.00,"Cutlery, silverware",0.00,sbahn,0.94,msub,0.04,osub,0.02,osub,0.33,tram,0.17,train,0.17,0.06,-64.19
2025-02-15 15:10:30,bank vault,0.30,shower,0.08,alley,0.06,elevator/door,0.04,clothing store,0.04,indoor,Still,97,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.78,osub,0.22,sbahn,0.00,osub,0.30,bus,0.19,train,0.18,0.06,-76.84
2025-02-15 15:10:35,shower,0.35,locker room,0.22,bank vault,0.08,server room,0.07,bathroom,0.05,indoor,Still,97,Indoor with window closed,"Inside, small room",0.02,"Cutlery, silverware",0.00,"Outside, urban or manmade",0.00,e-bus,0.98,osub,0.02,sbahn,0.00,osub,0.26,tram,0.21,msub,0.19,0.04,-74.66
