timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-27 00:23:11,parking garage/indoor,0.63,bowling alley,0.18,subway station/platform,0.02,parking lot,0.02,hangar/indoor,0.02,indoor,Tilting,100,Indoor in Subway-Station,Wind,0.08,"Boat, Water vehicle",0.06,Wind noise (microphone),0.04,sbahn,0.68,msub,0.23,osub,0.07,tram,0.40,msub,0.15,osub,0.15,0.00,-35.69
2025-02-27 00:23:16,parking garage/indoor,0.69,elevator shaft,0.05,parking lot,0.03,auditorium,0.02,subway station/platform,0.02,indoor,Tilting,100,Indoor in Subway-Station,"Outside, rural or natural",0.04,"Outside, urban or manmade",0.03,Motor vehicle (road),0.02,tram,0.44,sbahn,0.36,msub,0.16,tram,0.40,osub,0.15,msub,0.15,0.00,-32.54
2025-02-27 00:23:21,sauna,0.27,garage/indoor,0.11,basement,0.06,berth,0.06,parking garage/indoor,0.03,indoor,Tilting,100,Indoor in Subway-Station,Wind,0.15,Wind noise (microphone),0.11,"Boat, Water vehicle",0.08,msub,0.64,sbahn,0.15,tram,0.13,bus,0.36,tram,0.17,train,0.16,0.00,-23.05
2025-02-27 00:23:26,subway station/platform,0.50,parking garage/indoor,0.15,corridor,0.13,basement,0.05,attic,0.03,indoor,On Foot,86,Indoor in Subway-Station,"Inside, small room",0.15,"Outside, rural or natural",0.02,"Inside, large room or hall",0.02,msub,0.51,e-bus,0.34,sbahn,0.15,tram,0.30,msub,0.22,osub,0.16,0.00,-38.55
2025-02-27 00:23:31,raceway,0.18,runway,0.14,landing deck,0.10,parking garage/indoor,0.07,airfield,0.05,outdoor,On Foot,86,Indoor in Subway-Station,"Outside, rural or natural",0.06,"Inside, small room",0.04,Rustling leaves,0.02,msub,0.78,sbahn,0.12,tram,0.07,tram,0.38,msub,0.16,osub,0.15,1.38,-44.03
2025-02-27 00:23:36,raceway,0.18,runway,0.14,landing deck,0.10,parking garage/indoor,0.07,airfield,0.05,outdoor,On Foot,86,Indoor in Subway-Station,"Outside, rural or natural",0.04,"Inside, small room",0.04,Bird,0.03,msub,0.78,sbahn,0.18,e-bus,0.03,tram,0.37,msub,0.17,osub,0.15,1.33,-43.61
2025-02-27 00:23:42,subway station/platform,0.14,airplane cabin,0.11,elevator shaft,0.07,parking garage/indoor,0.04,escalator/indoor,0.04,indoor,On Foot,93,Indoor in Subway-Station,"Outside, rural or natural",0.11,"Inside, small room",0.08,Rustling leaves,0.04,sbahn,0.51,msub,0.49,tram,0.00,tram,0.37,msub,0.17,osub,0.15,1.19,-45.88
2025-02-27 00:23:47,subway station/platform,0.65,train station/platform,0.07,escalator/indoor,0.04,airport terminal,0.04,parking garage/indoor,0.03,indoor,On Foot,93,Indoor in Subway-Station,"Inside, small room",0.26,Bird,0.03,"Outside, rural or natural",0.02,sbahn,0.66,msub,0.34,e-bus,0.00,tram,0.40,osub,0.15,msub,0.15,1.19,-45.76
2025-02-27 00:23:52,subway station/platform,0.39,parking garage/indoor,0.19,hangar/indoor,0.11,train station/platform,0.03,basement,0.03,indoor,On Foot,93,Indoor in Subway-Station,"Outside, rural or natural",0.06,"Inside, small room",0.04,Bird,0.01,sbahn,0.71,msub,0.23,tram,0.06,tram,0.40,osub,0.15,msub,0.15,0.73,-43.81
2025-02-27 00:23:57,subway station/platform,0.88,train station/platform,0.07,parking garage/indoor,0.03,corridor,0.00,highway,0.00,indoor,On Foot,97,Indoor in Subway-Station,"Outside, rural or natural",0.11,"Inside, small room",0.04,Rustling leaves,0.04,msub,0.93,sbahn,0.06,tram,0.01,tram,0.40,msub,0.15,train,0.15,0.31,-44.09
2025-02-27 00:24:02,subway station/platform,0.92,train station/platform,0.08,highway,0.00,railroad track,0.00,parking garage/indoor,0.00,indoor,On Foot,97,Indoor in Subway-Station,"Outside, rural or natural",0.11,Bird,0.04,"Inside, small room",0.04,msub,0.51,sbahn,0.42,e-bus,0.05,tram,0.31,msub,0.22,train,0.16,0.46,-43.69
2025-02-27 00:24:07,subway station/platform,0.71,highway,0.06,train station/platform,0.05,escalator/indoor,0.05,parking garage/indoor,0.04,indoor,On Foot,97,Indoor in Subway-Station,"Pigeon, dove",0.02,Bird,0.02,"Inside, public space",0.01,msub,0.54,sbahn,0.38,tram,0.04,tram,0.40,bus,0.15,msub,0.15,0.48,-40.82
2025-02-27 00:24:12,subway station/platform,0.75,highway,0.07,train station/platform,0.07,desert/sand,0.04,parking garage/indoor,0.01,indoor,Unknown,40,Indoor in Subway-Station,Cricket,0.15,"Outside, rural or natural",0.11,Bird,0.11,sbahn,0.77,bus,0.12,tram,0.04,tram,0.39,msub,0.16,train,0.15,0.39,-41.02
2025-02-27 00:24:17,subway station/platform,0.92,train station/platform,0.08,highway,0.00,railroad track,0.00,escalator/indoor,0.00,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.06,"Outside, urban or manmade",0.03,"Outside, rural or natural",0.03,sbahn,0.83,msub,0.08,e-bus,0.03,tram,0.40,msub,0.15,train,0.15,0.29,-35.80
2025-02-27 00:24:22,subway station/platform,0.83,train station/platform,0.17,parking garage/indoor,0.00,corridor,0.00,highway,0.00,indoor,Unknown,40,Indoor in Subway-Station,Train,0.15,"Railroad car, train wagon",0.08,"Subway, metro, underground",0.08,sbahn,0.57,e-bus,0.15,bus,0.14,tram,0.39,msub,0.16,train,0.15,0.21,-31.97
2025-02-27 00:24:27,subway station/platform,0.83,train station/platform,0.17,parking garage/indoor,0.00,corridor,0.00,highway,0.00,indoor,Unknown,40,Indoor in Subway-Station,"Subway, metro, underground",0.33,Train,0.33,"Railroad car, train wagon",0.15,sbahn,0.74,msub,0.25,osub,0.02,tram,0.39,msub,0.16,train,0.15,0.00,-30.90
2025-02-27 00:24:32,subway station/platform,0.50,train station/platform,0.46,railroad track,0.03,highway,0.00,bowling alley,0.00,indoor,Unknown,40,Indoor in Subway-Station,Train,0.59,"Railroad car, train wagon",0.41,"Subway, metro, underground",0.20,msub,1.00,sbahn,0.00,osub,0.00,msub,0.36,bus,0.16,tram,0.16,0.00,-32.36
2025-02-27 00:24:37,subway station/platform,0.57,train station/platform,0.15,escalator/indoor,0.05,bowling alley,0.04,parking garage/indoor,0.02,indoor,Unknown,40,Indoor in Subway-Station,"Inside, small room",0.06,"Inside, large room or hall",0.02,Drawer open or close,0.01,msub,0.64,sbahn,0.29,e-bus,0.03,tram,0.40,osub,0.15,train,0.15,0.00,-44.42
