timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-19 17:02:03,bus interior,0.65,train interior,0.31,gas station,0.01,excavation,0.00,playground,0.00,indoor,In Vehicle,90,Indoor in Supermarket,"Outside, rural or natural",0.11,Rustling leaves,0.04,"Inside, small room",0.03,sbahn,0.81,msub,0.10,tram,0.09,bus,0.40,tram,0.15,train,0.15,0.00,-39.91
2025-02-19 17:02:08,parking garage/indoor,0.38,supermarket,0.12,subway station/platform,0.05,butchers shop,0.04,escalator/indoor,0.04,indoor,In Vehicle,90,Indoor in Supermarket,"Outside, rural or natural",0.20,Rustling leaves,0.04,Wind,0.02,msub,0.84,sbahn,0.09,tram,0.05,msub,0.31,tram,0.20,train,0.17,0.02,-39.41
2025-02-19 17:02:13,veterinarians office,0.39,hospital room,0.15,beauty salon,0.13,operating room,0.05,ice cream parlor,0.03,indoor,In Vehicle,90,Indoor in Supermarket,Rustling leaves,0.15,"Outside, rural or natural",0.11,Wind,0.06,msub,0.54,sbahn,0.35,tram,0.09,msub,0.39,train,0.16,bus,0.15,1.15,-44.76
2025-02-19 17:02:18,parking garage/indoor,0.20,hardware store,0.12,department store,0.08,supermarket,0.08,pharmacy,0.06,indoor,Unknown,40,Indoor in Supermarket,"Outside, rural or natural",0.04,"Inside, small room",0.03,Bird,0.02,sbahn,0.88,tram,0.11,osub,0.01,msub,0.40,train,0.15,bus,0.15,0.51,-34.55
2025-02-19 17:02:23,supermarket,0.34,department store,0.19,hardware store,0.14,general store/indoor,0.04,drugstore,0.03,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.15,"Outside, rural or natural",0.02,"Inside, large room or hall",0.01,msub,0.89,sbahn,0.09,tram,0.01,msub,0.40,train,0.15,tram,0.15,0.84,-49.44
2025-02-19 17:02:28,supermarket,0.34,department store,0.19,hardware store,0.14,general store/indoor,0.04,drugstore,0.03,indoor,On Foot,97,Indoor in Supermarket,"Inside, small room",0.33,"Outside, rural or natural",0.02,Typing,0.00,msub,0.84,sbahn,0.10,tram,0.03,msub,0.35,train,0.15,tram,0.15,0.71,-50.52
2025-02-19 17:02:33,server room,0.26,storage room,0.05,basement,0.05,driveway,0.05,patio,0.03,indoor,On Foot,97,Indoor in Supermarket,"Inside, small room",0.15,"Outside, rural or natural",0.01,Rain on surface,0.00,sbahn,0.85,msub,0.15,tram,0.01,msub,0.35,osub,0.18,tram,0.16,0.35,-32.80
2025-02-19 17:02:38,supermarket,0.06,sushi bar,0.05,bakery/shop,0.04,shoe shop,0.04,hardware store,0.03,indoor,On Foot,97,Indoor in Supermarket,"Outside, rural or natural",0.15,Rustling leaves,0.11,Wind,0.06,sbahn,0.85,msub,0.07,tram,0.06,msub,0.31,tram,0.19,train,0.18,0.09,-38.66
2025-02-19 17:02:43,driveway,0.12,hangar/indoor,0.10,patio,0.04,ski slope,0.04,crosswalk,0.03,outdoor,Unknown,40,Indoor in Supermarket,"Outside, rural or natural",0.20,Cricket,0.04,Bird,0.04,msub,0.89,sbahn,0.08,tram,0.02,train,0.37,tram,0.17,msub,0.16,0.12,-41.39
2025-02-19 17:02:48,airplane cabin,0.15,shoe shop,0.13,sushi bar,0.04,art studio,0.04,fabric store,0.04,indoor,Unknown,40,Indoor in Supermarket,"Outside, urban or manmade",0.06,"Inside, small room",0.04,"Outside, rural or natural",0.04,msub,0.93,e-bus,0.05,sbahn,0.02,msub,0.39,train,0.16,tram,0.15,0.19,-25.36
2025-02-19 17:02:53,shoe shop,0.14,art studio,0.06,sushi bar,0.05,fabric store,0.05,attic,0.05,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.11,"Outside, rural or natural",0.04,Typing,0.04,msub,0.88,sbahn,0.06,e-bus,0.05,train,0.35,msub,0.18,bus,0.16,0.03,-34.16
2025-02-19 17:02:58,ice cream parlor,0.19,butchers shop,0.09,candy store,0.07,bakery/shop,0.05,sushi bar,0.05,indoor,Unknown,40,Indoor in Supermarket,"Outside, urban or manmade",0.03,"Outside, rural or natural",0.02,Rain,0.01,msub,0.99,e-bus,0.01,tram,0.00,msub,0.31,tram,0.18,train,0.17,0.08,-22.43
2025-02-19 17:03:03,parking garage/indoor,0.70,supermarket,0.08,hangar/indoor,0.01,hardware store,0.01,department store,0.01,indoor,Unknown,40,Indoor in Supermarket,"Inside, small room",0.11,"Outside, rural or natural",0.08,Rustling leaves,0.03,sbahn,0.48,msub,0.44,tram,0.04,train,0.27,msub,0.20,tram,0.19,0.21,-46.01
2025-02-19 17:03:08,hardware store,0.40,supermarket,0.26,department store,0.06,drugstore,0.06,fabric store,0.05,indoor,Unknown,40,Indoor in Supermarket,Rustling leaves,0.06,"Outside, rural or natural",0.06,"Inside, small room",0.06,sbahn,0.79,msub,0.19,tram,0.01,msub,0.35,tram,0.18,bus,0.15,0.57,-42.63
2025-02-19 17:03:13,hardware store,0.40,supermarket,0.26,department store,0.06,drugstore,0.06,fabric store,0.05,indoor,On Foot,89,Indoor in Supermarket,"Inside, small room",0.08,"Outside, rural or natural",0.06,Rustling leaves,0.02,msub,0.77,sbahn,0.19,tram,0.02,msub,0.39,bus,0.16,tram,0.15,0.91,-43.12
2025-02-19 17:03:18,supermarket,0.14,flea market/indoor,0.12,food court,0.10,department store,0.06,airport terminal,0.06,indoor,On Foot,89,Indoor in Supermarket,"Outside, rural or natural",0.15,Rustling leaves,0.03,"Inside, small room",0.02,sbahn,0.73,tram,0.13,msub,0.10,msub,0.39,bus,0.16,tram,0.15,1.00,-42.13
2025-02-19 17:03:23,hardware store,0.28,department store,0.10,shoe shop,0.09,drugstore,0.08,supermarket,0.06,indoor,On Foot,89,Indoor in Supermarket,"Outside, rural or natural",0.06,"Inside, small room",0.06,Bird,0.02,sbahn,0.92,msub,0.06,tram,0.01,msub,0.39,bus,0.16,tram,0.15,1.02,-46.35
2025-02-19 17:03:28,parking garage/indoor,0.55,amusement arcade,0.07,fire station,0.06,garage/indoor,0.03,bowling alley,0.02,indoor,On Foot,99,Indoor in Supermarket,Bird,0.26,"Pigeon, dove",0.20,"Bird flight, flapping wings",0.08,msub,0.49,sbahn,0.47,tram,0.03,msub,0.29,bus,0.22,tram,0.17,0.49,-44.55
2025-02-19 17:03:33,supermarket,0.23,fabric store,0.15,butchers shop,0.08,storage room,0.07,department store,0.06,indoor,On Foot,99,Indoor in Supermarket,"Inside, small room",0.11,"Outside, rural or natural",0.08,Rustling leaves,0.02,msub,0.67,sbahn,0.27,tram,0.04,msub,0.26,train,0.21,bus,0.21,0.84,-43.59
