timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-21 16:30:41,farm,0.31,field/cultivated,0.27,corn field,0.18,hayfield,0.05,vineyard,0.05,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.20,Wind,0.06,Rustling leaves,0.03,msub,0.99,sbahn,0.01,tram,0.00,msub,0.35,bus,0.18,osub,0.16,0.00,-29.29
2025-02-21 16:30:46,hayfield,0.21,desert/sand,0.12,field/cultivated,0.11,farm,0.09,field/wild,0.08,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.15,Cricket,0.06,Rustling leaves,0.01,msub,0.80,sbahn,0.14,tram,0.06,train,0.24,bus,0.21,tram,0.20,0.47,-38.82
2025-02-21 16:30:51,ocean,0.10,wave,0.10,coast,0.08,lagoon,0.08,tundra,0.07,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.03,"Outside, urban or manmade",0.01,"Fire engine, fire truck (siren)",0.00,msub,0.71,osub,0.18,sbahn,0.08,bus,0.29,msub,0.20,tram,0.18,0.54,-43.19
2025-02-21 16:30:56,campsite,0.21,tundra,0.07,dam,0.05,lagoon,0.03,watering hole,0.03,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.08,"Outside, urban or manmade",0.01,"Boat, Water vehicle",0.00,msub,0.90,sbahn,0.04,tram,0.04,msub,0.34,tram,0.18,bus,0.16,0.40,-43.81
2025-02-21 16:31:01,coast,0.19,ocean,0.14,wave,0.14,beach,0.09,cliff,0.06,outdoor,Unknown,0,Outdoor in Nature,"Outside, rural or natural",0.11,Cricket,0.04,Rustling leaves,0.00,sbahn,0.70,msub,0.16,tram,0.10,tram,0.38,bus,0.16,msub,0.16,0.51,-41.90
2025-02-21 16:31:06,coast,0.19,ocean,0.14,wave,0.14,beach,0.09,cliff,0.06,outdoor,Unknown,40,Outdoor in Nature,"Inside, small room",0.11,Bird,0.02,"Outside, rural or natural",0.02,msub,0.69,sbahn,0.31,tram,0.00,tram,0.29,train,0.19,bus,0.18,0.01,-53.59
2025-02-21 16:31:11,glacier,0.10,lagoon,0.09,tundra,0.09,iceberg,0.08,ice shelf,0.06,outdoor,Unknown,40,Outdoor in Nature,"Outside, rural or natural",0.04,"Inside, small room",0.02,Bird,0.01,sbahn,0.64,msub,0.30,tram,0.06,tram,0.29,train,0.19,bus,0.18,0.02,-50.13
2025-02-21 16:31:16,field/wild,0.25,desert/sand,0.17,field/cultivated,0.09,orchard,0.06,vineyard,0.05,outdoor,Unknown,40,Outdoor in Nature,"Outside, rural or natural",0.06,Bird,0.01,"Outside, urban or manmade",0.00,msub,0.42,sbahn,0.41,tram,0.12,msub,0.25,bus,0.25,train,0.18,0.08,-36.72
2025-02-21 16:31:21,vineyard,0.15,desert/sand,0.14,field/wild,0.11,field/cultivated,0.10,orchard,0.05,outdoor,On Foot,87,Outdoor in Nature,"Outside, rural or natural",0.20,Rustling leaves,0.02,"Outside, urban or manmade",0.02,tram,0.68,sbahn,0.22,msub,0.09,train,0.28,bus,0.22,msub,0.18,0.18,-37.77
2025-02-21 16:31:26,hayfield,0.29,wheat field,0.18,corn field,0.15,farm,0.11,field/cultivated,0.09,outdoor,On Foot,87,Outdoor in Nature,"Pigeon, dove",0.02,"Outside, rural or natural",0.02,Bird,0.01,msub,0.92,e-bus,0.05,sbahn,0.01,train,0.24,msub,0.23,bus,0.20,0.33,-41.59
