timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-16 18:30:17,basement,0.07,locker room,0.07,parking garage/indoor,0.06,parking lot,0.06,berth,0.05,indoor,On Foot,97,Outdoor on Foot,"Inside, small room",0.06,"Inside, large room or hall",0.02,Bird,0.01,sbahn,0.30,msub,0.24,bus,0.21,msub,0.28,tram,0.24,osub,0.16,1.36,-43.47
2025-02-16 18:30:22,ski slope,0.23,parking lot,0.10,parking garage/indoor,0.07,sky,0.06,desert/vegetation,0.06,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.15,Bird,0.04,Cricket,0.04,sbahn,0.64,tram,0.17,msub,0.10,tram,0.26,bus,0.25,msub,0.17,1.25,-46.13
2025-02-16 18:30:27,highway,0.21,ski slope,0.18,boardwalk,0.08,parking lot,0.05,subway station/platform,0.04,outdoor,On Foot,97,Outdoor on Foot,"Waves, surf",0.41,Ocean,0.41,"Outside, rural or natural",0.11,sbahn,0.89,osub,0.09,msub,0.00,tram,0.28,msub,0.21,bus,0.19,1.30,-36.40
2025-02-16 18:30:32,parking garage/indoor,0.67,parking lot,0.08,garage/indoor,0.03,alley,0.03,driveway,0.02,indoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.20,Bird,0.03,Rustling leaves,0.03,msub,0.99,sbahn,0.00,tram,0.00,tram,0.31,bus,0.21,train,0.16,1.30,-47.53
2025-02-16 18:30:37,parking garage/indoor,0.61,street,0.08,parking lot,0.06,raceway,0.03,driveway,0.03,indoor,On Foot,96,Outdoor on Foot,Rustling leaves,0.20,Wind,0.20,"Outside, rural or natural",0.08,sbahn,0.82,tram,0.07,msub,0.05,tram,0.38,bus,0.16,train,0.15,1.23,-41.17
2025-02-16 18:30:42,parking garage/indoor,0.61,street,0.08,parking lot,0.06,raceway,0.03,driveway,0.03,indoor,On Foot,98,Outdoor on Foot,Ocean,0.33,"Waves, surf",0.33,Wind,0.08,sbahn,0.63,osub,0.31,msub,0.04,bus,0.27,tram,0.21,msub,0.20,1.29,-40.12
2025-02-16 18:30:47,parking garage/indoor,0.66,parking lot,0.27,gas station,0.02,garage/indoor,0.02,highway,0.01,indoor,On Foot,98,Outdoor on Foot,"Inside, small room",0.11,"Outside, rural or natural",0.02,"Inside, large room or hall",0.02,sbahn,0.62,msub,0.24,osub,0.05,bus,0.27,tram,0.21,msub,0.20,1.29,-42.38
2025-02-16 18:30:52,parking garage/indoor,0.79,raceway,0.03,street,0.02,parking lot,0.02,highway,0.02,indoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.08,Wind,0.06,Rustling leaves,0.06,sbahn,0.83,e-bus,0.07,bus,0.05,tram,0.40,bus,0.15,train,0.15,1.22,-37.23
2025-02-16 18:30:57,parking garage/indoor,0.19,attic,0.09,highway,0.05,raceway,0.04,forest road,0.04,indoor,On Foot,98,Outdoor on Foot,Wind,0.15,Rustling leaves,0.15,"Outside, rural or natural",0.08,sbahn,0.54,bus,0.19,tram,0.09,tram,0.36,osub,0.17,bus,0.16,1.30,-42.90
2025-02-16 18:31:02,street,0.33,alley,0.30,arcade,0.09,plaza,0.04,parking garage/indoor,0.04,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.08,"Inside, small room",0.06,Bird,0.04,e-bus,0.47,bus,0.30,sbahn,0.16,tram,0.33,bus,0.19,train,0.16,1.29,-46.05
