timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-22 13:05:37,zen garden,0.28,driveway,0.19,crosswalk,0.17,desert/sand,0.08,cemetery,0.05,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.04,Cricket,0.03,sbahn,0.92,tram,0.04,msub,0.02,bus,0.32,train,0.19,msub,0.17,0.00,-51.12
2025-02-22 13:05:42,driveway,0.63,patio,0.09,promenade,0.07,crosswalk,0.06,street,0.05,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.11,Cricket,0.04,msub,0.78,sbahn,0.15,tram,0.06,bus,0.22,train,0.21,msub,0.20,1.60,-36.91
2025-02-22 13:05:47,promenade,0.19,landfill,0.18,harbor,0.14,bridge,0.04,amusement park,0.02,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.04,Wind,0.02,sbahn,0.78,bus,0.07,msub,0.06,bus,0.39,train,0.15,tram,0.15,0.92,-49.81
2025-02-22 13:05:52,temple/asia,0.11,palace,0.08,fountain,0.06,amusement park,0.06,plaza,0.06,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.04,"Outside, urban or manmade",0.03,tram,0.26,sbahn,0.25,bus,0.22,train,0.28,bus,0.22,tram,0.17,1.16,-43.68
2025-02-22 13:05:57,excavation,0.38,construction site,0.14,amusement park,0.05,landfill,0.05,alley,0.04,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.11,Wind,0.04,msub,0.67,sbahn,0.29,tram,0.03,train,0.23,msub,0.22,bus,0.20,1.23,-50.92
2025-02-22 13:06:02,excavation,0.38,construction site,0.14,amusement park,0.05,landfill,0.05,alley,0.04,outdoor,On Foot,96,Outdoor on Foot,Rustling leaves,0.20,"Outside, rural or natural",0.15,"Inside, small room",0.11,msub,0.64,sbahn,0.35,tram,0.01,train,0.31,msub,0.19,bus,0.17,1.31,-50.52
2025-02-22 13:06:07,construction site,0.13,plaza,0.10,excavation,0.08,amusement park,0.05,landfill,0.05,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.26,Wind,0.11,msub,0.98,sbahn,0.01,tram,0.01,train,0.31,msub,0.19,bus,0.17,1.27,-41.74
2025-02-22 13:06:12,landfill,0.16,plaza,0.12,excavation,0.10,construction site,0.07,courtyard,0.05,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.03,Bird,0.02,msub,0.99,sbahn,0.00,tram,0.00,msub,0.37,bus,0.16,tram,0.16,1.28,-45.75
2025-02-22 13:06:17,museum/outdoor,0.09,plaza,0.08,palace,0.06,castle,0.06,courtyard,0.06,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.11,Bird,0.04,msub,0.98,sbahn,0.02,tram,0.00,msub,0.27,bus,0.24,train,0.16,1.33,-47.64
2025-02-22 13:06:22,trench,0.16,ruin,0.08,construction site,0.06,boardwalk,0.06,excavation,0.05,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.33,Rustling leaves,0.20,Wind,0.04,msub,0.97,sbahn,0.03,tram,0.00,bus,0.26,train,0.21,msub,0.19,1.36,-49.89
2025-02-22 13:06:27,parking lot,0.31,street,0.12,construction site,0.06,downtown,0.04,crosswalk,0.03,outdoor,Unknown,40,Outdoor on Foot,Rustling leaves,0.26,"Outside, rural or natural",0.20,Wind,0.11,msub,0.97,sbahn,0.03,tram,0.00,bus,0.36,tram,0.18,train,0.16,1.34,-48.54
2025-02-22 13:06:32,castle,0.10,promenade,0.06,palace,0.06,excavation,0.05,harbor,0.04,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.11,Wind,0.02,msub,0.98,sbahn,0.02,tram,0.00,tram,0.34,bus,0.17,msub,0.17,1.31,-44.04
2025-02-22 13:06:37,plaza,0.19,courtyard,0.10,ruin,0.10,tower,0.08,palace,0.07,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.15,Wind,0.06,msub,0.94,sbahn,0.05,tram,0.02,train,0.30,bus,0.19,tram,0.19,1.27,-41.78
