timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-10 17:01:27,railroad track,0.17,train station/platform,0.11,construction site,0.08,roof garden,0.07,downtown,0.06,outdoor,Unknown,0,Outdoor on Foot,"Outside, rural or natural",0.20,Bird,0.02,"Outside, urban or manmade",0.02,msub,0.70,sbahn,0.19,tram,0.08,tram,0.33,osub,0.20,train,0.16,1.24,-37.14
2025-03-10 17:01:32,driveway,0.27,residential neighborhood,0.07,industrial area,0.04,zen garden,0.04,railroad track,0.03,outdoor,Unknown,0,Outdoor on Foot,"Inside, small room",0.20,"Outside, rural or natural",0.03,"Inside, large room or hall",0.02,msub,0.99,sbahn,0.01,tram,0.00,train,0.37,tram,0.17,bus,0.15,1.19,-49.00
2025-03-10 17:01:37,alley,0.23,apartment building/outdoor,0.09,downtown,0.07,street,0.07,slum,0.05,outdoor,Unknown,0,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.02,"Outside, urban or manmade",0.02,msub,0.95,sbahn,0.05,tram,0.01,osub,0.33,tram,0.20,msub,0.16,1.12,-45.55
2025-03-10 17:01:42,street,0.51,plaza,0.09,alley,0.07,downtown,0.05,apartment building/outdoor,0.03,outdoor,On Foot,98,Outdoor on Foot,"Inside, small room",0.04,"Outside, rural or natural",0.02,"Inside, large room or hall",0.01,msub,0.45,sbahn,0.34,tram,0.15,tram,0.35,msub,0.17,osub,0.17,1.04,-46.18
2025-03-10 17:01:47,street,0.15,promenade,0.10,alley,0.06,fire escape,0.05,courtyard,0.05,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.11,"Inside, small room",0.04,Bird,0.03,msub,0.59,sbahn,0.26,tram,0.15,tram,0.40,train,0.15,msub,0.15,1.12,-44.74
2025-03-10 17:01:52,street,0.15,promenade,0.10,alley,0.06,fire escape,0.05,courtyard,0.05,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.15,Bird,0.03,Rustling leaves,0.02,sbahn,0.38,tram,0.31,msub,0.30,tram,0.37,train,0.17,osub,0.16,1.14,-45.90
2025-03-10 17:01:57,alley,0.37,street,0.04,loading dock,0.03,courtyard,0.02,train station/platform,0.01,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.08,"Outside, urban or manmade",0.02,"Inside, small room",0.01,msub,0.62,sbahn,0.33,tram,0.05,tram,0.37,train,0.17,osub,0.16,1.04,-49.71
2025-03-10 17:02:02,alley,0.22,street,0.03,fire escape,0.01,promenade,0.01,arcade,0.01,outdoor,On Foot,96,Outdoor on Foot,Bird,0.06,"Outside, rural or natural",0.06,"Outside, urban or manmade",0.03,tram,0.44,osub,0.25,sbahn,0.18,tram,0.39,train,0.15,bus,0.15,0.99,-36.64
2025-03-10 17:02:07,embassy,0.15,plaza,0.08,courtyard,0.07,alley,0.06,phone booth,0.06,outdoor,On Foot,96,Outdoor on Foot,"Inside, small room",0.06,"Inside, large room or hall",0.00,"Cutlery, silverware",0.00,msub,0.48,sbahn,0.48,e-bus,0.01,tram,0.33,train,0.19,msub,0.17,1.02,-38.86
2025-03-10 17:02:12,street,0.39,alley,0.09,residential neighborhood,0.09,train station/platform,0.05,promenade,0.04,outdoor,On Foot,96,Outdoor on Foot,"Inside, small room",0.02,"Outside, rural or natural",0.01,"Inside, large room or hall",0.00,msub,0.84,sbahn,0.10,osub,0.03,tram,0.40,bus,0.15,osub,0.15,0.94,-38.93
2025-03-10 17:02:17,phone booth,0.26,pharmacy,0.05,shopfront,0.04,ticket booth,0.03,ice cream parlor,0.02,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.04,"Outside, urban or manmade",0.02,Bird,0.00,msub,0.37,sbahn,0.36,tram,0.22,tram,0.33,bus,0.19,train,0.16,0.45,-41.55
2025-03-10 17:02:22,street,0.45,alley,0.12,courtyard,0.01,plaza,0.01,slum,0.01,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.02,Bird,0.01,sbahn,0.54,msub,0.24,tram,0.11,tram,0.40,msub,0.15,bus,0.15,0.74,-45.92
2025-03-10 17:02:27,loading dock,0.64,parking garage/indoor,0.05,bank vault,0.03,alley,0.03,ticket booth,0.03,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.15,Bird,0.04,"Outside, urban or manmade",0.02,msub,0.63,sbahn,0.23,tram,0.12,tram,0.40,train,0.15,bus,0.15,0.77,-50.29
2025-03-10 17:02:32,loading dock,0.16,alley,0.10,train station/platform,0.08,street,0.07,bus station/indoor,0.06,outdoor,Unknown,40,Outdoor on Foot,Wind,0.33,"Outside, rural or natural",0.20,Rustling leaves,0.20,msub,0.98,sbahn,0.01,tram,0.01,tram,0.30,msub,0.22,train,0.16,0.87,-35.85
2025-03-10 17:02:37,loading dock,0.16,alley,0.10,train station/platform,0.08,street,0.07,bus station/indoor,0.06,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.01,"Boat, Water vehicle",0.00,msub,0.89,sbahn,0.05,tram,0.03,tram,0.39,msub,0.15,train,0.15,1.02,-35.92
2025-03-10 17:02:42,alley,0.33,loading dock,0.19,street,0.03,courtyard,0.01,industrial area,0.01,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.03,"Outside, urban or manmade",0.01,Bird,0.01,msub,0.83,sbahn,0.14,osub,0.02,tram,0.39,msub,0.15,train,0.15,1.06,-42.63
2025-03-10 17:02:47,alley,0.31,courtyard,0.03,street,0.01,construction site,0.01,fire escape,0.01,outdoor,On Foot,96,Outdoor on Foot,"Inside, small room",0.08,"Inside, large room or hall",0.00,"Outside, rural or natural",0.00,sbahn,0.97,msub,0.02,osub,0.00,tram,0.40,msub,0.15,train,0.15,1.02,-49.86
2025-03-10 17:02:52,alley,0.47,courtyard,0.04,street,0.02,driveway,0.02,phone booth,0.02,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.04,Cricket,0.03,"Outside, urban or manmade",0.00,sbahn,0.78,tram,0.09,osub,0.08,train,0.26,tram,0.25,bus,0.17,0.95,-36.21
