timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-26 19:22:23,parking garage/indoor,0.72,parking lot,0.22,highway,0.02,hangar/indoor,0.01,street,0.01,indoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.04,Wind,0.02,msub,0.88,sbahn,0.09,tram,0.04,tram,0.40,msub,0.15,bus,0.15,0.00,-38.67
2025-02-26 19:22:28,parking garage/indoor,0.21,street,0.16,parking lot,0.10,driveway,0.08,promenade,0.07,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.06,Wind,0.02,msub,0.57,sbahn,0.34,tram,0.09,tram,0.40,bus,0.15,msub,0.15,1.60,-37.88
2025-02-26 19:22:33,parking garage/indoor,0.64,parking lot,0.14,arena/rodeo,0.08,driveway,0.02,street,0.02,indoor,On Foot,97,Outdoor on Foot,Rustling leaves,0.20,"Outside, rural or natural",0.15,Wind,0.15,tram,0.52,msub,0.27,sbahn,0.19,tram,0.40,bus,0.15,msub,0.15,1.06,-32.47
2025-02-26 19:22:38,parking garage/indoor,0.55,parking lot,0.12,igloo,0.05,street,0.05,driveway,0.04,indoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.06,Rustling leaves,0.01,Bird,0.01,msub,0.95,sbahn,0.05,tram,0.00,tram,0.40,msub,0.15,bus,0.15,0.56,-40.32
2025-02-26 19:22:43,parking garage/indoor,0.68,parking lot,0.09,driveway,0.06,raceway,0.05,alley,0.02,indoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.11,Wind,0.03,msub,0.99,sbahn,0.01,tram,0.00,tram,0.40,bus,0.15,msub,0.15,1.33,-34.87
2025-02-26 19:22:48,parking garage/indoor,0.60,parking lot,0.18,driveway,0.07,arena/rodeo,0.02,raceway,0.01,indoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.15,Bird,0.01,Cricket,0.01,msub,0.89,sbahn,0.09,tram,0.02,tram,0.40,msub,0.15,osub,0.15,1.31,-36.89
2025-02-26 19:22:53,parking garage/indoor,0.60,parking lot,0.18,driveway,0.07,arena/rodeo,0.02,raceway,0.01,indoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.03,Bird,0.02,msub,0.87,sbahn,0.12,tram,0.01,tram,0.40,msub,0.15,osub,0.15,1.37,-34.16
2025-02-26 19:22:58,parking garage/indoor,0.25,garage/indoor,0.17,elevator shaft,0.13,burial chamber,0.09,basement,0.09,indoor,On Foot,89,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.08,Wind,0.04,msub,0.63,tram,0.26,sbahn,0.10,bus,0.36,msub,0.18,tram,0.16,1.39,-35.13
2025-02-26 19:23:03,parking garage/indoor,0.28,iceberg,0.06,grotto,0.06,parking lot,0.04,basement,0.04,indoor,On Bicycle,69,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.08,Wind,0.04,msub,0.83,sbahn,0.12,tram,0.05,tram,0.40,msub,0.15,bus,0.15,1.36,-36.51
2025-02-26 19:23:08,parking garage/indoor,0.62,subway station/platform,0.15,airport terminal,0.07,bus station/indoor,0.04,parking lot,0.02,indoor,On Bicycle,69,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.20,Wind,0.20,msub,0.59,sbahn,0.26,tram,0.14,tram,0.40,bus,0.15,osub,0.15,1.04,-36.43
2025-02-26 19:23:13,parking garage/indoor,0.66,parking lot,0.18,hangar/indoor,0.03,highway,0.03,arena/performance,0.01,indoor,On Bicycle,69,Outdoor on Foot,"Outside, urban or manmade",0.08,"Outside, rural or natural",0.06,Wind,0.06,msub,0.76,tram,0.18,sbahn,0.05,tram,0.36,bus,0.18,msub,0.15,0.69,-40.48
2025-02-26 19:23:18,parking garage/indoor,0.35,parking lot,0.21,grotto,0.14,highway,0.05,ski slope,0.04,outdoor,On Bicycle,69,Outdoor on Foot,"Traffic noise, roadway noise",0.20,Motor vehicle (road),0.20,Car,0.15,bus,0.39,tram,0.24,osub,0.15,tram,0.40,bus,0.15,msub,0.15,1.38,-36.24
2025-02-26 19:23:23,hangar/indoor,0.75,runway,0.04,hangar/outdoor,0.03,landing deck,0.02,airfield,0.02,indoor,On Bicycle,69,Outdoor on Foot,Wind,0.11,"Outside, rural or natural",0.11,Rustling leaves,0.08,sbahn,0.57,msub,0.26,tram,0.10,tram,0.35,bus,0.18,msub,0.16,1.88,-39.99
2025-02-26 19:23:28,parking garage/indoor,0.73,garage/indoor,0.12,parking lot,0.10,fire station,0.01,loading dock,0.01,indoor,On Bicycle,69,Outdoor on Foot,Ocean,0.20,Motor vehicle (road),0.15,"Waves, surf",0.15,osub,0.44,sbahn,0.31,msub,0.17,tram,0.40,bus,0.15,msub,0.15,0.14,-31.42
2025-02-26 19:23:33,parking garage/indoor,0.61,parking lot,0.21,igloo,0.04,driveway,0.03,catacomb,0.02,indoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.11,Wind,0.11,msub,0.97,tram,0.02,sbahn,0.01,tram,0.40,bus,0.15,osub,0.15,0.25,-29.35
2025-02-26 19:23:38,parking garage/indoor,0.61,parking lot,0.21,igloo,0.04,driveway,0.03,catacomb,0.02,indoor,Unknown,40,Outdoor on Foot,"Inside, small room",0.04,Aircraft,0.03,Jet engine,0.03,sbahn,0.74,osub,0.24,bus,0.01,tram,0.40,bus,0.15,osub,0.15,0.78,-36.89
2025-02-26 19:23:43,parking lot,0.44,parking garage/indoor,0.36,driveway,0.04,raceway,0.02,runway,0.02,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.11,Wind,0.08,msub,0.92,sbahn,0.08,tram,0.01,tram,0.39,bus,0.16,msub,0.15,1.13,-37.87
