timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 00:23:13,street,0.26,parking lot,0.25,parking garage/indoor,0.12,raceway,0.05,driveway,0.04,outdoor,On Foot,91,Outdoor on Foot,"Outside, rural or natural",0.20,Bird,0.02,"Inside, small room",0.02,sbahn,0.65,msub,0.26,tram,0.08,bus,0.27,tram,0.25,msub,0.16,0.00,-48.45
2025-02-18 00:23:18,catacomb,0.62,grotto,0.18,burial chamber,0.03,attic,0.02,elevator shaft,0.02,outdoor,On Foot,91,Outdoor on Foot,"Outside, rural or natural",0.15,"Inside, small room",0.03,Rustling leaves,0.02,sbahn,0.88,msub,0.10,tram,0.01,msub,0.34,tram,0.19,osub,0.16,1.26,-47.61
2025-02-18 00:23:23,desert/vegetation,0.19,stable,0.13,sky,0.10,veterinarians office,0.07,grotto,0.04,outdoor,On Foot,91,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.06,Wind,0.02,sbahn,0.89,tram,0.08,msub,0.03,osub,0.35,msub,0.17,tram,0.16,0.86,-43.23
2025-02-18 00:23:28,veterinarians office,0.41,stable,0.26,catacomb,0.04,basement,0.02,igloo,0.02,indoor,On Foot,91,Outdoor on Foot,Cricket,0.08,"Outside, rural or natural",0.06,Rustling leaves,0.02,sbahn,0.74,bus,0.09,tram,0.07,osub,0.35,bus,0.17,train,0.16,0.66,-43.28
2025-02-18 00:23:33,parking garage/indoor,0.16,parking lot,0.10,catacomb,0.08,hot spring,0.07,sky,0.06,outdoor,On Foot,94,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.06,Wind,0.02,msub,0.65,sbahn,0.34,tram,0.01,tram,0.29,osub,0.22,msub,0.17,0.88,-48.85
2025-02-18 00:23:38,parking garage/indoor,0.16,parking lot,0.10,catacomb,0.08,hot spring,0.07,sky,0.06,outdoor,On Foot,94,Outdoor on Foot,Squeak,0.06,"Inside, small room",0.03,"Outside, rural or natural",0.03,sbahn,0.88,tram,0.08,msub,0.04,bus,0.27,tram,0.20,msub,0.20,1.35,-31.44
2025-02-18 00:23:43,volcano,0.28,desert/vegetation,0.19,ski slope,0.09,sky,0.04,grotto,0.04,outdoor,On Foot,94,Outdoor on Foot,"Outside, rural or natural",0.33,Rustling leaves,0.08,Cricket,0.02,sbahn,0.51,msub,0.47,tram,0.01,bus,0.27,tram,0.20,msub,0.20,1.34,-52.38
2025-02-18 00:23:48,parking garage/indoor,0.65,parking lot,0.11,ski slope,0.04,street,0.03,hangar/indoor,0.02,indoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.08,"Inside, small room",0.04,msub,0.68,sbahn,0.31,tram,0.01,bus,0.39,tram,0.16,msub,0.15,1.31,-52.54
2025-02-18 00:23:53,parking garage/indoor,0.33,grotto,0.09,basement,0.04,sky,0.04,parking lot,0.03,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.15,"Inside, small room",0.04,Rustling leaves,0.04,msub,0.92,sbahn,0.07,tram,0.00,bus,0.28,tram,0.23,msub,0.17,1.31,-51.82
2025-02-18 00:23:58,igloo,0.55,subway station/platform,0.09,parking garage/indoor,0.05,alley,0.04,catacomb,0.03,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.04,Wind,0.01,msub,0.85,sbahn,0.14,tram,0.01,msub,0.27,tram,0.22,bus,0.17,1.36,-49.16
2025-02-18 00:24:03,desert/vegetation,0.35,igloo,0.09,ski slope,0.05,volcano,0.03,parking lot,0.03,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.03,Cricket,0.01,msub,0.51,sbahn,0.41,tram,0.07,bus,0.36,msub,0.17,tram,0.16,1.36,-49.23
2025-02-18 00:24:08,parking garage/indoor,0.29,parking lot,0.12,raceway,0.12,igloo,0.06,sky,0.05,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.26,Cricket,0.06,Rustling leaves,0.04,msub,0.88,sbahn,0.12,tram,0.01,tram,0.35,bus,0.18,msub,0.16,1.37,-49.61
2025-02-18 00:24:13,igloo,0.46,parking garage/indoor,0.12,parking lot,0.09,catacomb,0.03,grotto,0.02,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.20,Rustling leaves,0.06,Bird,0.02,msub,0.77,sbahn,0.22,tram,0.01,bus,0.30,msub,0.20,tram,0.18,1.38,-49.72
2025-02-18 00:24:18,catacomb,0.20,parking garage/indoor,0.13,alley,0.10,basement,0.05,raceway,0.04,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.26,Rustling leaves,0.03,Wind,0.01,sbahn,0.49,msub,0.48,tram,0.03,tram,0.25,bus,0.23,msub,0.19,1.34,-48.15
2025-02-18 00:24:23,catacomb,0.41,elevator shaft,0.18,burial chamber,0.09,attic,0.07,alley,0.03,outdoor,On Foot,92,Outdoor on Foot,"Outside, rural or natural",0.26,Bird,0.02,Rustling leaves,0.02,msub,0.86,sbahn,0.13,tram,0.01,msub,0.30,bus,0.18,osub,0.18,1.37,-49.74
2025-02-18 00:24:28,catacomb,0.41,elevator shaft,0.18,burial chamber,0.09,attic,0.07,alley,0.03,outdoor,On Foot,92,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.06,Bird,0.03,msub,0.60,sbahn,0.37,tram,0.02,msub,0.30,bus,0.18,osub,0.18,1.33,-49.49
2025-02-18 00:24:33,parking garage/indoor,0.22,driveway,0.08,parking lot,0.07,arena/rodeo,0.07,hangar/outdoor,0.06,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.33,Rustling leaves,0.02,Bird,0.01,msub,0.80,sbahn,0.19,tram,0.01,tram,0.36,bus,0.17,osub,0.16,1.35,-49.22
2025-02-18 00:24:38,arena/rodeo,0.23,runway,0.19,raceway,0.18,parking lot,0.17,hangar/outdoor,0.04,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.33,Rustling leaves,0.04,"Outside, urban or manmade",0.02,sbahn,0.57,msub,0.34,tram,0.09,tram,0.39,bus,0.16,msub,0.15,1.29,-47.17
2025-02-18 00:24:43,desert/vegetation,0.17,parking garage/indoor,0.12,sky,0.05,catacomb,0.05,garage/indoor,0.03,outdoor,On Foot,96,Outdoor on Foot,"Outside, rural or natural",0.41,Rustling leaves,0.04,Bird,0.01,msub,0.60,sbahn,0.33,tram,0.06,bus,0.36,train,0.17,osub,0.16,1.15,-47.17
