timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-15 17:40:41,Unknown,0.00,Unknown,0.00,Unknown,0.00,Unknown,0.00,Unknown,0.00,Unknown,Unknown,0,Outdoor on Foot,"Outside, rural or natural",0.08,Rustling leaves,0.04,"Inside, small room",0.04,msub,0.78,tram,0.15,sbahn,0.06,train,0.27,bus,0.24,tram,0.17,0.44,-36.80
2025-02-15 17:40:46,promenade,0.16,alley,0.06,train station/platform,0.04,slum,0.03,street,0.02,outdoor,Unknown,0,Outdoor on Foot,"Outside, rural or natural",0.08,"Outside, urban or manmade",0.02,Cricket,0.02,msub,0.28,tram,0.27,sbahn,0.26,bus,0.39,train,0.15,tram,0.15,1.47,-28.71
2025-02-15 17:40:51,loading dock,0.20,industrial area,0.11,hangar/outdoor,0.09,gas station,0.07,excavation,0.05,outdoor,Unknown,0,Outdoor on Foot,"Pigeon, dove",0.06,"Outside, rural or natural",0.04,Bird,0.03,tram,0.72,sbahn,0.19,msub,0.05,train,0.31,bus,0.21,tram,0.16,1.19,-32.22
2025-02-15 17:40:56,industrial area,0.13,loading dock,0.10,phone booth,0.10,alley,0.10,driveway,0.07,outdoor,Unknown,0,Outdoor on Foot,"Outside, urban or manmade",0.06,"Outside, rural or natural",0.03,Car,0.02,tram,0.48,msub,0.34,sbahn,0.13,train,0.29,bus,0.22,msub,0.17,1.37,-35.75
2025-02-15 17:41:01,phone booth,0.40,industrial area,0.10,loading dock,0.09,shed,0.05,fire station,0.04,outdoor,Unknown,0,Outdoor on Foot,"Outside, urban or manmade",0.02,"Outside, rural or natural",0.02,Slam,0.00,sbahn,0.54,msub,0.32,tram,0.12,bus,0.34,msub,0.18,tram,0.16,0.99,-31.23
2025-02-15 17:41:06,phone booth,0.40,industrial area,0.10,loading dock,0.09,shed,0.05,fire station,0.04,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.01,Cricket,0.01,sbahn,0.43,msub,0.34,tram,0.19,bus,0.34,msub,0.18,tram,0.16,1.36,-35.17
2025-02-15 17:41:11,driveway,0.26,alley,0.14,promenade,0.11,street,0.05,train station/platform,0.03,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.08,Wind,0.00,"Boat, Water vehicle",0.00,msub,0.75,sbahn,0.15,tram,0.08,train,0.40,bus,0.15,msub,0.15,1.49,-33.73
2025-02-15 17:41:16,alley,0.18,corridor,0.11,phone booth,0.03,elevator lobby,0.02,locker room,0.02,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.04,"Outside, urban or manmade",0.03,"Boat, Water vehicle",0.02,tram,0.49,osub,0.33,msub,0.09,train,0.30,msub,0.20,bus,0.18,1.27,-27.32
2025-02-15 17:41:21,elevator/door,0.20,elevator lobby,0.16,locker room,0.15,sauna,0.04,phone booth,0.04,indoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.03,"Outside, urban or manmade",0.02,"Cutlery, silverware",0.00,msub,0.54,sbahn,0.28,tram,0.13,msub,0.38,bus,0.16,train,0.16,1.38,-17.83
2025-02-15 17:41:26,street,0.31,promenade,0.21,highway,0.06,phone booth,0.04,amusement park,0.04,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,"Outside, urban or manmade",0.01,Rustling leaves,0.00,msub,0.48,sbahn,0.36,tram,0.14,bus,0.25,train,0.23,msub,0.20,1.45,-35.33
