timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-18 16:38:48,patio,0.35,loading dock,0.12,construction site,0.10,slum,0.06,driveway,0.04,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.08,"Inside, small room",0.03,msub,0.49,sbahn,0.48,osub,0.02,train,0.33,tram,0.17,bus,0.17,0.00,-36.19
2025-02-18 16:38:53,fountain,0.17,fire escape,0.07,construction site,0.05,boat deck,0.04,alcove,0.04,outdoor,Unknown,40,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.11,Wind,0.06,sbahn,0.83,msub,0.09,tram,0.07,tram,0.28,msub,0.20,bus,0.20,1.14,-41.43
2025-02-18 16:38:58,windmill,0.37,landing deck,0.18,alley,0.06,construction site,0.02,heliport,0.02,outdoor,Unknown,40,Outdoor on Foot,Bird,0.20,"Pigeon, dove",0.20,"Outside, urban or manmade",0.04,tram,0.55,sbahn,0.12,e-bus,0.11,msub,0.38,bus,0.16,train,0.15,0.29,-28.04
2025-02-18 16:39:03,promenade,0.13,tower,0.08,landing deck,0.07,palace,0.05,boardwalk,0.05,outdoor,Unknown,40,Outdoor on Foot,Rustling leaves,0.15,Wind,0.15,"Outside, rural or natural",0.11,msub,0.43,e-bus,0.18,sbahn,0.16,train,0.31,bus,0.20,msub,0.18,1.32,-33.03
2025-02-18 16:39:08,hangar/outdoor,0.78,landing deck,0.03,boat deck,0.02,heliport,0.02,runway,0.01,outdoor,Unknown,40,Outdoor on Foot,Rustling leaves,0.08,"Outside, rural or natural",0.06,Wind,0.04,msub,0.56,sbahn,0.28,tram,0.06,msub,0.30,train,0.21,bus,0.16,1.60,-35.87
2025-02-18 16:39:13,hangar/outdoor,0.78,landing deck,0.03,boat deck,0.02,heliport,0.02,runway,0.01,outdoor,On Foot,90,Outdoor on Foot,"Pigeon, dove",0.06,Bird,0.04,"Outside, rural or natural",0.03,msub,0.83,e-bus,0.06,tram,0.04,bus,0.26,msub,0.25,osub,0.16,1.35,-34.69
2025-02-18 16:39:18,landing deck,0.68,parking lot,0.05,heliport,0.04,market/outdoor,0.03,boat deck,0.02,outdoor,On Foot,90,Outdoor on Foot,"Outside, rural or natural",0.11,Bird,0.11,"Pigeon, dove",0.08,tram,0.48,sbahn,0.31,msub,0.17,bus,0.26,msub,0.25,osub,0.16,1.49,-35.27
2025-02-18 16:39:23,landing deck,0.74,alley,0.01,harbor,0.01,boat deck,0.01,construction site,0.01,outdoor,On Foot,90,Outdoor on Foot,"Outside, rural or natural",0.11,Rustling leaves,0.08,Cricket,0.06,msub,0.55,sbahn,0.39,tram,0.03,train,0.25,msub,0.21,bus,0.19,1.42,-39.32
2025-02-18 16:39:28,landing deck,0.21,street,0.05,parking lot,0.04,alley,0.04,boardwalk,0.03,outdoor,On Foot,90,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.15,Wind,0.08,sbahn,0.57,msub,0.31,tram,0.12,msub,0.28,bus,0.23,tram,0.17,1.45,-39.38
2025-02-18 16:39:33,landing deck,0.68,hangar/outdoor,0.03,amphitheater,0.02,parking lot,0.02,museum/outdoor,0.02,outdoor,On Foot,90,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.08,Wind,0.03,msub,0.89,sbahn,0.05,tram,0.04,bus,0.33,tram,0.20,train,0.16,1.48,-39.40
