timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-25 16:30:26,glacier,0.19,mountain snowy,0.08,badlands,0.07,crevasse,0.06,hot spring,0.06,outdoor,Unknown,0,Outdoor on Foot,"Outside, rural or natural",0.06,Bird,0.02,"Inside, small room",0.02,msub,0.85,sbahn,0.10,tram,0.03,tram,0.35,osub,0.19,bus,0.16,0.79,-48.72
2025-02-25 16:30:31,courtyard,0.09,stable,0.07,campus,0.07,hospital,0.07,industrial area,0.05,outdoor,Unknown,0,Outdoor on Foot,"Inside, small room",0.06,"Outside, rural or natural",0.06,Bird,0.03,msub,0.68,sbahn,0.23,tram,0.07,tram,0.40,bus,0.15,train,0.15,1.17,-47.33
2025-02-25 16:30:36,driveway,0.21,residential neighborhood,0.16,parking lot,0.06,alley,0.06,street,0.04,outdoor,Unknown,0,Outdoor on Foot,"Inside, small room",0.08,"Outside, rural or natural",0.03,Bird,0.02,msub,0.58,sbahn,0.41,tram,0.01,train,0.36,tram,0.18,bus,0.15,1.09,-47.86
2025-02-25 16:30:41,field/wild,0.27,park,0.11,forest road,0.07,promenade,0.06,forest path,0.05,outdoor,Unknown,0,Outdoor on Foot,"Inside, small room",0.15,"Inside, large room or hall",0.02,Bird,0.01,msub,0.66,sbahn,0.33,tram,0.00,train,0.30,tram,0.22,bus,0.16,1.10,-49.42
2025-02-25 16:30:46,forest road,0.18,driveway,0.16,residential neighborhood,0.15,field/wild,0.10,botanical garden,0.08,outdoor,On Foot,97,Outdoor on Foot,"Inside, small room",0.06,"Outside, rural or natural",0.03,Bird,0.02,sbahn,0.77,msub,0.13,tram,0.06,tram,0.38,train,0.16,bus,0.15,1.04,-48.91
2025-02-25 16:30:51,forest road,0.18,driveway,0.16,residential neighborhood,0.15,field/wild,0.10,botanical garden,0.08,outdoor,On Foot,97,Outdoor on Foot,"Inside, small room",0.15,"Outside, rural or natural",0.04,Rustling leaves,0.02,msub,0.75,sbahn,0.24,tram,0.01,tram,0.38,bus,0.16,msub,0.16,0.88,-50.90
2025-02-25 16:30:56,residential neighborhood,0.45,driveway,0.09,alley,0.06,street,0.04,industrial area,0.03,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.08,"Inside, small room",0.04,Rustling leaves,0.03,msub,0.58,sbahn,0.39,tram,0.02,tram,0.38,bus,0.16,msub,0.16,1.17,-51.97
2025-02-25 16:31:01,amusement park,0.09,driveway,0.08,alley,0.05,greenhouse/outdoor,0.05,parking lot,0.04,outdoor,On Foot,97,Outdoor on Foot,"Outside, rural or natural",0.11,"Inside, small room",0.08,Rustling leaves,0.08,msub,0.73,sbahn,0.26,tram,0.01,train,0.27,bus,0.23,tram,0.17,1.15,-50.34
2025-02-25 16:31:06,residential neighborhood,0.19,promenade,0.10,driveway,0.09,parking lot,0.06,alley,0.05,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.06,"Inside, small room",0.04,msub,0.80,sbahn,0.19,tram,0.01,tram,0.37,train,0.17,bus,0.16,0.85,-49.40
2025-02-25 16:31:11,courtyard,0.19,alley,0.08,palace,0.06,hospital,0.05,building facade,0.05,outdoor,On Foot,98,Outdoor on Foot,"Outside, rural or natural",0.15,Rustling leaves,0.04,"Inside, small room",0.03,sbahn,0.87,msub,0.07,tram,0.03,tram,0.33,bus,0.19,train,0.16,1.06,-51.44
2025-02-25 16:31:16,field/wild,0.27,orchard,0.14,forest path,0.06,vineyard,0.04,pasture,0.04,outdoor,On Foot,98,Outdoor on Foot,Rustling leaves,0.26,"Outside, rural or natural",0.11,Wind,0.08,msub,0.62,sbahn,0.34,tram,0.04,tram,0.26,bus,0.25,train,0.17,1.08,-47.35
2025-02-25 16:31:21,driveway,0.65,alley,0.10,loading dock,0.05,parking lot,0.02,excavation,0.02,outdoor,On Foot,90,Outdoor on Foot,"Inside, small room",0.03,Motorcycle,0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.99,msub,0.01,osub,0.00,tram,0.38,msub,0.16,train,0.15,0.42,-57.88
