timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-24 19:50:50,airplane cabin,0.36,science museum,0.12,repair shop,0.05,shoe shop,0.05,natural history museum,0.03,indoor,Unknown,0,Vehicle in Bus,Car,0.04,Bus,0.04,"Inside, small room",0.04,bus,0.41,msub,0.37,tram,0.09,tram,0.37,bus,0.17,train,0.15,8.26,-34.78
2025-02-24 19:50:55,parking garage/indoor,0.13,airplane cabin,0.12,science museum,0.09,bowling alley,0.07,bus interior,0.06,indoor,Unknown,0,Vehicle in Bus,"Inside, small room",0.04,Bus,0.03,Motor vehicle (road),0.02,bus,0.56,e-bus,0.31,sbahn,0.05,tram,0.40,osub,0.15,bus,0.15,6.70,-35.34
2025-02-24 19:51:00,airplane cabin,0.18,science museum,0.14,bus interior,0.05,natural history museum,0.04,train interior,0.04,indoor,Unknown,0,Vehicle in Bus,Bus,0.11,Motor vehicle (road),0.04,"Inside, small room",0.02,tram,0.30,bus,0.28,e-bus,0.24,osub,0.40,tram,0.15,train,0.15,6.52,-33.45
2025-02-24 19:51:05,science museum,0.22,hangar/indoor,0.06,sushi bar,0.06,restaurant kitchen,0.05,airplane cabin,0.05,indoor,Unknown,0,Vehicle in Bus,Car,0.08,Motor vehicle (road),0.08,"Outside, urban or manmade",0.03,bus,0.65,e-bus,0.16,tram,0.12,osub,0.38,tram,0.17,msub,0.15,5.55,-33.70
2025-02-24 19:51:10,science museum,0.22,hangar/indoor,0.06,sushi bar,0.06,restaurant kitchen,0.05,airplane cabin,0.05,indoor,Unknown,0,Vehicle in Bus,Bus,0.08,Train,0.08,Motor vehicle (road),0.06,bus,0.65,e-bus,0.28,sbahn,0.04,bus,0.40,tram,0.15,train,0.15,3.27,-33.11
2025-02-24 19:51:15,science museum,0.16,repair shop,0.10,restaurant kitchen,0.05,engine room,0.04,train interior,0.04,indoor,Unknown,40,Vehicle in Bus,Motor vehicle (road),0.15,Car,0.11,"Outside, urban or manmade",0.06,bus,0.56,sbahn,0.13,e-bus,0.10,bus,0.25,osub,0.24,tram,0.18,1.41,-33.33
2025-02-24 19:51:20,repair shop,0.16,science museum,0.09,airplane cabin,0.07,engine room,0.07,landing deck,0.06,indoor,Unknown,40,Vehicle in Bus,Bus,0.02,"Inside, small room",0.02,Motor vehicle (road),0.01,tram,0.32,sbahn,0.22,msub,0.16,bus,0.25,osub,0.24,tram,0.18,0.55,-33.80
2025-02-24 19:51:25,sushi bar,0.25,restaurant kitchen,0.11,science museum,0.07,music studio,0.07,clothing store,0.03,indoor,Unknown,40,Vehicle in Bus,Bus,0.04,Motor vehicle (road),0.03,"Inside, small room",0.03,e-bus,0.56,sbahn,0.14,bus,0.11,tram,0.28,osub,0.23,bus,0.18,0.27,-30.73
2025-02-24 19:51:30,home theater,0.18,airplane cabin,0.06,living room,0.06,music studio,0.05,recreation room,0.05,indoor,Unknown,40,Vehicle in Bus,Motor vehicle (road),0.41,Car,0.41,"Outside, urban or manmade",0.11,bus,0.97,sbahn,0.01,e-bus,0.01,tram,0.26,bus,0.25,osub,0.17,1.52,-18.81
2025-02-24 19:51:35,airplane cabin,0.13,music studio,0.10,train interior,0.09,science museum,0.05,restaurant kitchen,0.05,indoor,Unknown,40,Vehicle in Bus,Bus,0.20,Train,0.08,Motor vehicle (road),0.06,bus,0.70,sbahn,0.13,e-bus,0.12,bus,0.40,tram,0.15,msub,0.15,3.54,-25.34
