timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-11 13:06:18,bus interior,0.80,train interior,0.13,airplane cabin,0.02,berth,0.00,parking lot,0.00,indoor,Unknown,0,Vehicle in Bus,Bird,0.11,"Pigeon, dove",0.06,"Outside, urban or manmade",0.02,e-bus,0.27,msub,0.26,osub,0.17,bus,0.40,train,0.15,tram,0.15,0.55,-38.16
2025-03-11 13:06:23,bus interior,0.80,train interior,0.12,airplane cabin,0.03,berth,0.02,car interior,0.01,indoor,Unknown,0,Vehicle in Bus,Bird,0.11,Train,0.06,"Outside, rural or natural",0.06,sbahn,0.56,bus,0.11,msub,0.11,bus,0.34,train,0.18,tram,0.17,0.03,-30.62
2025-03-11 13:06:28,bus interior,0.80,train interior,0.13,berth,0.03,airplane cabin,0.02,car interior,0.00,indoor,Unknown,0,Vehicle in Bus,Train,0.08,Bird,0.08,"Railroad car, train wagon",0.04,sbahn,0.92,osub,0.03,msub,0.02,bus,0.31,train,0.20,tram,0.18,3.83,-31.71
2025-03-11 13:06:33,bus interior,0.80,train interior,0.13,berth,0.03,airplane cabin,0.02,car interior,0.00,indoor,Unknown,0,Vehicle in Bus,"Outside, urban or manmade",0.02,Bus,0.01,"Railroad car, train wagon",0.00,bus,0.31,sbahn,0.31,msub,0.16,bus,0.40,tram,0.15,train,0.15,4.98,-30.90
2025-03-11 13:06:38,bus interior,0.43,berth,0.36,train interior,0.12,car interior,0.04,galley,0.01,indoor,Unknown,40,Vehicle in Bus,Bus,0.03,Car,0.01,Motor vehicle (road),0.01,msub,0.78,osub,0.08,tram,0.05,bus,0.40,train,0.15,tram,0.15,6.12,-30.15
2025-03-11 13:06:43,bus interior,0.77,train interior,0.14,airplane cabin,0.01,berth,0.01,subway station/platform,0.01,indoor,Unknown,40,Vehicle in Bus,"Outside, rural or natural",0.02,Bird,0.02,"Outside, urban or manmade",0.02,sbahn,0.87,tram,0.07,osub,0.03,bus,0.40,train,0.15,tram,0.15,6.51,-32.22
2025-03-11 13:06:48,bus interior,0.65,train interior,0.18,phone booth,0.02,parking garage/indoor,0.02,berth,0.01,indoor,Unknown,40,Vehicle in Bus,Motor vehicle (road),0.03,Car,0.02,"Outside, urban or manmade",0.02,msub,0.92,tram,0.04,sbahn,0.02,train,0.34,tram,0.18,bus,0.17,6.90,-31.91
2025-03-11 13:06:53,bus interior,0.62,train interior,0.20,berth,0.08,airplane cabin,0.03,car interior,0.02,indoor,In Vehicle,96,Vehicle in Bus,"Outside, urban or manmade",0.02,"Outside, rural or natural",0.02,Car,0.01,msub,0.99,tram,0.01,osub,0.00,bus,0.35,train,0.19,tram,0.16,6.84,-35.25
2025-03-11 13:06:58,phone booth,0.27,server room,0.19,home office,0.06,bus interior,0.06,gas station,0.04,indoor,In Vehicle,96,Vehicle in Bus,"Outside, rural or natural",0.01,"Outside, urban or manmade",0.01,Bird,0.00,msub,0.84,sbahn,0.07,tram,0.05,bus,0.40,train,0.15,tram,0.15,4.18,-35.63
2025-03-11 13:07:03,bus interior,0.49,train interior,0.12,berth,0.05,airplane cabin,0.05,locker room,0.04,indoor,In Vehicle,96,Vehicle in Bus,"Outside, urban or manmade",0.03,"Inside, small room",0.02,Bus,0.02,msub,0.80,tram,0.08,sbahn,0.07,bus,0.40,tram,0.15,train,0.15,0.72,-37.56
