timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-03 10:14:14,bus interior,0.17,train interior,0.15,airport terminal,0.06,science museum,0.06,parking garage/indoor,0.05,indoor,Unknown,0,Vehicle in Bus,"Outside, urban or manmade",0.00,"Inside, large room or hall",0.00,"Inside, small room",0.00,msub,0.38,sbahn,0.33,e-bus,0.16,bus,0.40,tram,0.15,osub,0.15,6.41,-39.93
2025-03-03 10:14:19,bus interior,0.47,train interior,0.11,amusement arcade,0.06,repair shop,0.06,science museum,0.06,indoor,Unknown,0,Vehicle in Bus,"Outside, urban or manmade",0.04,Bird,0.03,"Pigeon, dove",0.03,msub,0.51,tram,0.26,osub,0.10,bus,0.40,tram,0.15,osub,0.15,3.97,-36.05
2025-03-03 10:14:24,hangar/indoor,0.18,parking garage/indoor,0.14,hangar/outdoor,0.07,bus interior,0.06,auto factory,0.05,indoor,Unknown,0,Vehicle in Bus,"Outside, urban or manmade",0.01,"Outside, rural or natural",0.01,"Inside, small room",0.01,msub,0.90,tram,0.05,sbahn,0.02,bus,0.38,tram,0.16,osub,0.16,5.92,-38.62
2025-03-03 10:14:29,bus interior,0.27,auto factory,0.18,assembly line,0.18,train interior,0.10,hangar/indoor,0.04,indoor,Unknown,0,Vehicle in Bus,"Inside, small room",0.02,Bird,0.01,"Inside, large room or hall",0.01,sbahn,0.57,osub,0.16,msub,0.14,bus,0.38,tram,0.17,osub,0.15,3.68,-40.66
2025-03-03 10:14:34,bus interior,0.27,auto factory,0.18,assembly line,0.18,train interior,0.10,hangar/indoor,0.04,indoor,Unknown,0,Vehicle in Bus,"Inside, small room",0.02,"Outside, rural or natural",0.02,"Inside, large room or hall",0.01,sbahn,0.89,msub,0.08,tram,0.02,bus,0.30,osub,0.23,train,0.16,2.61,-38.56
2025-03-03 10:14:39,arch,0.12,aqueduct,0.10,alley,0.08,burial chamber,0.03,courtyard,0.03,outdoor,Unknown,40,Vehicle in Bus,"Outside, rural or natural",0.02,"Boat, Water vehicle",0.01,"Motorboat, speedboat",0.00,msub,0.98,osub,0.01,sbahn,0.01,bus,0.40,tram,0.15,osub,0.15,0.35,-37.84
2025-03-03 10:14:44,bus interior,0.49,train interior,0.19,airplane cabin,0.12,parking garage/indoor,0.04,airport terminal,0.03,indoor,Unknown,40,Vehicle in Bus,"Outside, rural or natural",0.03,"Inside, small room",0.00,Bird,0.00,msub,0.38,tram,0.34,sbahn,0.17,bus,0.40,tram,0.15,osub,0.15,0.13,-37.56
2025-03-03 10:14:49,ice cream parlor,0.06,repair shop,0.05,bus interior,0.04,train interior,0.04,assembly line,0.04,indoor,Unknown,40,Vehicle in Bus,"Outside, rural or natural",0.08,Bird,0.02,"Outside, urban or manmade",0.02,sbahn,0.67,msub,0.19,tram,0.10,bus,0.40,tram,0.15,osub,0.15,0.06,-35.33
2025-03-03 10:14:54,auto factory,0.14,assembly line,0.08,repair shop,0.08,airplane cabin,0.05,amusement arcade,0.04,indoor,Unknown,40,Vehicle in Bus,"Outside, urban or manmade",0.01,"Outside, rural or natural",0.01,Bus,0.00,msub,0.52,sbahn,0.35,tram,0.07,bus,0.40,osub,0.15,tram,0.15,0.02,-39.83
2025-03-03 10:14:59,airplane cabin,0.39,parking garage/indoor,0.32,subway station/platform,0.06,bus interior,0.05,train interior,0.03,indoor,Unknown,40,Vehicle in Bus,"Outside, rural or natural",0.04,Bird,0.04,"Outside, urban or manmade",0.02,msub,0.43,sbahn,0.39,tram,0.11,tram,0.35,bus,0.18,osub,0.15,0.01,-40.83
