timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-27 16:45:09,airplane cabin,0.38,escalator/indoor,0.18,train interior,0.10,bus interior,0.09,berth,0.03,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.15,"Inside, large room or hall",0.02,"Dishes, pots, and pans",0.01,sbahn,0.79,e-bus,0.17,msub,0.01,train,0.35,bus,0.18,tram,0.16,4.94,-42.41
2025-02-27 16:45:14,airplane cabin,0.43,train interior,0.20,bus interior,0.15,escalator/indoor,0.11,car interior,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.26,"Inside, large room or hall",0.03,Rustling leaves,0.01,sbahn,0.40,msub,0.33,tram,0.16,bus,0.37,train,0.17,msub,0.15,5.04,-41.42
2025-02-27 16:45:19,bus interior,0.58,train interior,0.22,playground,0.02,loading dock,0.01,locker room,0.01,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.03,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.65,msub,0.19,osub,0.09,train,0.36,bus,0.18,tram,0.15,5.54,-40.07
2025-02-27 16:45:24,train interior,0.52,bus interior,0.33,airplane cabin,0.14,berth,0.00,escalator/indoor,0.00,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.04,"Inside, large room or hall",0.00,"Outside, urban or manmade",0.00,sbahn,0.93,msub,0.05,osub,0.01,bus,0.40,train,0.15,tram,0.15,4.80,-44.55
2025-02-27 16:45:29,airplane cabin,0.44,train interior,0.35,bus interior,0.12,berth,0.01,staircase,0.00,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.02,"Dishes, pots, and pans",0.01,"Cutlery, silverware",0.00,sbahn,0.89,msub,0.10,osub,0.01,bus,0.40,train,0.15,msub,0.15,0.68,-43.74
2025-02-27 16:45:34,airplane cabin,0.44,train interior,0.35,bus interior,0.12,berth,0.01,staircase,0.00,indoor,Unknown,40,Vehicle in E-Bus,Wind,0.06,"Inside, small room",0.06,"Outside, rural or natural",0.04,sbahn,0.66,tram,0.13,msub,0.11,bus,0.40,train,0.15,msub,0.15,0.33,-42.98
2025-02-27 16:45:39,airplane cabin,0.44,train interior,0.25,bus interior,0.14,clothing store,0.01,loading dock,0.01,indoor,Still,47,Vehicle in E-Bus,"Inside, small room",0.04,Motor vehicle (road),0.01,Bus,0.00,msub,0.52,sbahn,0.48,osub,0.00,bus,0.36,train,0.17,tram,0.15,0.10,-40.26
2025-02-27 16:45:44,airplane cabin,0.45,train interior,0.35,bus interior,0.12,clothing store,0.01,berth,0.01,indoor,Still,47,Vehicle in E-Bus,"Inside, small room",0.20,"Inside, large room or hall",0.03,"Dishes, pots, and pans",0.03,sbahn,0.93,msub,0.06,osub,0.01,train,0.28,bus,0.25,msub,0.16,0.00,-47.12
2025-02-27 16:45:49,train interior,0.51,airplane cabin,0.26,bus interior,0.17,berth,0.01,clothing store,0.00,indoor,Still,100,Vehicle in E-Bus,"Inside, small room",0.15,"Inside, large room or hall",0.02,Drawer open or close,0.01,sbahn,0.86,msub,0.05,osub,0.04,bus,0.39,train,0.16,msub,0.15,0.00,-46.33
2025-02-27 16:45:54,train interior,0.51,airplane cabin,0.30,bus interior,0.14,berth,0.00,auditorium,0.00,indoor,Still,100,Vehicle in E-Bus,"Outside, rural or natural",0.04,Bird,0.01,"Inside, small room",0.01,sbahn,0.45,msub,0.29,tram,0.20,bus,0.39,train,0.16,msub,0.15,0.00,-44.30
2025-02-27 16:45:59,car interior,0.14,airplane cabin,0.09,playground,0.07,escalator/indoor,0.06,boat deck,0.06,indoor,Still,100,Vehicle in E-Bus,Bird,0.03,"Pigeon, dove",0.01,"Outside, rural or natural",0.01,sbahn,0.77,tram,0.10,osub,0.05,msub,0.36,bus,0.17,train,0.16,4.75,-36.70
2025-02-27 16:46:04,bus interior,0.50,escalator/indoor,0.17,train interior,0.12,car interior,0.11,airplane cabin,0.06,indoor,Still,100,Vehicle in E-Bus,"Inside, small room",0.02,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.52,sbahn,0.38,osub,0.07,bus,0.33,tram,0.19,train,0.17,4.67,-42.91
2025-02-27 16:46:09,bus interior,0.60,train interior,0.25,airplane cabin,0.11,escalator/indoor,0.02,car interior,0.01,indoor,Still,100,Vehicle in E-Bus,Bird,0.11,"Outside, rural or natural",0.03,"Pigeon, dove",0.02,sbahn,0.96,msub,0.01,osub,0.01,bus,0.40,tram,0.15,train,0.15,2.85,-41.02
2025-02-27 16:46:14,bus interior,0.60,train interior,0.25,airplane cabin,0.11,escalator/indoor,0.02,car interior,0.01,indoor,Unknown,40,Vehicle in E-Bus,Rustling leaves,0.11,"Outside, rural or natural",0.08,Wind,0.06,msub,0.98,osub,0.01,tram,0.00,tram,0.40,bus,0.15,train,0.15,3.49,-22.60
2025-02-27 16:46:19,bus interior,0.25,train interior,0.19,airplane cabin,0.16,locker room,0.03,berth,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.01,"Outside, rural or natural",0.01,Motor vehicle (road),0.00,msub,0.48,e-bus,0.23,sbahn,0.19,tram,0.40,bus,0.15,train,0.15,5.50,-36.05
2025-02-27 16:46:24,train interior,0.39,bus interior,0.33,airplane cabin,0.03,playground,0.02,locker room,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.03,"Outside, rural or natural",0.02,Bird,0.02,msub,0.86,sbahn,0.12,tram,0.01,bus,0.39,tram,0.16,train,0.15,5.81,-39.53
2025-02-27 16:46:29,bus interior,0.37,train interior,0.29,loading dock,0.04,airplane cabin,0.02,locker room,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.15,"Outside, rural or natural",0.06,Wind,0.02,sbahn,0.56,msub,0.41,tram,0.03,bus,0.40,train,0.15,tram,0.15,5.55,-40.51
2025-02-27 16:46:34,train interior,0.42,bus interior,0.41,airplane cabin,0.05,loading dock,0.01,locker room,0.01,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.15,Bird,0.03,"Outside, rural or natural",0.03,sbahn,0.90,e-bus,0.04,tram,0.03,bus,0.39,train,0.15,tram,0.15,3.97,-43.24
2025-02-27 16:46:39,bus interior,0.63,train interior,0.19,airplane cabin,0.06,clothing store,0.01,playground,0.01,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.06,"Outside, rural or natural",0.04,Wind,0.03,sbahn,0.64,msub,0.25,tram,0.06,bus,0.40,train,0.15,tram,0.15,1.50,-42.88
2025-02-27 16:46:44,bus interior,0.27,train interior,0.07,loading dock,0.06,playground,0.06,phone booth,0.05,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.11,"Dishes, pots, and pans",0.08,Drawer open or close,0.04,msub,0.87,sbahn,0.07,e-bus,0.04,bus,0.40,tram,0.15,train,0.15,0.35,-36.69
2025-02-27 16:46:49,bus interior,0.37,train interior,0.19,airplane cabin,0.05,playground,0.03,science museum,0.03,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.06,Rustling leaves,0.03,"Outside, rural or natural",0.03,sbahn,0.65,e-bus,0.15,tram,0.12,bus,0.40,tram,0.15,train,0.15,0.23,-46.19
2025-02-27 16:46:54,train interior,0.16,bus interior,0.12,alley,0.09,repair shop,0.04,science museum,0.04,indoor,Unknown,40,Vehicle in E-Bus,Bird,0.06,"Outside, rural or natural",0.06,"Pigeon, dove",0.04,msub,0.97,sbahn,0.03,tram,0.01,bus,0.40,tram,0.15,train,0.15,1.21,-36.96
2025-02-27 16:46:59,bus interior,0.18,locker room,0.10,train interior,0.07,airplane cabin,0.07,clothing store,0.05,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.08,"Outside, rural or natural",0.03,"Inside, large room or hall",0.02,sbahn,0.86,tram,0.06,msub,0.06,bus,0.40,tram,0.15,train,0.15,4.40,-40.18
2025-02-27 16:47:04,bus interior,0.18,locker room,0.10,train interior,0.07,airplane cabin,0.07,clothing store,0.05,indoor,Unknown,40,Vehicle in E-Bus,"Pigeon, dove",0.08,Bird,0.08,"Inside, small room",0.08,sbahn,0.68,msub,0.18,e-bus,0.08,bus,0.40,train,0.15,tram,0.15,5.40,-43.37
2025-02-27 16:47:09,bus interior,0.50,train interior,0.10,airplane cabin,0.08,science museum,0.03,clothing store,0.03,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.06,"Outside, rural or natural",0.04,Wind,0.03,sbahn,0.57,msub,0.38,tram,0.05,bus,0.40,train,0.15,tram,0.15,4.68,-44.88
2025-02-27 16:47:14,science museum,0.13,phone booth,0.06,clothing store,0.06,alley,0.05,booth/indoor,0.05,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.15,"Inside, large room or hall",0.02,"Vehicle horn, car horn, honking",0.01,sbahn,0.86,msub,0.13,tram,0.01,bus,0.40,tram,0.15,train,0.15,3.31,-46.93
2025-02-27 16:47:19,bus interior,0.17,alley,0.12,train interior,0.05,science museum,0.04,phone booth,0.04,indoor,Unknown,40,Vehicle in E-Bus,Bird,0.04,"Pigeon, dove",0.04,"Outside, rural or natural",0.03,msub,0.45,e-bus,0.30,sbahn,0.13,bus,0.40,tram,0.15,train,0.15,0.38,-43.73
