timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-15 16:02:55,landing deck,0.30,auto factory,0.12,heliport,0.10,excavation,0.10,repair shop,0.09,outdoor,Unknown,40,Vehicle in E-Bus,"Outside, rural or natural",0.02,Cricket,0.02,"Inside, small room",0.01,msub,0.83,sbahn,0.12,osub,0.04,bus,0.40,tram,0.15,msub,0.15,0.61,-40.81
2025-03-15 16:03:00,airplane cabin,0.64,parking garage/indoor,0.15,subway station/platform,0.07,train interior,0.05,airport terminal,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Inside, public space",0.02,"Outside, urban or manmade",0.01,"Inside, large room or hall",0.01,msub,0.85,e-bus,0.06,osub,0.06,tram,0.40,bus,0.15,osub,0.15,1.28,-34.65
2025-03-15 16:03:05,bus interior,0.34,train interior,0.21,excavation,0.10,gas station,0.06,construction site,0.03,indoor,Unknown,40,Vehicle in E-Bus,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,Toot,0.00,msub,0.40,e-bus,0.30,sbahn,0.15,osub,0.39,bus,0.16,tram,0.15,1.28,-34.11
2025-03-15 16:03:10,bus interior,0.54,train interior,0.12,cockpit,0.04,boat deck,0.03,gas station,0.02,indoor,Unknown,40,Vehicle in E-Bus,Motor vehicle (road),0.02,Car,0.02,Bus,0.01,tram,0.48,sbahn,0.38,bus,0.06,bus,0.40,osub,0.15,msub,0.15,0.00,-33.94
2025-03-15 16:03:15,bus interior,0.42,train interior,0.12,loading dock,0.04,gas station,0.03,repair shop,0.02,indoor,Unknown,40,Vehicle in E-Bus,"Outside, urban or manmade",0.03,"Outside, rural or natural",0.03,"Inside, small room",0.02,sbahn,0.83,tram,0.08,msub,0.04,bus,0.40,tram,0.15,train,0.15,0.82,-37.23
2025-03-15 16:03:20,excavation,0.20,bus interior,0.19,lock chamber,0.11,boat deck,0.08,oilrig,0.07,outdoor,In Vehicle,98,Vehicle in E-Bus,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.02,Bird,0.01,msub,0.95,tram,0.03,sbahn,0.01,bus,0.28,osub,0.23,msub,0.17,0.82,-33.44
2025-03-15 16:03:25,bus interior,0.36,cockpit,0.19,boat deck,0.08,excavation,0.05,train interior,0.04,indoor,In Vehicle,98,Vehicle in E-Bus,Bird,0.02,"Inside, small room",0.01,"Outside, rural or natural",0.01,e-bus,0.57,bus,0.40,sbahn,0.02,bus,0.36,osub,0.18,train,0.15,0.09,-32.89
2025-03-15 16:03:30,bus interior,0.36,cockpit,0.19,boat deck,0.08,excavation,0.05,train interior,0.04,indoor,In Vehicle,98,Vehicle in E-Bus,Bird,0.06,"Outside, rural or natural",0.06,"Outside, urban or manmade",0.04,tram,0.49,bus,0.33,msub,0.10,bus,0.40,msub,0.15,osub,0.15,6.01,-32.12
2025-03-15 16:03:35,bus interior,0.43,loading dock,0.18,train interior,0.15,parking garage/indoor,0.05,airplane cabin,0.03,indoor,In Vehicle,98,Vehicle in E-Bus,"Outside, urban or manmade",0.01,"Boat, Water vehicle",0.01,"Outside, rural or natural",0.01,msub,0.96,tram,0.02,osub,0.02,bus,0.40,msub,0.15,osub,0.15,5.62,-34.79
2025-03-15 16:03:40,bus interior,0.25,train interior,0.12,booth/indoor,0.07,office,0.06,loading dock,0.05,indoor,In Vehicle,98,Vehicle in E-Bus,"Outside, rural or natural",0.02,"Outside, urban or manmade",0.01,"Cutlery, silverware",0.00,msub,0.89,tram,0.04,sbahn,0.04,bus,0.40,train,0.15,tram,0.15,7.68,-30.62
