timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-22 12:16:38,train interior,0.11,bus interior,0.06,airplane cabin,0.05,subway station/platform,0.05,parking garage/indoor,0.05,indoor,Unknown,40,Vehicle in Subway (old),"Inside, large room or hall",0.04,"Inside, small room",0.04,Bird,0.01,sbahn,0.43,e-bus,0.30,bus,0.13,tram,0.29,bus,0.22,msub,0.17,0.61,-44.61
2025-02-22 12:16:43,airplane cabin,0.62,bus interior,0.21,train interior,0.14,mezzanine,0.01,airport terminal,0.00,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.04,"Inside, large room or hall",0.02,"Dishes, pots, and pans",0.01,sbahn,0.76,tram,0.10,bus,0.08,osub,0.31,bus,0.21,tram,0.16,0.14,-39.73
2025-02-22 12:16:48,airplane cabin,0.35,bus interior,0.32,train interior,0.25,airport terminal,0.01,parking garage/indoor,0.01,indoor,Unknown,40,Vehicle in Subway (old),"Inside, large room or hall",0.01,"Inside, small room",0.01,Slam,0.00,msub,0.35,sbahn,0.29,osub,0.17,osub,0.40,bus,0.15,msub,0.15,0.27,-38.34
2025-02-22 12:16:53,airplane cabin,0.35,bus interior,0.32,train interior,0.25,airport terminal,0.01,parking garage/indoor,0.01,indoor,Still,100,Vehicle in Subway (old),"Outside, rural or natural",0.04,"Outside, urban or manmade",0.03,Train,0.02,sbahn,0.62,osub,0.24,msub,0.12,osub,0.40,bus,0.15,msub,0.15,0.27,-34.34
2025-02-22 12:16:58,bus interior,0.44,airplane cabin,0.23,train interior,0.23,airport terminal,0.01,parking garage/indoor,0.01,indoor,Still,100,Vehicle in Subway (old),Wind,0.11,"Outside, urban or manmade",0.06,"Outside, rural or natural",0.04,bus,0.89,e-bus,0.10,sbahn,0.00,osub,0.40,bus,0.15,msub,0.15,0.27,-36.45
2025-02-22 12:17:03,bus interior,0.38,train interior,0.26,airplane cabin,0.26,airport terminal,0.01,locker room,0.01,indoor,Still,96,Vehicle in Subway (old),Wind,0.20,Wind noise (microphone),0.08,Rustling leaves,0.08,bus,0.85,e-bus,0.07,sbahn,0.06,bus,0.28,osub,0.24,tram,0.16,0.34,-35.38
2025-02-22 12:17:08,bus interior,0.40,airplane cabin,0.33,train interior,0.22,mezzanine,0.00,airport terminal,0.00,indoor,Still,96,Vehicle in Subway (old),Wind,0.15,"Outside, urban or manmade",0.04,"Outside, rural or natural",0.03,bus,0.65,e-bus,0.30,sbahn,0.03,osub,0.39,bus,0.16,tram,0.15,0.34,-34.90
2025-02-22 12:17:13,parking garage/indoor,0.19,elevator lobby,0.18,train interior,0.07,airplane cabin,0.06,reception,0.05,indoor,Still,96,Vehicle in Subway (old),Wind,0.08,Rustling leaves,0.04,"Inside, small room",0.03,sbahn,0.52,bus,0.18,osub,0.13,tram,0.33,bus,0.18,msub,0.17,0.25,-34.78
2025-02-22 12:17:18,train interior,0.40,bus interior,0.39,airplane cabin,0.17,airport terminal,0.01,mezzanine,0.00,indoor,Still,59,Vehicle in Subway (old),Bird,0.20,"Pigeon, dove",0.15,"Outside, urban or manmade",0.04,osub,0.37,e-bus,0.29,sbahn,0.19,osub,0.40,bus,0.15,tram,0.15,0.16,-34.12
2025-02-22 12:17:23,train interior,0.38,bus interior,0.38,airplane cabin,0.16,airport terminal,0.01,parking garage/indoor,0.01,indoor,Still,59,Vehicle in Subway (old),"Outside, urban or manmade",0.03,"Outside, rural or natural",0.01,Bus,0.01,msub,0.53,e-bus,0.25,osub,0.15,osub,0.39,bus,0.15,msub,0.15,0.09,-34.61
2025-02-22 12:17:28,airplane cabin,0.49,bus interior,0.29,train interior,0.19,airport terminal,0.00,parking garage/indoor,0.00,indoor,Still,98,Vehicle in Subway (old),"Inside, small room",0.06,Wind,0.06,"Outside, urban or manmade",0.03,bus,0.61,e-bus,0.37,sbahn,0.01,osub,0.39,bus,0.16,msub,0.15,0.04,-35.67
