timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-19 13:11:10,locker room,0.17,reception,0.10,elevator lobby,0.05,lobby,0.05,corridor,0.04,indoor,Unknown,0,Vehicle in Subway (old),Motor vehicle (road),0.04,"Boat, Water vehicle",0.03,Car,0.03,msub,0.86,sbahn,0.11,osub,0.03,osub,0.40,train,0.15,tram,0.15,0.00,-19.35
2025-03-19 13:11:15,train interior,0.35,lobby,0.11,office cubicles,0.04,reception,0.04,elevator lobby,0.04,indoor,Unknown,0,Vehicle in Subway (old),Bus,0.15,"Traffic noise, roadway noise",0.08,Motor vehicle (road),0.08,osub,0.33,msub,0.32,sbahn,0.30,osub,0.40,train,0.15,tram,0.15,0.00,-30.04
2025-03-19 13:11:20,train interior,0.47,lobby,0.10,elevator lobby,0.04,reception,0.04,office cubicles,0.03,indoor,Unknown,0,Vehicle in Subway (old),Aircraft,0.11,Motor vehicle (road),0.08,Bus,0.06,bus,0.57,sbahn,0.18,osub,0.16,osub,0.40,tram,0.15,msub,0.15,0.00,-27.23
2025-03-19 13:11:25,train interior,0.47,lobby,0.10,elevator lobby,0.04,reception,0.04,office cubicles,0.03,indoor,In Vehicle,77,Vehicle in Subway (old),Aircraft,0.15,"Subway, metro, underground",0.08,Train,0.08,sbahn,0.40,bus,0.33,osub,0.14,osub,0.40,bus,0.15,msub,0.15,0.00,-28.17
2025-03-19 13:11:30,train interior,0.31,lobby,0.12,elevator lobby,0.05,reception,0.04,office cubicles,0.04,indoor,In Vehicle,77,Vehicle in Subway (old),Motor vehicle (road),0.20,"Fire engine, fire truck (siren)",0.15,Emergency vehicle,0.15,msub,0.96,sbahn,0.03,osub,0.01,osub,0.40,bus,0.15,msub,0.15,0.00,-19.31
2025-03-19 13:11:35,train interior,0.28,lobby,0.08,library/indoor,0.06,elevator lobby,0.05,office cubicles,0.05,indoor,In Vehicle,77,Vehicle in Subway (old),Motor vehicle (road),0.15,Car,0.15,"Motorboat, speedboat",0.11,sbahn,0.67,osub,0.28,bus,0.04,osub,0.40,train,0.15,bus,0.15,0.00,-24.30
2025-03-19 13:11:40,lobby,0.16,reception,0.06,library/indoor,0.05,archive,0.05,atrium/public,0.04,indoor,In Vehicle,98,Vehicle in Subway (old),Train,0.08,"Vehicle horn, car horn, honking",0.03,"Railroad car, train wagon",0.03,osub,0.56,msub,0.36,sbahn,0.07,osub,0.40,tram,0.15,msub,0.15,0.00,-16.30
2025-03-19 13:11:45,train interior,0.55,lobby,0.05,bus interior,0.03,jewelry shop,0.03,arcade,0.03,indoor,In Vehicle,98,Vehicle in Subway (old),Train,0.11,"Subway, metro, underground",0.08,Truck,0.08,sbahn,0.52,osub,0.46,bus,0.01,osub,0.40,tram,0.15,msub,0.15,0.00,-19.99
2025-03-19 13:11:50,airplane cabin,0.34,mezzanine,0.11,train interior,0.11,staircase,0.07,lobby,0.05,indoor,In Vehicle,98,Vehicle in Subway (old),"Subway, metro, underground",0.41,Train,0.33,"Railroad car, train wagon",0.15,msub,0.45,sbahn,0.41,osub,0.14,osub,0.40,tram,0.15,msub,0.15,0.00,-20.85
2025-03-19 13:11:55,staircase,0.15,airplane cabin,0.14,train interior,0.11,mezzanine,0.10,entrance hall,0.09,indoor,In Vehicle,95,Vehicle in Subway (old),Aircraft,0.08,"Outside, urban or manmade",0.06,"Outside, rural or natural",0.04,sbahn,0.67,bus,0.12,msub,0.11,osub,0.40,msub,0.15,tram,0.15,0.00,-28.68
2025-03-19 13:12:00,canyon,0.33,sauna,0.13,burial chamber,0.08,corridor,0.03,desert/vegetation,0.03,outdoor,In Vehicle,95,Vehicle in Subway (old),Ocean,0.59,"Waves, surf",0.50,Wind,0.08,msub,0.89,sbahn,0.08,osub,0.03,msub,0.34,tram,0.17,osub,0.17,0.00,-29.60
2025-03-19 13:12:05,reception,0.29,train interior,0.16,locker room,0.04,elevator lobby,0.04,lobby,0.03,indoor,In Vehicle,95,Vehicle in Subway (old),Aircraft,0.15,"Outside, urban or manmade",0.08,Wind,0.08,bus,0.60,sbahn,0.26,msub,0.06,osub,0.40,bus,0.15,msub,0.15,0.00,-33.33
2025-03-19 13:12:10,train interior,0.22,reception,0.13,mezzanine,0.07,lobby,0.05,airport terminal,0.04,indoor,In Vehicle,95,Vehicle in Subway (old),Motor vehicle (road),0.04,Car,0.03,Bus,0.03,e-bus,0.66,bus,0.18,tram,0.06,osub,0.40,bus,0.15,msub,0.15,0.00,-36.68
2025-03-19 13:12:15,train interior,0.22,reception,0.13,mezzanine,0.07,lobby,0.05,airport terminal,0.04,indoor,In Vehicle,95,Vehicle in Subway (old),"Outside, rural or natural",0.06,"Inside, small room",0.04,"Outside, urban or manmade",0.04,bus,0.68,sbahn,0.23,e-bus,0.04,osub,0.40,tram,0.15,bus,0.15,0.00,-38.17
2025-03-19 13:12:20,mezzanine,0.08,airport terminal,0.08,train interior,0.07,reception,0.04,attic,0.04,indoor,In Vehicle,95,Vehicle in Subway (old),"Inside, small room",0.08,"Outside, rural or natural",0.03,"Inside, large room or hall",0.02,sbahn,0.71,bus,0.13,tram,0.10,osub,0.40,tram,0.15,bus,0.15,0.00,-39.40
2025-03-19 13:12:25,train interior,0.30,parking garage/indoor,0.07,bus interior,0.07,attic,0.05,airport terminal,0.04,indoor,In Vehicle,87,Vehicle in Subway (old),"Inside, small room",0.01,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.81,msub,0.11,osub,0.05,osub,0.40,bus,0.15,msub,0.15,0.00,-28.37
