timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-07 18:38:06,repair shop,0.09,airport terminal,0.08,arcade,0.06,locker room,0.06,stable,0.04,indoor,Unknown,0,Vehicle in Subway (old),"Pigeon, dove",0.06,Bird,0.04,"Inside, small room",0.01,e-bus,0.87,msub,0.09,tram,0.02,osub,0.40,tram,0.15,msub,0.15,0.00,-37.18
2025-03-07 18:38:11,arcade,0.10,airport terminal,0.06,hangar/indoor,0.05,repair shop,0.05,train interior,0.05,indoor,Unknown,0,Vehicle in Subway (old),"Outside, rural or natural",0.04,"Inside, small room",0.03,"Outside, urban or manmade",0.02,sbahn,0.56,tram,0.13,bus,0.11,osub,0.40,msub,0.15,tram,0.15,0.00,-29.97
2025-03-07 18:38:16,train interior,0.31,excavation,0.15,bus interior,0.11,airplane cabin,0.10,airport terminal,0.02,indoor,Unknown,0,Vehicle in Subway (old),"Outside, urban or manmade",0.02,Motor vehicle (road),0.02,Car,0.02,tram,0.40,osub,0.27,sbahn,0.19,osub,0.40,msub,0.15,tram,0.15,0.00,-31.36
2025-03-07 18:38:21,airplane cabin,0.15,train interior,0.14,repair shop,0.05,bus interior,0.03,parking garage/indoor,0.03,indoor,In Vehicle,92,Vehicle in Subway (old),Bus,0.02,Train,0.02,"Subway, metro, underground",0.02,sbahn,0.91,e-bus,0.04,osub,0.02,msub,0.33,osub,0.19,tram,0.17,0.00,-33.99
2025-03-07 18:38:26,train interior,0.23,locker room,0.17,bus interior,0.10,airport terminal,0.06,elevator lobby,0.03,indoor,In Vehicle,92,Vehicle in Subway (old),"Inside, public space",0.01,"Outside, urban or manmade",0.01,Bus,0.01,msub,0.56,e-bus,0.41,osub,0.01,osub,0.40,tram,0.15,msub,0.15,0.00,-30.92
2025-03-07 18:38:31,train interior,0.23,locker room,0.17,bus interior,0.10,airport terminal,0.06,elevator lobby,0.03,indoor,In Vehicle,92,Vehicle in Subway (old),Train,0.03,"Inside, large room or hall",0.01,"Railroad car, train wagon",0.01,msub,0.98,e-bus,0.01,osub,0.00,osub,0.40,msub,0.15,tram,0.15,0.28,-28.86
2025-03-07 18:38:36,train interior,0.15,locker room,0.12,storage room,0.09,elevator lobby,0.06,parking garage/indoor,0.06,indoor,Unknown,40,Vehicle in Subway (old),"Inside, large room or hall",0.01,"Inside, small room",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.55,osub,0.18,e-bus,0.13,osub,0.40,msub,0.15,tram,0.15,2.46,-34.56
2025-03-07 18:38:41,train interior,0.10,excavation,0.07,airport terminal,0.06,airplane cabin,0.05,construction site,0.05,indoor,Unknown,40,Vehicle in Subway (old),"Inside, large room or hall",0.02,"Inside, small room",0.00,"Inside, public space",0.00,msub,0.91,e-bus,0.03,osub,0.03,osub,0.40,msub,0.15,tram,0.15,4.42,-40.40
2025-03-07 18:38:46,excavation,0.19,repair shop,0.08,arcade,0.08,construction site,0.07,locker room,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Outside, rural or natural",0.02,"Inside, small room",0.01,Bird,0.00,sbahn,0.41,msub,0.30,osub,0.14,osub,0.40,bus,0.15,tram,0.15,5.56,-39.83
2025-03-07 18:38:51,flea market/indoor,0.30,bazaar/outdoor,0.06,repair shop,0.06,clothing store,0.06,train interior,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.02,"Outside, rural or natural",0.01,"Inside, large room or hall",0.01,sbahn,0.42,osub,0.28,msub,0.14,msub,0.28,osub,0.23,train,0.17,5.93,-43.88
