timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-25 15:37:36,bazaar/outdoor,0.26,flea market/indoor,0.23,market/outdoor,0.09,bus station/indoor,0.04,train interior,0.04,indoor,Unknown,0,Vehicle in S-Bahn,Train,0.04,"Inside, small room",0.03,"Inside, large room or hall",0.02,sbahn,0.97,osub,0.01,tram,0.01,train,0.26,tram,0.26,msub,0.16,0.00,-43.70
2025-02-25 15:37:41,auto factory,0.12,assembly line,0.12,bus station/indoor,0.06,flea market/indoor,0.05,repair shop,0.05,indoor,Unknown,0,Vehicle in S-Bahn,"Inside, small room",0.01,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.87,msub,0.07,e-bus,0.04,train,0.26,tram,0.25,msub,0.17,12.00,-41.99
2025-02-25 15:37:46,bazaar/outdoor,0.42,flea market/indoor,0.17,market/outdoor,0.10,arcade,0.04,bazaar/indoor,0.03,outdoor,Unknown,0,Vehicle in S-Bahn,"Inside, small room",0.04,"Inside, large room or hall",0.01,Train,0.00,sbahn,0.97,msub,0.01,e-bus,0.01,bus,0.30,tram,0.23,train,0.16,11.04,-42.28
2025-02-25 15:37:51,bazaar/outdoor,0.44,flea market/indoor,0.23,market/outdoor,0.10,clothing store,0.02,bazaar/indoor,0.02,outdoor,In Vehicle,97,Vehicle in S-Bahn,"Inside, small room",0.04,"Inside, large room or hall",0.01,"Outside, urban or manmade",0.00,sbahn,0.49,msub,0.24,e-bus,0.19,tram,0.33,bus,0.19,msub,0.16,9.72,-44.78
2025-02-25 15:37:56,bazaar/outdoor,0.35,slum,0.13,market/outdoor,0.13,flea market/indoor,0.10,hangar/indoor,0.03,outdoor,In Vehicle,97,Vehicle in S-Bahn,"Inside, small room",0.08,"Inside, large room or hall",0.03,"Outside, rural or natural",0.02,sbahn,0.98,osub,0.01,e-bus,0.00,tram,0.40,bus,0.15,train,0.15,6.45,-43.88
2025-02-25 15:38:01,bazaar/outdoor,0.35,slum,0.13,market/outdoor,0.13,flea market/indoor,0.10,hangar/indoor,0.03,outdoor,In Vehicle,97,Vehicle in S-Bahn,"Inside, small room",0.03,"Inside, large room or hall",0.01,"Dishes, pots, and pans",0.01,sbahn,0.73,e-bus,0.25,msub,0.01,tram,0.29,bus,0.22,msub,0.17,5.03,-46.46
2025-02-25 15:38:06,bazaar/outdoor,0.35,flea market/indoor,0.31,market/outdoor,0.13,slum,0.03,repair shop,0.01,outdoor,In Vehicle,97,Vehicle in S-Bahn,"Inside, small room",0.03,"Inside, large room or hall",0.00,"Cutlery, silverware",0.00,sbahn,0.79,e-bus,0.14,osub,0.03,tram,0.29,bus,0.22,msub,0.17,1.80,-47.68
2025-02-25 15:38:11,flea market/indoor,0.30,train interior,0.13,bus station/indoor,0.13,airport terminal,0.07,fabric store,0.04,indoor,In Vehicle,97,Vehicle in S-Bahn,Bird,0.11,"Pigeon, dove",0.08,"Inside, small room",0.04,sbahn,0.78,bus,0.12,osub,0.06,bus,0.31,tram,0.20,train,0.17,0.55,-37.71
2025-02-25 15:38:16,server room,0.24,engine room,0.11,cockpit,0.09,clothing store,0.09,physics laboratory,0.06,indoor,Still,53,Vehicle in S-Bahn,"Outside, rural or natural",0.04,"Inside, small room",0.02,"Outside, urban or manmade",0.02,sbahn,0.39,bus,0.27,e-bus,0.21,train,0.35,tram,0.19,bus,0.16,0.49,-45.67
2025-02-25 15:38:21,server room,0.31,train interior,0.14,closet,0.13,clothing store,0.09,dressing room,0.08,indoor,Still,53,Vehicle in S-Bahn,"Outside, rural or natural",0.04,Bird,0.02,"Inside, small room",0.02,msub,0.53,sbahn,0.22,tram,0.19,tram,0.35,train,0.18,bus,0.16,0.01,-36.24
2025-02-25 15:38:26,train interior,0.14,flea market/indoor,0.12,office cubicles,0.12,airport terminal,0.06,department store,0.06,indoor,Still,53,Vehicle in S-Bahn,"Outside, urban or manmade",0.01,"Inside, public space",0.01,"Subway, metro, underground",0.00,msub,0.87,sbahn,0.08,e-bus,0.04,tram,0.38,train,0.16,bus,0.15,0.00,-41.04
2025-02-25 15:38:31,airport terminal,0.15,train interior,0.14,flea market/indoor,0.14,bus station/indoor,0.10,department store,0.04,indoor,Still,53,Vehicle in S-Bahn,"Inside, small room",0.11,Slam,0.06,Drawer open or close,0.06,bus,0.35,e-bus,0.35,sbahn,0.16,tram,0.36,bus,0.16,train,0.16,0.00,-25.54
2025-02-25 15:38:36,airport terminal,0.16,flea market/indoor,0.14,department store,0.10,train interior,0.06,fabric store,0.05,indoor,Still,100,Vehicle in S-Bahn,"Inside, small room",0.04,Bird,0.01,"Pigeon, dove",0.00,sbahn,0.96,msub,0.01,tram,0.01,tram,0.24,bus,0.24,train,0.19,0.00,-45.09
