timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-09 17:17:59,locker room,0.38,bank vault,0.22,server room,0.05,airplane cabin,0.04,elevator lobby,0.04,indoor,Still,100,Vehicle in S-Bahn,"Inside, small room",0.00,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.75,osub,0.12,e-bus,0.08,msub,0.29,tram,0.22,train,0.17,0.14,-38.50
2025-03-09 17:18:04,locker room,0.57,elevator lobby,0.10,server room,0.07,airplane cabin,0.04,bank vault,0.03,indoor,Still,100,Vehicle in S-Bahn,"Inside, small room",0.06,"Outside, rural or natural",0.02,"Inside, large room or hall",0.02,sbahn,0.84,msub,0.13,osub,0.01,tram,0.40,msub,0.15,train,0.15,1.17,-40.79
2025-03-09 17:18:09,locker room,0.52,airplane cabin,0.12,server room,0.08,elevator lobby,0.04,bank vault,0.04,indoor,Still,35,Vehicle in S-Bahn,"Inside, small room",0.01,"Inside, large room or hall",0.01,Bird,0.01,sbahn,0.74,msub,0.22,e-bus,0.03,tram,0.40,msub,0.15,osub,0.15,0.66,-38.64
2025-03-09 17:18:14,locker room,0.52,airplane cabin,0.12,server room,0.08,elevator lobby,0.04,bank vault,0.04,indoor,Still,35,Vehicle in S-Bahn,"Inside, large room or hall",0.02,"Inside, public space",0.02,"Outside, urban or manmade",0.00,msub,0.81,sbahn,0.13,osub,0.03,tram,0.36,train,0.17,bus,0.16,0.66,-37.08
2025-03-09 17:18:19,airplane cabin,0.67,train interior,0.15,bus interior,0.06,subway station/platform,0.02,airport terminal,0.01,indoor,Still,97,Vehicle in S-Bahn,"Inside, small room",0.06,"Inside, large room or hall",0.01,"Outside, urban or manmade",0.00,sbahn,0.92,msub,0.06,osub,0.02,tram,0.40,train,0.15,msub,0.15,0.49,-37.37
2025-03-09 17:18:24,airplane cabin,0.67,train interior,0.15,bus interior,0.06,subway station/platform,0.02,airport terminal,0.01,indoor,Still,97,Vehicle in S-Bahn,Bird,0.06,"Outside, rural or natural",0.03,"Pigeon, dove",0.02,sbahn,0.90,osub,0.04,tram,0.03,tram,0.40,train,0.15,msub,0.15,0.14,-36.48
2025-03-09 17:18:29,airplane cabin,0.86,train interior,0.08,bus interior,0.03,subway station/platform,0.00,parking garage/indoor,0.00,indoor,Still,97,Vehicle in S-Bahn,"Inside, large room or hall",0.03,Bird,0.02,"Inside, public space",0.01,sbahn,0.42,e-bus,0.33,tram,0.13,tram,0.40,bus,0.15,train,0.15,0.02,-34.53
2025-03-09 17:18:34,airplane cabin,0.76,train interior,0.15,bus interior,0.05,subway station/platform,0.01,bank vault,0.00,indoor,Unknown,40,Vehicle in S-Bahn,"Inside, small room",0.04,Train,0.02,Bird,0.01,sbahn,0.96,osub,0.02,e-bus,0.01,tram,0.39,bus,0.16,train,0.15,0.02,-35.28
2025-03-09 17:18:39,airplane cabin,0.70,train interior,0.16,bus interior,0.05,subway station/platform,0.04,airport terminal,0.01,indoor,Unknown,40,Vehicle in S-Bahn,"Outside, urban or manmade",0.01,"Outside, rural or natural",0.01,"Boat, Water vehicle",0.00,sbahn,0.86,osub,0.05,tram,0.04,tram,0.39,msub,0.16,bus,0.15,0.00,-37.83
2025-03-09 17:18:44,airplane cabin,0.74,train interior,0.16,bus interior,0.04,subway station/platform,0.01,airport terminal,0.00,indoor,Unknown,40,Vehicle in S-Bahn,"Inside, small room",0.02,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,sbahn,0.90,e-bus,0.03,osub,0.03,tram,0.40,train,0.15,bus,0.15,0.00,-38.39
