timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-01 11:42:29,basement,0.19,garage/indoor,0.12,elevator shaft,0.12,utility room,0.05,closet,0.05,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.00,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.86,sbahn,0.09,osub,0.02,msub,0.40,tram,0.15,train,0.15,0.12,-39.79
2025-03-01 11:42:34,basement,0.21,elevator shaft,0.14,garage/indoor,0.12,utility room,0.07,closet,0.06,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.01,"Inside, large room or hall",0.00,"Cutlery, silverware",0.00,msub,0.69,sbahn,0.15,osub,0.07,msub,0.40,tram,0.15,train,0.15,0.12,-31.33
2025-03-01 11:42:39,basement,0.18,garage/indoor,0.13,elevator shaft,0.13,bank vault,0.10,closet,0.07,indoor,Unknown,40,Vehicle in Subway,Train,0.20,"Railroad car, train wagon",0.11,"Subway, metro, underground",0.04,msub,0.91,bus,0.04,sbahn,0.02,msub,0.40,tram,0.15,train,0.15,0.12,-32.24
2025-03-01 11:42:44,basement,0.13,campsite,0.09,elevator shaft,0.09,garage/indoor,0.09,closet,0.07,indoor,In Vehicle,96,Vehicle in Subway,"Outside, urban or manmade",0.04,Bus,0.02,Wind,0.02,osub,0.28,msub,0.22,sbahn,0.22,msub,0.40,tram,0.15,bus,0.15,0.00,-30.66
2025-03-01 11:42:49,basement,0.15,garage/indoor,0.13,closet,0.11,campsite,0.04,utility room,0.04,indoor,In Vehicle,96,Vehicle in Subway,"Outside, urban or manmade",0.02,"Pigeon, dove",0.01,Bus,0.01,msub,0.64,tram,0.14,osub,0.10,msub,0.40,tram,0.15,train,0.15,0.00,-30.20
2025-03-01 11:42:54,bank vault,0.15,dressing room,0.09,basement,0.08,closet,0.08,elevator/door,0.06,indoor,In Vehicle,96,Vehicle in Subway,Train,0.06,"Outside, urban or manmade",0.06,Wind,0.04,bus,0.59,sbahn,0.14,e-bus,0.14,msub,0.40,tram,0.15,train,0.15,0.00,-29.56
2025-03-01 11:42:59,bank vault,0.15,dressing room,0.09,basement,0.08,closet,0.08,elevator/door,0.06,indoor,In Vehicle,96,Vehicle in Subway,"Outside, urban or manmade",0.04,Bus,0.02,Motor vehicle (road),0.01,e-bus,0.31,bus,0.30,sbahn,0.13,msub,0.40,tram,0.15,train,0.15,0.00,-30.38
2025-03-01 11:43:04,basement,0.19,bank vault,0.15,phone booth,0.09,elevator/door,0.07,utility room,0.06,indoor,In Vehicle,96,Vehicle in Subway,Wind,0.15,"Outside, rural or natural",0.06,"Outside, urban or manmade",0.06,msub,0.63,sbahn,0.24,osub,0.10,msub,0.40,tram,0.15,bus,0.15,0.00,-31.95
2025-03-01 11:43:09,parking garage/indoor,0.17,garage/indoor,0.08,veterinarians office,0.07,playroom,0.05,pet shop,0.05,indoor,In Vehicle,96,Vehicle in Subway,Car,0.11,Motor vehicle (road),0.08,"Outside, urban or manmade",0.08,bus,0.46,tram,0.37,e-bus,0.12,msub,0.40,tram,0.15,train,0.15,3.02,-28.84
2025-03-01 11:43:14,parking garage/indoor,0.17,dressing room,0.15,basement,0.06,locker room,0.06,train interior,0.05,indoor,In Vehicle,96,Vehicle in Subway,Motor vehicle (road),0.11,Car,0.08,"Outside, urban or manmade",0.06,sbahn,0.59,bus,0.29,e-bus,0.06,msub,0.40,tram,0.15,bus,0.15,3.02,-36.16
2025-03-01 11:43:19,parking garage/indoor,0.27,basement,0.10,garage/indoor,0.06,recreation room,0.04,repair shop,0.04,indoor,In Vehicle,96,Vehicle in Subway,Aircraft,0.01,"Outside, urban or manmade",0.01,Radio,0.01,msub,0.97,sbahn,0.01,osub,0.01,msub,0.40,tram,0.15,bus,0.15,5.22,-38.58
2025-03-01 11:43:24,campsite,0.10,parking garage/indoor,0.08,basement,0.08,garage/indoor,0.07,engine room,0.05,indoor,Unknown,40,Vehicle in Subway,"Outside, rural or natural",0.02,Bird,0.01,"Inside, small room",0.00,msub,0.94,tram,0.02,sbahn,0.02,msub,0.40,tram,0.15,bus,0.15,5.72,-43.29
2025-03-01 11:43:29,parking garage/indoor,0.13,basement,0.12,garage/indoor,0.10,engine room,0.06,campsite,0.04,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.15,Bird,0.04,"Inside, large room or hall",0.01,sbahn,0.78,msub,0.16,osub,0.04,msub,0.40,tram,0.15,bus,0.15,5.39,-43.29
2025-03-01 11:43:34,parking garage/indoor,0.37,basement,0.05,repair shop,0.03,bank vault,0.03,airport terminal,0.03,indoor,Unknown,40,Vehicle in Subway,"Inside, large room or hall",0.03,"Inside, small room",0.02,Slam,0.00,msub,0.93,e-bus,0.04,sbahn,0.02,msub,0.36,tram,0.18,bus,0.15,4.72,-28.58
2025-03-01 11:43:39,parking garage/indoor,0.62,garage/indoor,0.05,repair shop,0.04,basement,0.03,engine room,0.02,indoor,Unknown,40,Vehicle in Subway,"Outside, rural or natural",0.02,"Pigeon, dove",0.00,Bird,0.00,msub,0.79,sbahn,0.16,e-bus,0.03,msub,0.40,tram,0.15,bus,0.15,3.98,-43.80
2025-03-01 11:43:44,parking garage/indoor,0.62,garage/indoor,0.05,repair shop,0.04,basement,0.03,engine room,0.02,indoor,Unknown,40,Vehicle in Subway,"Outside, urban or manmade",0.06,Train,0.02,"Inside, small room",0.02,msub,0.99,sbahn,0.01,bus,0.00,msub,0.40,tram,0.15,bus,0.15,3.32,-32.43
2025-03-01 11:43:49,dressing room,0.22,clothing store,0.12,closet,0.09,amusement arcade,0.05,recreation room,0.04,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.04,"Inside, large room or hall",0.01,"Outside, rural or natural",0.01,sbahn,0.56,msub,0.39,e-bus,0.02,msub,0.40,tram,0.15,bus,0.15,2.77,-35.10
2025-03-01 11:43:54,repair shop,0.09,amusement arcade,0.09,parking garage/indoor,0.07,dressing room,0.06,closet,0.06,indoor,Still,41,Vehicle in Subway,"Inside, small room",0.02,"Inside, large room or hall",0.00,Radio,0.00,sbahn,0.92,msub,0.07,osub,0.01,msub,0.40,tram,0.15,osub,0.15,2.31,-48.37
2025-03-01 11:43:59,parking garage/indoor,0.17,locker room,0.13,server room,0.10,repair shop,0.07,bank vault,0.06,indoor,Still,41,Vehicle in Subway,Bird,0.04,"Outside, rural or natural",0.03,"Inside, small room",0.03,sbahn,0.78,bus,0.08,osub,0.07,msub,0.39,tram,0.16,bus,0.15,1.95,-36.86
2025-03-01 11:44:04,dressing room,0.17,basement,0.11,parking garage/indoor,0.06,gymnasium/indoor,0.05,recreation room,0.05,indoor,Still,41,Vehicle in Subway,"Inside, small room",0.02,"Inside, large room or hall",0.00,"Outside, rural or natural",0.00,sbahn,0.58,msub,0.18,e-bus,0.12,msub,0.40,tram,0.15,bus,0.15,1.57,-27.59
2025-03-01 11:44:09,repair shop,0.08,junkyard,0.06,basement,0.06,parking garage/indoor,0.06,amusement arcade,0.05,indoor,Still,49,Vehicle in Subway,"Inside, small room",0.01,"Inside, large room or hall",0.01,"Fire engine, fire truck (siren)",0.00,msub,0.58,tram,0.21,osub,0.12,msub,0.40,tram,0.15,bus,0.15,1.14,-24.30
2025-03-01 11:44:14,parking garage/indoor,0.40,repair shop,0.07,garage/indoor,0.06,junkyard,0.05,recreation room,0.05,indoor,Still,49,Vehicle in Subway,Bus,0.02,"Outside, urban or manmade",0.02,Motor vehicle (road),0.01,osub,0.43,e-bus,0.31,bus,0.10,msub,0.40,tram,0.15,bus,0.15,0.68,-26.81
2025-03-01 11:44:19,parking garage/indoor,0.22,basement,0.10,repair shop,0.10,garage/indoor,0.07,engine room,0.06,indoor,Still,49,Vehicle in Subway,Ocean,0.50,"Waves, surf",0.41,Wind,0.15,bus,0.47,sbahn,0.21,msub,0.16,msub,0.40,tram,0.15,bus,0.15,2.93,-31.40
2025-03-01 11:44:24,parking garage/indoor,0.11,repair shop,0.08,basement,0.08,junkyard,0.07,closet,0.06,indoor,In Vehicle,92,Vehicle in Subway,Wind,0.04,"Outside, urban or manmade",0.04,"Outside, rural or natural",0.04,bus,0.59,e-bus,0.28,sbahn,0.07,msub,0.40,tram,0.15,bus,0.15,0.00,-31.67
2025-03-01 11:44:29,parking garage/indoor,0.11,repair shop,0.08,basement,0.08,junkyard,0.07,closet,0.06,indoor,In Vehicle,92,Vehicle in Subway,Motor vehicle (road),0.15,Car,0.15,"Outside, urban or manmade",0.08,bus,0.49,sbahn,0.19,tram,0.12,msub,0.40,tram,0.15,bus,0.15,0.00,-30.66
2025-03-01 11:44:34,closet,0.29,dressing room,0.14,parking garage/indoor,0.10,basement,0.08,clothing store,0.08,indoor,In Vehicle,92,Vehicle in Subway,Motor vehicle (road),0.33,Car,0.26,"Traffic noise, roadway noise",0.20,msub,0.48,tram,0.23,sbahn,0.12,msub,0.40,tram,0.15,bus,0.15,0.00,-26.99
2025-03-01 11:44:39,parking garage/indoor,0.22,closet,0.13,garage/indoor,0.08,basement,0.07,engine room,0.05,indoor,In Vehicle,75,Vehicle in Subway,Motor vehicle (road),0.04,Bus,0.04,"Outside, urban or manmade",0.04,msub,0.75,bus,0.09,e-bus,0.07,msub,0.40,tram,0.15,bus,0.15,0.00,-26.78
2025-03-01 11:44:44,closet,0.26,parking garage/indoor,0.11,basement,0.08,dressing room,0.07,clothing store,0.05,indoor,In Vehicle,75,Vehicle in Subway,Wind,0.15,Wind noise (microphone),0.11,Train,0.08,msub,0.97,sbahn,0.02,osub,0.01,msub,0.40,tram,0.15,bus,0.15,0.00,-24.50
2025-03-01 11:44:49,parking garage/indoor,0.19,closet,0.10,basement,0.09,garage/indoor,0.07,server room,0.06,indoor,In Vehicle,75,Vehicle in Subway,"Outside, rural or natural",0.03,"Outside, urban or manmade",0.02,Bird,0.02,msub,0.93,bus,0.02,tram,0.02,msub,0.40,tram,0.15,bus,0.15,0.00,-30.24
2025-03-01 11:44:54,garage/indoor,0.32,basement,0.08,veterinarians office,0.05,office cubicles,0.05,car interior,0.02,indoor,In Vehicle,75,Vehicle in Subway,"Inside, small room",0.08,"Inside, large room or hall",0.03,Drawer open or close,0.02,e-bus,0.50,sbahn,0.27,bus,0.18,msub,0.40,tram,0.15,train,0.15,0.00,-34.70
2025-03-01 11:44:59,basement,0.35,elevator shaft,0.21,garage/indoor,0.05,parking lot,0.02,campsite,0.02,indoor,In Vehicle,75,Vehicle in Subway,Train,0.15,"Railroad car, train wagon",0.06,"Outside, rural or natural",0.04,sbahn,0.63,msub,0.18,tram,0.10,msub,0.40,tram,0.15,train,0.15,0.00,-34.33
2025-03-01 11:45:04,repair shop,0.08,bank vault,0.06,garage/indoor,0.05,basement,0.05,parking garage/indoor,0.05,indoor,Unknown,40,Vehicle in Subway,"Inside, small room",0.06,"Inside, large room or hall",0.02,Bird,0.01,sbahn,0.40,msub,0.31,bus,0.19,msub,0.40,tram,0.15,train,0.15,0.00,-29.40
2025-03-01 11:45:09,basement,0.49,garage/indoor,0.07,elevator shaft,0.06,campsite,0.04,repair shop,0.03,indoor,Unknown,40,Vehicle in Subway,"Inside, large room or hall",0.04,"Inside, small room",0.04,Drawer open or close,0.03,e-bus,0.75,sbahn,0.11,msub,0.05,msub,0.40,tram,0.15,train,0.15,0.00,-33.18
