timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-04 12:38:44,volleyball court/outdoor,0.31,berth,0.09,elevator shaft,0.06,stable,0.05,driveway,0.05,indoor,Unknown,0,Vehicle in Subway,"Subway, metro, underground",0.15,Train,0.11,"Railroad car, train wagon",0.08,msub,0.42,bus,0.20,sbahn,0.16,msub,0.39,tram,0.16,osub,0.15,0.00,-31.57
2025-03-04 12:38:49,berth,0.16,volleyball court/outdoor,0.09,driveway,0.08,elevator/door,0.05,stable,0.04,indoor,Unknown,0,Vehicle in Subway,"Subway, metro, underground",0.33,Train,0.20,"Railroad car, train wagon",0.11,e-bus,0.89,bus,0.10,msub,0.00,msub,0.32,osub,0.18,tram,0.17,0.00,-31.06
2025-03-04 12:38:54,berth,0.17,volleyball court/outdoor,0.13,elevator shaft,0.06,elevator/door,0.05,stable,0.05,indoor,Unknown,40,Vehicle in Subway,"Subway, metro, underground",0.33,Train,0.26,"Railroad car, train wagon",0.11,e-bus,0.38,sbahn,0.28,bus,0.20,msub,0.33,tram,0.19,osub,0.16,0.00,-31.49
2025-03-04 12:38:59,volleyball court/outdoor,0.26,elevator/door,0.10,berth,0.07,stable,0.07,elevator shaft,0.04,indoor,Unknown,40,Vehicle in Subway,Train,0.50,"Railroad car, train wagon",0.33,"Subway, metro, underground",0.26,bus,0.59,sbahn,0.13,e-bus,0.10,osub,0.31,tram,0.21,msub,0.17,0.26,-29.89
2025-03-04 12:39:04,berth,0.19,bank vault,0.17,elevator shaft,0.10,home theater,0.06,basement,0.06,indoor,Unknown,40,Vehicle in Subway,"Subway, metro, underground",0.06,Train,0.06,Bus,0.06,bus,0.69,e-bus,0.29,osub,0.01,msub,0.40,tram,0.15,osub,0.15,0.50,-36.32
2025-03-04 12:39:09,berth,0.19,bank vault,0.17,elevator shaft,0.10,home theater,0.06,basement,0.06,indoor,Still,99,Vehicle in Subway,Train,0.04,"Inside, small room",0.02,"Subway, metro, underground",0.02,sbahn,0.78,e-bus,0.14,bus,0.07,osub,0.35,msub,0.18,tram,0.16,0.00,-39.20
2025-03-04 12:39:14,sauna,0.17,elevator/door,0.10,berth,0.06,garage/indoor,0.06,driveway,0.05,indoor,Still,99,Vehicle in Subway,"Inside, small room",0.11,Bird,0.02,"Inside, large room or hall",0.01,sbahn,0.77,e-bus,0.08,osub,0.05,osub,0.35,msub,0.18,tram,0.16,0.00,-43.42
2025-03-04 12:39:19,sauna,0.40,berth,0.17,alcove,0.09,staircase,0.07,burial chamber,0.03,indoor,Still,99,Vehicle in Subway,"Inside, small room",0.11,"Inside, large room or hall",0.03,"Outside, rural or natural",0.01,sbahn,0.54,e-bus,0.25,msub,0.09,msub,0.30,osub,0.21,tram,0.17,0.00,-41.43
2025-03-04 12:39:24,parking garage/indoor,0.44,subway station/platform,0.13,airport terminal,0.12,hangar/indoor,0.03,escalator/indoor,0.03,indoor,Still,99,Vehicle in Subway,"Inside, small room",0.06,"Inside, large room or hall",0.00,"Fire engine, fire truck (siren)",0.00,msub,0.79,sbahn,0.13,osub,0.05,msub,0.30,tram,0.20,osub,0.18,0.00,-36.59
2025-03-04 12:39:29,airport terminal,0.38,parking garage/indoor,0.12,bowling alley,0.09,food court,0.03,elevator lobby,0.03,indoor,Still,99,Vehicle in Subway,"Inside, small room",0.20,Cricket,0.04,"Outside, rural or natural",0.03,sbahn,0.85,msub,0.15,e-bus,0.00,tram,0.38,msub,0.16,osub,0.15,0.00,-47.46
