timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-24 18:37:32,reception,0.20,berth,0.08,kitchen,0.07,locker room,0.04,office cubicles,0.03,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.04,"Inside, large room or hall",0.01,"Outside, urban or manmade",0.00,sbahn,0.85,tram,0.12,osub,0.01,osub,0.40,tram,0.15,bus,0.15,0.00,-36.67
2025-03-24 18:37:37,kitchen,0.14,reception,0.13,berth,0.10,bathroom,0.05,restaurant kitchen,0.04,indoor,Unknown,40,Vehicle in Subway (old),Bird,0.11,"Inside, small room",0.02,"Outside, rural or natural",0.02,sbahn,0.40,tram,0.36,msub,0.11,osub,0.40,tram,0.15,msub,0.15,0.00,-32.87
2025-03-24 18:37:42,airplane cabin,0.39,train interior,0.13,hangar/indoor,0.05,bus interior,0.04,airport terminal,0.03,indoor,Unknown,40,Vehicle in Subway (old),Aircraft,0.08,"Outside, urban or manmade",0.03,"Outside, rural or natural",0.02,osub,0.51,sbahn,0.23,tram,0.22,osub,0.40,msub,0.15,bus,0.15,0.00,-27.05
2025-03-24 18:37:47,airplane cabin,0.25,train interior,0.09,hangar/indoor,0.05,bus interior,0.04,airport terminal,0.03,indoor,Unknown,40,Vehicle in Subway (old),Aircraft,0.08,"Outside, urban or manmade",0.02,Field recording,0.02,sbahn,0.53,osub,0.21,tram,0.18,osub,0.40,msub,0.15,tram,0.15,0.00,-25.70
2025-03-24 18:37:52,repair shop,0.07,airplane cabin,0.06,hangar/indoor,0.05,clothing store,0.05,coffee shop,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Subway, metro, underground",0.59,Train,0.50,"Railroad car, train wagon",0.26,osub,0.73,sbahn,0.16,msub,0.10,osub,0.40,msub,0.15,bus,0.15,0.00,-26.04
2025-03-24 18:37:57,repair shop,0.07,airplane cabin,0.06,hangar/indoor,0.05,clothing store,0.05,coffee shop,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Outside, rural or natural",0.04,Bird,0.03,"Outside, urban or manmade",0.02,sbahn,0.66,osub,0.23,msub,0.03,osub,0.40,tram,0.15,msub,0.15,0.00,-28.16
2025-03-24 18:38:02,train interior,0.10,airplane cabin,0.09,legislative chamber,0.08,locker room,0.07,office cubicles,0.05,indoor,Unknown,40,Vehicle in Subway (old),Field recording,0.06,Motor vehicle (road),0.06,Bus,0.06,msub,0.94,tram,0.04,osub,0.02,osub,0.40,tram,0.15,msub,0.15,0.00,-28.74
2025-03-24 18:38:41,train interior,0.10,airplane cabin,0.09,legislative chamber,0.08,locker room,0.07,office cubicles,0.05,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.11,"Outside, urban or manmade",0.02,Car,0.02,e-bus,0.36,sbahn,0.27,tram,0.13,osub,0.40,tram,0.15,bus,0.15,0.00,-36.99
2025-03-24 18:38:46,ice cream parlor,0.12,coffee shop,0.06,science museum,0.05,shoe shop,0.04,office cubicles,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.04,"Outside, rural or natural",0.01,"Inside, large room or hall",0.01,bus,0.48,e-bus,0.18,sbahn,0.15,osub,0.40,bus,0.15,msub,0.15,0.00,-31.38
2025-03-24 18:38:51,jewelry shop,0.21,reception,0.10,arena/rodeo,0.05,drugstore,0.05,coffee shop,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.08,Car,0.02,Motor vehicle (road),0.02,e-bus,0.64,bus,0.32,sbahn,0.02,osub,0.40,tram,0.15,bus,0.15,0.00,-38.91
