timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-03-25 13:38:03,reception,0.55,jewelry shop,0.10,arena/rodeo,0.04,aquarium,0.02,mezzanine,0.01,indoor,Unknown,0,Vehicle in Subway (old),Bus,0.15,Motor vehicle (road),0.11,"Traffic noise, roadway noise",0.08,bus,0.49,osub,0.33,e-bus,0.10,osub,0.40,bus,0.15,msub,0.15,0.00,-26.84
2025-03-25 13:38:09,reception,0.55,jewelry shop,0.10,arena/rodeo,0.04,aquarium,0.02,mezzanine,0.01,indoor,Unknown,40,Vehicle in Subway (old),Bus,0.03,"Outside, urban or manmade",0.03,Aircraft,0.02,bus,0.53,sbahn,0.41,osub,0.04,osub,0.40,msub,0.15,tram,0.15,0.00,-26.18
2025-03-25 13:38:14,airplane cabin,0.18,train interior,0.11,mezzanine,0.05,lobby,0.05,reception,0.04,indoor,Unknown,40,Vehicle in Subway (old),Aircraft,0.26,Aircraft engine,0.15,"Outside, urban or manmade",0.11,bus,0.86,e-bus,0.06,sbahn,0.05,osub,0.40,msub,0.15,bus,0.15,0.00,-27.96
2025-03-25 13:38:19,airplane cabin,0.10,train interior,0.07,reception,0.06,lobby,0.06,art gallery,0.04,indoor,Unknown,40,Vehicle in Subway (old),Aircraft,0.50,Aircraft engine,0.20,"Outside, urban or manmade",0.06,sbahn,0.68,osub,0.18,bus,0.07,osub,0.40,msub,0.15,bus,0.15,0.00,-27.63
2025-03-25 13:38:24,elevator lobby,0.15,reception,0.12,train interior,0.08,lobby,0.08,arcade,0.05,indoor,Unknown,40,Vehicle in Subway (old),Ocean,0.41,"Waves, surf",0.33,Wind,0.26,osub,0.77,sbahn,0.22,msub,0.01,osub,0.40,msub,0.15,bus,0.15,0.00,-23.78
2025-03-25 13:38:29,jewelry shop,0.09,reception,0.06,galley,0.06,train interior,0.05,closet,0.05,indoor,Unknown,40,Vehicle in Subway (old),Aircraft,0.15,Wind,0.15,"Outside, rural or natural",0.11,sbahn,0.80,msub,0.17,osub,0.02,osub,0.40,bus,0.15,msub,0.15,0.00,-31.22
2025-03-25 13:38:34,reception,0.14,bow window/indoor,0.09,berth,0.06,coffee shop,0.04,sauna,0.04,indoor,Unknown,40,Vehicle in Subway (old),Train,0.02,Bus,0.02,"Outside, urban or manmade",0.02,bus,0.68,e-bus,0.13,msub,0.09,osub,0.40,tram,0.15,train,0.15,0.00,-36.59
2025-03-25 13:40:08,reception,0.14,bow window/indoor,0.09,berth,0.06,coffee shop,0.04,sauna,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Outside, rural or natural",0.06,"Outside, urban or manmade",0.04,Rustling leaves,0.02,bus,0.30,osub,0.29,msub,0.20,osub,0.40,tram,0.15,train,0.15,0.00,-20.32
2025-03-25 13:40:13,reception,0.13,galley,0.12,wet bar,0.06,kitchen,0.05,berth,0.03,indoor,Unknown,40,Vehicle in Subway (old),Motor vehicle (road),0.06,Car,0.06,"Outside, urban or manmade",0.06,bus,0.54,osub,0.18,e-bus,0.17,osub,0.40,tram,0.15,msub,0.15,0.00,-27.40
2025-03-25 13:40:18,reception,0.09,arcade,0.08,corridor,0.06,train interior,0.06,lobby,0.06,indoor,Unknown,40,Vehicle in Subway (old),Ocean,0.74,"Waves, surf",0.67,Wind,0.33,msub,0.88,sbahn,0.07,osub,0.04,osub,0.40,tram,0.15,msub,0.15,0.00,-25.98
2025-03-25 13:40:23,airplane cabin,0.10,reception,0.08,home theater,0.07,bus interior,0.06,train interior,0.06,indoor,Unknown,40,Vehicle in Subway (old),Wind,0.33,"Boat, Water vehicle",0.26,Wind noise (microphone),0.26,tram,0.35,osub,0.35,sbahn,0.20,osub,0.40,tram,0.15,bus,0.15,0.00,-29.86
2025-03-25 13:40:28,artists loft,0.09,reception,0.06,art gallery,0.05,art studio,0.04,arcade,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.01,"Outside, urban or manmade",0.00,"Inside, large room or hall",0.00,sbahn,0.46,msub,0.38,osub,0.10,osub,0.40,tram,0.15,msub,0.15,0.00,-36.46
2025-03-25 13:40:33,artists loft,0.09,reception,0.06,art gallery,0.05,art studio,0.04,arcade,0.04,indoor,Unknown,40,Vehicle in Subway (old),Car,0.03,"Outside, urban or manmade",0.03,Motor vehicle (road),0.02,sbahn,0.80,e-bus,0.10,osub,0.07,osub,0.40,tram,0.15,msub,0.15,0.00,-39.55
2025-03-25 13:40:38,reception,0.13,lobby,0.08,bookstore,0.04,train interior,0.04,coffee shop,0.03,indoor,Unknown,40,Vehicle in Subway (old),"Outside, rural or natural",0.15,Rustling leaves,0.02,"Outside, urban or manmade",0.02,msub,1.00,sbahn,0.00,tram,0.00,osub,0.40,tram,0.15,msub,0.15,0.00,-33.80
2025-03-25 13:40:43,train interior,0.11,bus interior,0.09,entrance hall,0.07,stable,0.06,church/indoor,0.05,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.08,"Outside, rural or natural",0.04,"Outside, urban or manmade",0.02,sbahn,0.86,msub,0.08,osub,0.03,osub,0.40,msub,0.15,tram,0.15,0.00,-38.11
2025-03-25 13:40:48,galley,0.19,reception,0.10,berth,0.08,jewelry shop,0.04,train interior,0.04,indoor,Unknown,40,Vehicle in Subway (old),"Inside, small room",0.03,"Inside, large room or hall",0.01,"Outside, urban or manmade",0.00,msub,0.29,sbahn,0.24,osub,0.22,osub,0.40,msub,0.15,tram,0.15,0.00,-34.50
2025-03-25 13:40:53,berth,0.25,galley,0.09,airplane cabin,0.08,beer hall,0.04,train interior,0.03,indoor,Still,99,Vehicle in Subway (old),Train,0.06,"Outside, rural or natural",0.04,"Railroad car, train wagon",0.03,sbahn,0.99,osub,0.00,msub,0.00,osub,0.40,tram,0.15,train,0.15,0.00,-40.35
2025-03-25 13:40:58,staircase,0.11,mezzanine,0.09,entrance hall,0.07,train interior,0.05,lobby,0.04,indoor,Still,99,Vehicle in Subway (old),"Outside, rural or natural",0.08,Bird,0.04,"Outside, urban or manmade",0.03,bus,0.41,sbahn,0.41,msub,0.06,osub,0.40,msub,0.15,tram,0.15,0.00,-41.81
2025-03-25 13:41:03,staircase,0.16,entrance hall,0.13,church/indoor,0.05,mezzanine,0.05,train interior,0.04,indoor,Still,96,Vehicle in Subway (old),"Outside, rural or natural",0.04,"Outside, urban or manmade",0.04,Motor vehicle (road),0.04,sbahn,0.69,e-bus,0.19,bus,0.07,osub,0.40,msub,0.15,bus,0.15,0.00,-42.54
2025-03-25 13:41:08,bus interior,0.12,train interior,0.10,reception,0.09,mezzanine,0.03,entrance hall,0.03,indoor,Still,96,Vehicle in Subway (old),"Inside, small room",0.02,"Outside, urban or manmade",0.00,Aircraft,0.00,sbahn,0.63,msub,0.35,osub,0.01,osub,0.40,msub,0.15,tram,0.15,0.00,-41.24
