timestamp,PLACES_top1,places_top1_conf,PLACES_top2,places_top2_conf,PLACES_top3,places_top3_conf,PLACES_top4,places_top4_conf,PLACES_top5,places_top5_conf,SCENE_TYPE,ACT,ACT_confidence,status_gt,YAMNET_top1,YAMNET_conf_1,YAMNET_top2,YAMNET_conf_2,YAMNET_top3,YAMNET_conf_3,VEHICLE_audio_1,vehicle_audio_conf_1,VEHICLE_audio_2,vehicle_audio_conf_2,VEHICLE_audio_3,vehicle_audio_conf_3,VEHICLE_image_1,vehicle_image_conf_1,VEHICLE_image_2,vehicle_image_conf_2,VEHICLE_image_3,vehicle_image_conf_3,speed_m_s,noise_dB
2025-02-24 20:44:35,train interior,0.58,reception,0.20,bus interior,0.07,airplane cabin,0.03,office cubicles,0.03,indoor,Unknown,40,Vehicle in Tram,"Outside, rural or natural",0.01,"Outside, urban or manmade",0.01,"Boat, Water vehicle",0.00,msub,0.61,sbahn,0.19,tram,0.15,tram,0.32,train,0.21,msub,0.16,0.82,-34.67
2025-02-24 20:44:40,train interior,0.62,office cubicles,0.10,locker room,0.07,reception,0.06,bus interior,0.05,indoor,Unknown,40,Vehicle in Tram,"Outside, urban or manmade",0.02,"Boat, Water vehicle",0.02,Bus,0.01,sbahn,0.63,msub,0.15,tram,0.09,tram,0.40,msub,0.15,train,0.15,6.99,-33.13
2025-02-24 20:44:45,train interior,0.90,bus interior,0.05,airplane cabin,0.01,reception,0.01,elevator lobby,0.01,indoor,Unknown,40,Vehicle in Tram,Aircraft,0.04,"Outside, urban or manmade",0.03,"Outside, rural or natural",0.02,msub,0.45,tram,0.33,osub,0.15,tram,0.40,train,0.15,msub,0.15,10.75,-26.07
2025-02-24 20:44:50,train interior,0.63,locker room,0.17,bus interior,0.06,reception,0.04,office cubicles,0.02,indoor,Unknown,40,Vehicle in Tram,Motor vehicle (road),0.03,Bus,0.02,Car,0.02,tram,0.93,bus,0.03,msub,0.02,tram,0.40,train,0.15,bus,0.15,13.94,-23.66
2025-02-24 20:44:55,train interior,0.53,bus interior,0.15,locker room,0.14,reception,0.03,elevator lobby,0.02,indoor,Unknown,40,Vehicle in Tram,Bus,0.08,Train,0.08,Motor vehicle (road),0.03,tram,0.52,sbahn,0.32,msub,0.07,tram,0.32,msub,0.19,bus,0.18,14.41,-24.97
2025-02-24 20:45:00,locker room,0.28,train interior,0.18,reception,0.17,elevator lobby,0.08,server room,0.08,indoor,Unknown,40,Vehicle in Tram,"Outside, urban or manmade",0.01,"Inside, large room or hall",0.00,"Inside, small room",0.00,sbahn,0.37,tram,0.33,osub,0.11,tram,0.39,train,0.16,bus,0.15,13.81,-25.49
2025-02-24 20:45:05,locker room,0.28,train interior,0.18,reception,0.17,elevator lobby,0.08,server room,0.08,indoor,Unknown,40,Vehicle in Tram,"Outside, urban or manmade",0.02,Motor vehicle (road),0.02,Truck,0.01,msub,0.97,sbahn,0.02,tram,0.01,tram,0.39,train,0.16,bus,0.15,12.94,-30.47
2025-02-24 20:45:10,train interior,0.74,locker room,0.09,bus interior,0.07,elevator lobby,0.02,office cubicles,0.02,indoor,Unknown,40,Vehicle in Tram,"Outside, urban or manmade",0.01,Motor vehicle (road),0.00,Car,0.00,msub,0.83,sbahn,0.09,tram,0.08,train,0.26,tram,0.26,bus,0.16,9.37,-30.28
2025-02-24 20:45:15,train interior,0.68,office cubicles,0.09,locker room,0.09,server room,0.05,airplane cabin,0.03,indoor,Still,100,Vehicle in Tram,"Outside, urban or manmade",0.03,Car,0.03,Motor vehicle (road),0.03,msub,0.79,sbahn,0.09,osub,0.04,tram,0.40,bus,0.15,train,0.15,7.46,-27.98
2025-02-24 20:45:20,train interior,0.74,bus interior,0.16,airplane cabin,0.06,locker room,0.01,office cubicles,0.00,indoor,Still,100,Vehicle in Tram,"Inside, large room or hall",0.00,"Inside, small room",0.00,"Outside, urban or manmade",0.00,msub,0.75,e-bus,0.14,osub,0.08,train,0.39,msub,0.16,tram,0.15,7.16,-31.45
